Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1999-12-28,9000.0,5.4158872587,5.4158872587,5.4158872587,5.4158872587,5.4158872587
2000-01-04,900.0,5.4158872587,5.4158872587,5.4158872587,5.4158872587,5.4158872587
2000-01-05,900.0,5.4158872587,5.4158872587,5.4158872587,5.4158872587,5.4158872587
2000-01-07,900.0,5.4158872587,5.4158872587,5.4158872587,5.4158872587,5.4158872587
2000-01-18,5820.0,5.8371229344,5.8371229344,5.8371229344,5.8371229344,5.8371229344
2000-02-07,2848.0,5.7167698842,5.7107522317,5.7107522317,5.7167698842,5.7107522317
2000-02-08,13623.0,6.9022474286,6.6194177606,6.6194177606,6.9022474286,6.8300355985
2000-02-18,1900.0,11.433539768,11.433539768,11.433539768,11.433539768,11.433539768
2000-02-23,1500.0,9.0264787645,9.0264787645,9.0264787645,9.0264787645,9.0264787645
2000-02-24,4750.0,9.6282440154,9.32736139,9.32736139,9.6282440154,9.5259439228
2000-03-16,1548.0,9.3153260849,9.3153260849,9.3153260849,9.3153260849,9.3153260849
2000-03-20,1400.0,8.4247135135,8.4247135135,8.4247135135,8.4247135135,8.4247135135
2000-03-27,2700.0,8.123830888,8.123830888,8.123830888,8.123830888,8.123830888
2000-03-29,1550.0,9.32736139,9.32736139,9.32736139,9.32736139,9.32736139
2000-03-30,4700.0,8.123830888,6.0176525097,6.0176525097,8.123830888,7.0707416988
2000-04-12,2598.0,7.81693061,7.81693061,7.81693061,7.81693061,7.81693061
2000-04-18,5000.0,7.5220656371,7.5220656371,7.5220656371,7.5220656371,7.5220656371
2000-04-19,1250.0,7.5220656371,7.5220656371,7.5220656371,7.5220656371,7.5220656371
2000-05-03,1050.0,6.3185351351,6.3185351351,6.3185351351,6.3185351351,6.3185351351
2000-05-05,1050.0,6.3185351351,6.3185351351,6.3185351351,6.3185351351,6.3185351351
2000-05-08,2000.0,6.0176525097,6.0176525097,6.0176525097,6.0176525097,6.0176525097
2000-05-22,1000.0,6.0176525097,6.0176525097,6.0176525097,6.0176525097,6.0176525097
2000-05-25,18010.0,7.2211830116,7.2211830116,7.2211830116,7.2813595367,7.2272006641
2000-05-26,2400.0,7.2211830116,7.2211830116,7.2211830116,7.2211830116,7.2211830116
2000-06-01,24100.0,9.6282440154,8.725596139,8.725596139,9.6282440154,9.0625846795
2000-06-02,59322.0,10.837792169,10.230009266,10.230009266,10.837792169,10.819739212
2000-06-07,1800.0,10.831774517,10.831774517,10.831774517,10.831774517,10.831774517
2000-06-08,33750.0,10.831774517,10.530891891,10.530891891,10.831774517,10.687350857
2000-06-16,16200.0,10.831774517,10.831774517,10.831774517,10.831774517,10.831774517
2000-06-20,7600.0,11.433539768,11.433539768,11.433539768,11.433539768,11.433539768
2000-06-26,6260.0,12.63707027,12.396364169,12.396364169,12.63707027,12.558840787
2000-06-28,9100.0,13.840600772,13.238835521,13.238835521,13.840600772,13.690159459
2000-07-04,2300.0,13.840600772,13.840600772,13.840600772,13.840600772,13.840600772
2000-07-06,16501.0,14.442366023,13.840600772,13.244853173,14.442366023,14.183606965
2000-07-17,2498.0,15.032095969,15.032095969,15.032095969,15.032095969,15.032095969
2000-07-18,2999.0,18.046939876,18.046939876,18.046939876,18.046939876,18.046939876
2000-07-19,2600.0,15.645896525,15.645896525,15.645896525,15.645896525,15.645896525
2000-08-25,2499.0,15.038113621,15.038113621,15.038113621,15.038113621,15.038113621
2000-09-04,2300.0,13.840600772,13.840600772,13.840600772,13.840600772,13.840600772
2000-10-04,2004.0,12.059375629,12.059375629,12.059375629,12.059375629,12.059375629
2000-10-20,4989.0,14.977937096,15.044131274,14.977937096,15.044131274,15.014043011
2000-11-01,7121.0,13.966971474,14.442366023,13.966971474,14.442366023,14.285907057
2000-11-03,2320.0,13.960953822,13.960953822,13.960953822,13.960953822,13.960953822
2000-11-06,4680.0,14.081306872,14.081306872,14.081306872,14.081306872,14.081306872
2000-11-07,12700.0,13.238835521,12.63707027,12.63707027,13.238835521,12.739370362
2000-11-13,7521.0,11.433539768,11.499733945,10.891951042,11.499733945,11.313186718
2000-11-23,7167.0,14.376171845,14.376171845,14.376171845,14.376171845,14.376171845
2000-11-24,2490.0,14.983954749,14.983954749,14.983954749,14.983954749,14.983954749
2000-11-27,2050.0,12.336187644,12.336187644,12.336187644,12.336187644,12.336187644
2000-12-07,2000.0,12.035305019,12.035305019,12.035305019,12.035305019,12.035305019
2000-12-08,2000.0,12.035305019,12.035305019,12.035305019,12.035305019,12.035305019
2000-12-13,9556.0,14.376171845,14.376171845,14.376171845,14.376171845,14.376171845
2000-12-15,12130.0,15.044131274,14.261836447,14.261836447,15.044131274,14.598824988
2000-12-19,7800.0,15.645896525,15.645896525,15.645896525,15.645896525,15.645896525
2000-12-21,3850.0,23.167962162,23.167962162,23.167962162,23.167962162,23.167962162
2001-01-03,3700.0,22.265314286,22.265314286,22.265314286,22.265314286,22.265314286
2001-08-30,15475.0,5.3057142857,5.3057142857,5.3057142857,5.3057142857,5.3057142857
2001-09-06,630.0,5.4,5.4,5.4,5.4,5.4
2001-10-24,1490.0,12.771428571,12.771428571,12.771428571,12.771428571,12.771428571
2001-10-26,1400.0,12.0,12.0,12.0,12.0,12.0
