Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-02-06,0.0,11.269155988,11.269155988,11.269155988,11.269155988,11.269155988
2007-02-07,250340192.0,12.621454706,12.60267278,12.396071586,12.959529386,12.655262174
2007-02-08,32600514.0,12.43363544,12.621454706,12.396071586,12.621454706,12.418609898
2007-02-09,24019440.0,12.396071586,12.444904596,12.396071586,12.471199293,12.411097128
2007-02-12,19073085.0,12.403584357,12.437391825,12.396071586,12.437391825,12.411097128
2007-02-13,10472582.0,12.414853513,12.403584357,12.396071586,12.565108926,12.414853513
2007-02-14,19188176.0,12.583890853,12.418609898,12.396071586,12.583890853,12.422366284
2007-02-15,19078436.0,12.43363544,12.43363544,12.396071586,12.48998122,12.448660981
2007-02-16,9554489.0,12.565108926,12.426122669,12.057996907,12.565108926,12.38480243
2007-02-21,2859196.0,12.414853513,12.396071586,12.212008705,12.508763146,12.414853513
2007-02-22,5231649.0,12.771710119,12.505006761,12.414853513,12.771710119,12.508763146
2007-02-23,2083272.0,12.94826023,12.752928193,12.546327,12.959529386,12.745415422
2007-02-26,5902356.0,13.147348652,12.959529386,12.700338798,13.147348652,12.869376138
2007-02-27,6337835.0,12.396071586,12.696582413,12.133124613,12.952016615,12.43363544
2007-02-28,18955269.0,12.020433054,12.44114821,11.832613787,12.44114821,12.170688467
2007-03-01,3237179.0,11.644794521,12.020433054,11.269155988,12.020433054,11.603474282
2007-03-02,2986621.0,11.269155988,11.532102961,11.269155988,11.569666814,11.366822006
2007-03-05,19013678.0,10.893517455,11.269155988,10.705698188,11.269155988,10.889761069
2007-03-06,12773952.0,11.400629474,11.156464428,11.156464428,11.641038135,11.374334777
2007-03-07,4974650.0,11.577179585,11.75748608,11.310476226,12.016676668,11.69362753
2007-03-08,5167871.0,11.644794521,11.592205126,11.588448741,11.787537163,11.69362753
2007-03-09,17516015.0,11.682358374,11.832613787,11.641038135,11.832613787,11.656063677
2007-03-12,342812.0,11.682358374,11.686114759,11.644794521,11.81383186,11.704896686
2007-03-13,1985524.0,11.719922227,12.020433054,11.644794521,12.020433054,11.652307291
2007-03-14,3587277.0,11.607230667,11.641038135,11.475757181,11.644794521,11.607230667
2007-03-15,1203390.0,11.415655016,11.550884887,11.415655016,11.550884887,11.532102961
2007-03-16,9660106.0,11.175246354,11.644794521,11.175246354,11.644794521,11.453218869
2007-03-19,4050918.0,11.363065621,11.456975254,11.272912373,11.644794521,11.374334777
2007-03-20,5355677.0,11.269155988,11.509564649,10.893517455,11.63728175,11.269155988
2007-03-21,4393253.0,11.381847548,11.363065621,11.276668758,11.419411401,11.359309236
2007-03-22,660623.0,11.306719841,11.389360318,11.287937914,11.419411401,11.333014538
2007-03-23,6386218.0,11.269155988,11.306719841,11.006209015,11.426924172,11.333014538
2007-03-26,3726568.0,11.269155988,11.381847548,11.23534852,11.381847548,11.269155988
2007-03-27,3710009.0,10.855953601,11.269155988,10.848440831,11.306719841,11.141438886
2007-03-28,9639794.0,11.081336721,10.724480115,10.724480115,11.265399602,11.028747327
2007-03-29,3074965.0,11.024990941,11.081336721,10.931081308,11.257886832,11.043772868
2007-03-30,6330108.0,11.456975254,11.024990941,11.024990941,11.532102961,11.302963456
2007-04-02,6648871.0,11.776268007,11.550884887,11.550884887,12.020433054,11.671089218
2007-04-03,4324032.0,11.9828692,11.945305347,11.945305347,12.170688467,12.03921498
2007-04-04,2911328.0,11.719922227,12.020433054,11.569666814,12.020433054,11.682358374
2007-04-05,10114639.0,11.550884887,11.866421255,11.419411401,11.866421255,11.599717897
2007-04-09,1395661.0,11.569666814,11.753729695,11.532102961,11.75748608,11.599717897
2007-04-10,3028765.0,11.456975254,11.532102961,11.453218869,11.607230667,11.502051878
2007-04-11,3243236.0,11.494539107,11.456975254,11.381847548,11.532102961,11.438193328
2007-04-12,2126436.0,11.607230667,11.456975254,11.419411401,11.682358374,11.558397658
2007-04-13,779317.0,11.599717897,11.644794521,11.419411401,11.648550906,11.618499823
2007-04-16,3233643.0,11.569666814,11.644794521,11.550884887,11.644794521,11.58093597
2007-04-17,1347937.0,11.562154043,11.532102961,11.520833805,11.708653071,11.588448741
2007-04-18,8476572.0,11.494539107,11.682358374,11.441949713,11.682358374,11.532102961
2007-04-19,3210150.0,11.719922227,11.381847548,11.381847548,11.719922227,11.550884887
2007-04-20,2697206.0,11.945305347,11.644794521,11.644794521,11.979112815,11.768755236
2007-04-23,2794692.0,12.009163898,11.832613787,11.832613787,12.189470393,12.03921498
2007-04-24,220559.0,12.001651127,12.009163898,11.896472338,12.020433054,12.009163898
2007-04-25,1114941.0,12.09556076,12.005407512,12.005407512,12.133124613,12.069266063
2007-04-26,3977609.0,12.116758463,12.112973159,11.984272819,12.1508262,12.112973159
2007-04-27,604770.0,12.124329071,12.056193597,12.056193597,12.147040896,12.112973159
2007-04-30,802891.0,12.135684984,12.112973159,12.112973159,12.188679241,12.158396808
2007-05-02,922287.0,12.188679241,12.13189968,12.13189968,12.226532282,12.207605762
2007-05-03,4428308.0,12.302238365,12.207605762,12.112973159,12.340091406,12.218961674
2007-05-04,1994698.0,12.567209653,12.377944447,12.302238365,12.567209653,12.461221137
2007-05-07,9963158.0,12.529356611,12.49150357,12.49150357,12.94195476,12.570994957
2007-05-08,4520414.0,12.605062694,12.775401379,12.453650529,12.775401379,12.525571307
2007-05-09,901933.0,12.605062694,12.661842255,12.49150357,12.661842255,12.552068436
2007-05-10,360047.0,12.49150357,12.548283132,12.49150357,12.605062694,12.502859483
2007-05-11,1655252.0,12.49150357,12.676983472,12.49150357,12.676983472,12.506644787
2007-05-14,7964668.0,12.510430091,12.49150357,12.49150357,12.851107461,12.540712524
2007-05-15,379061.0,12.476362354,12.510430091,12.302238365,12.567209653,12.476362354
2007-05-16,2528112.0,12.544497828,12.480147658,12.306023669,12.605062694,12.540712524
2007-05-17,3339605.0,12.49150357,12.544497828,12.347662014,12.567209653,12.49150357
