Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1988-06-01,0.00026740799226,1.2629363811e-05,1.4032627364e-05,1.2629363811e-05,1.4032627364e-05,1.3892300028e-05
1988-06-02,0.00020606182489,1.4734257507e-05,1.2629363811e-05,1.2629363811e-05,1.4734257507e-05,1.3681811476e-05
1988-06-03,0.00090229815976,1.5786704356e-05,1.5435889284e-05,1.5085074212e-05,1.5786704356e-05,1.561129682e-05
1988-06-06,0.00028853090514,1.4734257507e-05,1.5786704356e-05,1.4032627364e-05,1.5786704356e-05,1.4348360602e-05
1988-06-07,0.00015309090641,1.4769339341e-05,1.4769339341e-05,1.4769339341e-05,1.4769339341e-05,1.4769339341e-05
1988-06-08,8.4916365418e-05,1.4558849971e-05,1.4734257507e-05,1.4558849971e-05,1.4734257507e-05,1.4629013639e-05
1988-06-09,0.00090719996765,1.4734257507e-05,1.4734257507e-05,1.4734257507e-05,1.4734257507e-05,1.4734257507e-05
1988-06-10,0.0012249134872,1.6839152837e-05,1.4734257507e-05,1.4734257507e-05,1.754078298e-05,1.5716542321e-05
1988-06-13,0.00035585451702,1.6312928596e-05,1.6839152837e-05,1.6312928596e-05,1.6839152837e-05,1.6348008797e-05
1988-06-14,0.00049418182197,1.561129682e-05,1.6312928596e-05,1.561129682e-05,1.6312928596e-05,1.5891949857e-05
1988-06-15,0.00023140401786,1.6137521061e-05,1.5786704356e-05,1.5786704356e-05,1.6137521061e-05,1.5821787823e-05
1988-06-16,0.0004424399976,1.754078298e-05,1.6137521061e-05,1.6137521061e-05,1.754078298e-05,1.7365375445e-05
1988-06-17,0.0016945854953,2.104894023e-05,1.754078298e-05,1.754078298e-05,2.104894023e-05,1.9154535903e-05
1988-06-20,0.00089857967818,2.2452203783e-05,2.104894023e-05,2.104894023e-05,2.2803018855e-05,2.1154185731e-05
1988-06-21,0.00078727094423,2.3855465703e-05,2.2452203783e-05,2.104894023e-05,2.3855465703e-05,2.1364675101e-05
1988-06-22,0.0016400204612,2.3855465703e-05,2.3609894499e-05,2.3153833926e-05,2.3855465703e-05,2.3785303669e-05
1988-06-23,0.00026472946312,2.4557097479e-05,2.4206280774e-05,2.3855465703e-05,2.4557097479e-05,2.434660811e-05
1988-06-27,0.005263827535,2.6773981857e-05,2.3204118607e-05,2.3204118607e-05,2.7130969346e-05,2.6809682434e-05
1988-06-28,0.00013810908591,2.141918615e-05,2.3204118607e-05,2.141918615e-05,2.3204118607e-05,2.2597240375e-05
1988-06-29,3.5359998657e-05,2.0348225347e-05,2.141918615e-05,2.0348225347e-05,2.141918615e-05,2.0419623177e-05
1988-06-30,0.00018687273291,2.0705214498e-05,2.0348225347e-05,2.0348225347e-05,2.0705214498e-05,2.0383925924e-05
1988-07-01,5.3821819411e-05,2.8558915976e-05,2.5024749978e-05,2.5024749978e-05,2.8558915976e-05,2.7809243745e-05
1988-07-04,0.00013614545898,2.8201930149e-05,2.7844942661e-05,2.7844942661e-05,2.8201930149e-05,2.7844942661e-05
1988-07-05,0.00029289454323,2.7844942661e-05,2.7844942661e-05,2.7844942661e-05,2.8523215398e-05,2.7916338828e-05
1988-07-06,4.0854544125e-05,2.6773981857e-05,2.6595488944e-05,2.6595488944e-05,2.6773981857e-05,2.6738282942e-05
1988-07-07,3.716363724e-05,2.6060010204e-05,2.6060010204e-05,2.6060010204e-05,2.6060010204e-05,2.6060010204e-05
1988-07-08,0.00026890908317,2.6773981857e-05,2.5703022716e-05,2.5703022716e-05,2.6773981857e-05,2.5881515629e-05
1988-07-11,0.00038665963716,2.3561104433e-05,2.4989051063e-05,2.3561104433e-05,2.4989051063e-05,2.4239378833e-05
1988-07-12,0.00032123636793,2.141918615e-05,2.3204118607e-05,2.141918615e-05,2.3204118607e-05,2.2525844207e-05
1988-07-13,1.0727273131e-05,2.1062200324e-05,2.1062200324e-05,2.1062200324e-05,2.1062200324e-05,2.1062200324e-05
1988-07-14,0.0011238079769,2.141918615e-05,2.141918615e-05,2.141918615e-05,2.3204118607e-05,2.1990363805e-05
