Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2017-07-28,0.0,8.239174442,8.239174442,8.239174442,8.239174442,8.239174442
2017-07-31,318090881.0,8.8592297873,8.5476897846,8.4902212404,8.9529942542,8.6656515332
2017-08-01,112291163.0,8.8925010497,8.9469449337,8.8592297873,8.9832408564,8.9287969724
2017-08-02,32971542.0,8.9076243509,8.8925010497,8.7987365829,8.9166983315,8.8562051271
2017-08-03,19786752.0,8.8743530884,8.8471311464,8.813859884,8.9106490111,8.8652791078
2017-08-04,67498036.0,8.6202816299,8.9529942542,8.5960843481,9.0618820221,8.7957119227
2017-08-07,46695495.0,8.635404931,8.7412680387,8.6202816299,8.8017612431,8.6747255138
2017-08-08,57129219.0,8.5144185221,8.704972116,8.472073279,8.704972116,8.5960843481
2017-08-09,42939981.0,8.3934321133,8.5295418232,8.2603470636,8.5597884254,8.3783088122
2017-08-10,18037140.0,8.5416404641,8.375284152,8.3420128895,8.5930596879,8.4932459006
2017-08-11,10544618.0,8.5900350276,8.5930596879,8.4690486188,8.6384295912,8.580961047
2017-08-14,9303644.0,8.5900350276,8.635404931,8.4871965801,8.635404931,8.5779363868
2017-08-15,15807834.0,8.5900350276,8.635404931,8.5628130857,8.635404931,8.5900350276
2017-08-16,30961772.0,8.6202816299,8.5900350276,8.4418266768,8.6475035718,8.6051583288
2017-08-17,53767128.0,8.5446651243,8.6202816299,8.5295418232,8.6293556105,8.5779363868
2017-08-18,71106192.0,8.6202816299,8.5597884254,8.472073279,8.635404931,8.5779363868
2017-08-21,56377539.0,8.6565775525,8.6233062901,8.4206540553,8.6777501741,8.6444789116
2017-08-22,10114654.0,8.6202816299,8.6565775525,8.5718870663,8.6807748343,8.6293556105
2017-08-23,14924525.0,8.4902212404,8.6202816299,8.4569499779,8.6233062901,8.499295221
2017-08-24,107923145.0,8.7715146409,8.553739105,8.3873827928,8.7715146409,8.5688624061
2017-08-25,44593145.0,9.0134874586,8.7473173591,8.6989227956,9.0134874586,8.8501558067
2017-08-28,52796844.0,9.1495971685,9.0316354199,8.922747652,9.1737944503,9.1223752266
2017-08-29,25854580.0,9.1253998868,9.1253998868,8.9529942542,9.3068795,9.1949670718
2017-08-30,14881768.0,9.1647204696,9.1798437707,8.9892901768,9.1889177514,9.0981779448
2017-08-31,5569657.0,9.073980663,9.0981779448,9.0376847404,9.1737944503,9.0800299835
2017-09-01,23373631.0,9.0013888177,9.0770053232,8.9590435746,9.1042272652,9.019536779
2017-09-04,6191809.0,9.073980663,9.0134874586,8.9832408564,9.1193505663,9.0679313426
2017-09-05,58413579.0,9.1647204696,9.073980663,9.0497833812,9.2221890138,9.1223752266
2017-09-06,25919879.0,9.3099041603,9.2252136741,9.2252136741,9.3764466851,9.3129288205
2017-09-08,69796849.0,9.5276796962,9.4218165884,9.3703973647,9.6153948426,9.44298921
2017-09-11,28833552.0,9.5518769779,9.5276796962,9.470211152,9.6184195028,9.5428029973
