Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1988-06-01,0.00030909091234,9.9023586387e-10,9.9023586387e-10,9.9023586387e-10,9.9023586387e-10,9.9023586387e-10
1988-06-02,0.0057256932687,1.0434756018e-09,9.9023586387e-10,9.9023586387e-10,1.0435920847e-09,1.0386991933e-09
1988-06-07,0.00069709093679,1.0484850629e-09,1.0484850629e-09,1.0484850629e-09,1.0484850629e-09,1.0484850629e-09
1988-06-08,0.001248155988,1.0497665489e-09,1.0484850629e-09,1.0484850629e-09,1.0497665489e-09,1.0495334962e-09
1988-06-09,0.00067828257517,1.0497665489e-09,1.0497665489e-09,1.0497665489e-09,1.0497665489e-09,1.0497665489e-09
1988-06-14,0.0014523957136,1.0503490505e-09,1.0503490505e-09,1.0503490505e-09,1.0503490505e-09,1.0503490505e-09
1988-06-15,0.00019856728207,1.060251403e-09,1.060251403e-09,1.060251403e-09,1.060251403e-09,1.060251403e-09
1988-06-16,0.00045599999428,1.1067341752e-09,1.1067341752e-09,1.1067341752e-09,1.1067341752e-09,1.1067341752e-09
1988-06-17,0.00019728000462,1.1358587314e-09,1.1649833743e-09,1.1358587314e-09,1.1649833743e-09,1.1491396102e-09
1988-06-20,0.0019885090389,1.14168366e-09,1.14168366e-09,1.14168366e-09,1.14168366e-09,1.14168366e-09
1988-06-22,0.0092630360303,1.1883995716e-09,1.14168366e-09,1.14168366e-09,1.1883995716e-09,1.1614883651e-09
1988-06-23,0.0033864718242,1.2814816857e-09,1.2115827162e-09,1.2115827162e-09,1.2814816857e-09,1.2135630999e-09
1988-06-24,0.0050931816833,1.3106062419e-09,1.3106062419e-09,1.3106062419e-09,1.3106062419e-09,1.3106062419e-09
1988-06-28,0.0017454545064,1.3979799971e-09,1.3979799971e-09,1.3979799971e-09,1.3979799971e-09,1.3979799971e-09
1988-06-30,0.00056798761541,1.54942788e-09,1.5144783085e-09,1.5144783085e-09,1.549544363e-09,1.5420884127e-09
1988-07-01,0.0039454545622,1.6309767067e-09,1.6309767067e-09,1.6309767067e-09,1.6309767067e-09,1.6309767067e-09
1988-07-04,0.025450266938,1.7241753906e-09,1.6542764211e-09,1.6542764211e-09,1.7241753906e-09,1.7186999976e-09
1988-07-05,0.011118106988,1.7474751049e-09,1.7241753906e-09,1.7241753906e-09,1.7474751049e-09,1.7417665725e-09
1988-07-06,0.0099545458501,1.7474751049e-09,1.7474751049e-09,1.7474751049e-09,1.7474751049e-09,1.7474751049e-09
1988-07-07,0.013238182344,1.7474751049e-09,1.7474751049e-09,1.7474751049e-09,1.7474751049e-09,1.7474751049e-09
1988-07-08,0.00403816473,1.7474751049e-09,1.7474751049e-09,1.7474751049e-09,1.7707746457e-09,1.7506204917e-09
1988-07-11,0.0023454546387,1.7474751049e-09,1.7474751049e-09,1.7474751049e-09,1.7474751049e-09,1.7474751049e-09
1988-07-12,0.00687921816,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09
1988-07-13,0.00016965454492,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09
1988-07-14,0.00095225454244,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09
1988-07-15,0.0034156260122,1.7591247885e-09,1.7474751049e-09,1.7474751049e-09,1.7591247885e-09,1.7564455071e-09
1988-07-18,0.0010981817679,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09
1988-07-19,0.0028895999908,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09,1.7532999467e-09
1988-07-20,0.0019224588909,1.7591247885e-09,1.7532999467e-09,1.7532999467e-09,1.7591247885e-09,1.7546979157e-09
1988-07-22,0.011160800145,1.7591247885e-09,1.7532999467e-09,1.7532999467e-09,1.7591247885e-09,1.7587753397e-09
1988-07-25,0.00066439996958,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09
1988-07-26,0.0036679271048,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09
1988-07-27,0.0086152359692,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09
1988-07-28,0.0062076135018,1.7591247885e-09,1.7591247885e-09,1.7591247885e-09,1.7940743601e-09,1.7852206144e-09
1988-07-29,0.011562086742,1.8057242172e-09,1.7591247885e-09,1.7591247885e-09,1.8173740744e-09,1.8051416289e-09
1988-08-01,7.7381815694e-05,1.7707746457e-09,1.7707746457e-09,1.7707746457e-09,1.7707746457e-09,1.7707746457e-09
1988-08-02,0.013239818283,1.8173740744e-09,1.7707746457e-09,1.7707746457e-09,1.8173740744e-09,1.8057242172e-09
1988-08-03,0.00024392727776,1.8173740744e-09,1.8173740744e-09,1.8173740744e-09,1.8173740744e-09,1.8173740744e-09
1988-08-04,4.5381819118e-05,1.8173740744e-09,1.8173740744e-09,1.8173740744e-09,1.8173740744e-09,1.8173740744e-09
1988-08-08,0.00082587202245,1.8639733295e-09,1.8173740744e-09,1.8173740744e-09,1.8639733295e-09,1.8632744318e-09
1988-08-09,0.00067490907582,1.8639733295e-09,1.8639733295e-09,1.8639733295e-09,1.8639733295e-09,1.8639733295e-09
1988-08-12,0.00089636364579,1.9804717277e-09,1.9804717277e-09,1.9804717277e-09,1.9804717277e-09,1.9804717277e-09
1988-08-15,0.0011258182265,2.0969701259e-09,2.0969701259e-09,2.0969701259e-09,2.0969701259e-09,2.0969701259e-09
1988-08-16,0.0031544693383,2.1552192382e-09,2.1086198095e-09,2.1086198095e-09,2.1552192382e-09,2.1502099507e-09
1988-08-17,0.00076715779521,2.1552192382e-09,2.1563842413e-09,2.1552192382e-09,2.1563842413e-09,2.1559181359e-09
1988-08-18,0.0014880000352,2.1668690954e-09,2.1668690954e-09,2.1668690954e-09,2.1668690954e-09,2.1668690954e-09
1988-08-22,0.00041934546449,2.1668690954e-09,2.1668690954e-09,2.1668690954e-09,2.1668690954e-09,2.1668690954e-09
1988-08-23,0.001682793446,2.3299667487e-09,2.1668690954e-09,2.1668690954e-09,2.3299667487e-09,2.2370010308e-09
1988-08-24,0.0084502703206,2.5629633715e-09,2.3299667487e-09,2.3299667487e-09,2.5629633715e-09,2.5467701586e-09
1988-08-29,0.00040090908029,2.6212124838e-09,2.6212124838e-09,2.6212124838e-09,2.6212124838e-09,2.6212124838e-09
1988-08-30,0.0039883635472,2.8084419589e-09,2.8084419589e-09,2.8084419589e-09,2.8084419589e-09,2.8084419589e-09
1988-08-31,0.018383814706,2.9839695922e-09,2.8084419589e-09,2.8084419589e-09,2.9839695922e-09,2.834654284e-09
1988-09-01,0.0018910544569,3.0427127511e-09,3.0427127511e-09,3.0427127511e-09,3.0427127511e-09,3.0427127511e-09
1988-09-02,0.006034483682,3.1009878982e-09,3.0424787452e-09,3.0424787452e-09,3.1009878982e-09,3.0823821605e-09
1988-09-06,0.0030065452922,3.1009878982e-09,3.1009878982e-09,3.1009878982e-09,3.1009878982e-09,3.1009878982e-09
1988-09-09,0.10068571738,3.8733096243e-09,3.6878353443e-09,3.6878353443e-09,3.8733096243e-09,3.7727910027e-09
1988-09-12,0.004441418185,3.8733096243e-09,3.8733096243e-09,3.8733096243e-09,3.8733096243e-09,3.8733096243e-09
1988-09-13,0.011558129911,3.9318187773e-09,3.8733096243e-09,3.8733096243e-09,3.9318187773e-09,3.9192978911e-09
1988-09-14,0.0049751273068,4.0371353922e-09,3.9903279303e-09,3.9903279303e-09,4.0371353922e-09,4.002497982e-09
1988-09-15,0.0068374711546,4.0384225991e-09,4.0371353922e-09,4.0371353922e-09,4.0384225991e-09,4.0372525695e-09
1988-09-16,0.0044756320867,4.0605391231e-09,4.0371353922e-09,4.0371353922e-09,4.0605391231e-09,4.045677829e-09
1988-09-20,0.015435838937,4.1541536982e-09,4.0957617225e-09,4.0957617225e-09,4.3296815059e-09,4.3006605866e-09
1988-09-22,0.0027368043856,4.1542708755e-09,4.1542708755e-09,4.1542708755e-09,4.1542708755e-09,4.1542708755e-09
1988-09-26,0.0076077193726,4.2711723529e-09,4.1541536982e-09,4.1541536982e-09,4.2711723529e-09,4.2137160522e-09
1988-09-29,0.0013272727619,4.2711723529e-09,4.2711723529e-09,4.2711723529e-09,4.2711723529e-09,4.2711723529e-09
1988-09-30,0.0055771771366,4.5872390261e-09,4.3764889678e-09,4.3764889678e-09,4.5872390261e-09,4.555175681e-09
1988-10-04,0.0042688275424,4.704491338e-09,4.704491338e-09,4.704491338e-09,4.704491338e-09,4.704491338e-09
1988-10-06,0.0026963346004,4.827009655e-09,4.8123823667e-09,4.8123823667e-09,4.827009655e-09,4.8204567917e-09
1988-10-07,0.00081669601094,4.8669130703e-09,4.8669130703e-09,4.8669130703e-09,4.8669130703e-09,4.8669130703e-09
1988-10-11,0.009714576304,4.9264754243e-09,4.9223797975e-09,4.9223797975e-09,4.9264754243e-09,4.9230818153e-09
1988-10-14,0.0025260000229,4.9264754243e-09,4.9264754243e-09,4.9264754243e-09,4.9264754243e-09,4.9264754243e-09
1988-10-18,0.039599603092,5.2658286511e-09,5.0317920392e-09,5.0317920392e-09,5.2658286511e-09,5.2247552062e-09
1988-10-19,0.00042962401563,5.3174341063e-09,5.3174341063e-09,5.3174341063e-09,5.3174341063e-09,5.3174341063e-09
1988-10-20,0.001390909054,5.2658286511e-09,5.2658286511e-09,5.2658286511e-09,5.2658286511e-09,5.2658286511e-09
1988-10-21,0.010971899221,5.4655793849e-09,5.4656962135e-09,5.4655793849e-09,5.4656962135e-09,5.4655793849e-09
1988-10-24,0.0043747801456,5.5385986488e-09,5.4998656118e-09,5.4998656118e-09,5.5387154774e-09,5.5208121062e-09
1988-10-25,0.0021022689993,5.8509205297e-09,5.6181711247e-09,5.6181711247e-09,5.8509205297e-09,5.6375960575e-09
1988-10-26,0.0016181817217,5.8509205297e-09,5.8509205297e-09,5.8509205297e-09,5.8509205297e-09,5.8509205297e-09
1988-10-27,0.0076050012524,6.1036800567e-09,6.0849574904e-09,6.0849574904e-09,6.1036800567e-09,6.1029783877e-09
1988-10-28,0.0032263634898,6.1434666434e-09,6.1434666434e-09,6.1434666434e-09,6.1434666434e-09,6.1434666434e-09
1988-11-01,0.0014454544674,6.2019757964e-09,6.2019757964e-09,6.2019757964e-09,6.2019757964e-09,6.2019757964e-09
1988-11-02,0.003798215502,6.6700497178e-09,6.3189947998e-09,6.3189947998e-09,6.6700497178e-09,6.5014266541e-09
1988-11-03,0.012577091204,7.1381236391e-09,7.1381236391e-09,7.1381236391e-09,7.1381236391e-09,7.1381236391e-09
1988-11-04,0.012450000047,7.3136510981e-09,7.1382408165e-09,7.1382408165e-09,7.3136510981e-09,7.2843965216e-09
1988-11-07,0.0075289088683,7.606196863e-09,7.4306694041e-09,7.4306694041e-09,7.606196863e-09,7.54768771e-09
1988-11-08,0.0024294544393,7.664706016e-09,7.664706016e-09,7.664706016e-09,7.664706016e-09,7.664706016e-09
1988-11-09,0.011225873695,7.7232158665e-09,7.664706016e-09,7.664706016e-09,7.7232158665e-09,7.7190030624e-09
1988-11-10,0.0048736237591,7.7466192487e-09,7.7232158665e-09,7.7232158665e-09,7.7466192487e-09,7.7257895829e-09
1988-11-11,0.0011123804222,7.7817250195e-09,7.7817250195e-09,7.7817250195e-09,7.7823095112e-09,7.7818421968e-09
1988-11-14,0.0029870214115,7.8168300928e-09,7.7817250195e-09,7.7817250195e-09,7.8168300928e-09,7.8148408681e-09
1988-11-16,0.0097832183491,7.7232158665e-09,7.8402341724e-09,7.7232158665e-09,7.8402341724e-09,7.8314577298e-09
1988-11-17,0.00062872729301,7.7817250195e-09,7.7817250195e-09,7.7817250195e-09,7.7817250195e-09,7.7817250195e-09
1988-11-18,4.8363637924e-05,7.7817250195e-09,7.7817250195e-09,7.7817250195e-09,7.7817250195e-09,7.7817250195e-09
1988-11-21,0.00096727275848,7.7817250195e-09,7.7817250195e-09,7.7817250195e-09,7.7817250195e-09,7.7817250195e-09
1988-11-22,0.018578354985,7.8402341724e-09,7.7817250195e-09,7.7817250195e-09,7.8402341724e-09,7.835552659e-09
1988-11-25,0.0038423652064,7.7817250195e-09,7.3721602511e-09,7.3721602511e-09,7.7817250195e-09,7.7765761917e-09
1988-11-28,0.0045492725286,7.664706016e-09,7.664706016e-09,7.664706016e-09,7.664706016e-09,7.664706016e-09
1988-11-30,0.00012000000476,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09
1988-12-01,0.0024720000982,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09
1988-12-02,0.00024000000954,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09
1988-12-05,0.010296000409,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09,7.7232158665e-09
1988-12-06,0.0063889089714,7.7583209398e-09,7.7583209398e-09,7.7583209398e-09,7.7583209398e-09,7.7583209398e-09
1988-12-07,0.0027916348284,7.7583209398e-09,7.7583209398e-09,7.7232158665e-09,7.7583209398e-09,7.7443956693e-09
1988-12-08,0.00043396362825,7.7583209398e-09,7.7583209398e-09,7.7583209398e-09,7.7583209398e-09,7.7583209398e-09
1988-12-09,0.0054983650381,7.7704906427e-09,7.7583209398e-09,7.7583209398e-09,7.7704906427e-09,7.7604273418e-09
1988-12-12,0.027955861447,7.7934267106e-09,7.7817250195e-09,7.7817250195e-09,7.7934267106e-09,7.7821923338e-09
1988-12-15,0.00025454545021,8.2159616475e-09,8.2159616475e-09,8.2159616475e-09,8.2159616475e-09,8.2159616475e-09
1988-12-16,0.0073744992776,8.4507038886e-09,8.2159616475e-09,8.2159616475e-09,8.4507038886e-09,8.3812204091e-09
1988-12-19,2.9090909524e-05,9.3896707542e-09,9.3896707542e-09,9.3896707542e-09,9.3896707542e-09,9.3896707542e-09
1988-12-21,0.0090134399067,8.9201869716e-09,8.8028162009e-09,8.8028162009e-09,8.9201869716e-09,8.8697175122e-09
1988-12-22,0.0099679997531,9.0375577423e-09,9.0375577423e-09,9.0375577423e-09,9.0375577423e-09,9.0375577423e-09
1988-12-26,0.04162243493,9.5892007846e-09,9.5892007846e-09,9.5892007846e-09,9.5892007846e-09,9.5892007846e-09
