Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-03-28,0.0,7.3123363792,7.3123363792,7.3123363792,7.3123363792,7.3123363792
2007-03-29,243339040.0,6.3982943318,7.2940555383,6.3982943318,7.2940555383,6.882736617
2007-03-30,96897540.0,6.9467195603,6.4896985366,5.9869754105,7.1203875493,6.6450856846
2007-04-02,31604019.0,6.8553153555,6.8553153555,6.7182090484,6.9924216627,6.8278940941
2007-04-03,11893228.0,7.038123765,6.8918770374,6.7182090484,7.038123765,6.882736617
2007-04-04,12677402.0,6.9010174579,6.9101578784,6.8370345146,7.038123765,6.9375791398
2007-04-05,3833480.0,6.9284387193,6.864455776,6.8278940941,6.9284387193,6.8918770374
2007-04-09,6869198.0,7.038123765,6.864455776,6.864455776,7.038123765,6.9467195603
2007-04-10,4924942.0,6.9284387193,6.9284387193,6.8735961965,6.9467195603,6.9284387193
2007-04-11,14194568.0,6.8096132532,6.7913324122,6.6633665256,6.9101578784,6.7913324122
2007-04-12,20853672.0,7.1295279698,6.7639111508,6.7456303099,7.1295279698,6.8918770374
2007-04-13,20627712.0,7.1295279698,7.038123765,6.9650004012,7.2209321745,7.0472641855
2007-04-16,24714512.0,7.0838258674,7.038123765,7.038123765,7.211791754,7.1021067083
2007-04-17,8858670.0,7.0746854469,7.1203875493,6.9741408217,7.1203875493,7.0472641855
2007-04-18,15446692.0,7.0838258674,6.9558599808,6.9558599808,7.0838258674,7.038123765
2007-04-19,8910805.0,7.1295279698,7.038123765,6.8187536736,7.1295279698,7.0655450265
2007-04-20,10735293.0,7.3123363792,7.038123765,7.0107025036,7.3123363792,7.1386683902
2007-04-23,6701932.0,7.2209321745,7.230072595,7.2209321745,7.3123363792,7.2574938564
2007-04-24,9872972.0,7.2666342769,7.1660896517,7.1660896517,7.2666342769,7.211791754
2007-04-25,8267859.0,7.3123363792,7.2209321745,7.1752300721,7.3123363792,7.2757746974
2007-04-26,11985688.0,7.1295279698,7.2209321745,7.0655450265,7.2666342769,7.1660896517
2007-04-27,27166347.0,7.3123363792,7.0198429241,6.8735961965,7.3123363792,7.1203875493
2007-04-30,3409426.0,7.1295279698,7.1295279698,7.1295279698,7.230072595,7.1660896517
2007-05-02,8609276.0,7.1752300721,7.1386683902,7.1295279698,7.2666342769,7.1935109131
2007-05-03,9948441.0,7.2666342769,7.1752300721,7.0289833446,7.2757746974,7.1295279698
2007-05-04,5485449.0,7.3123363792,7.2666342769,7.1295279698,7.3123363792,7.2757746974
2007-05-07,3509672.0,7.2940555383,7.3123363792,7.2666342769,7.3214767997,7.3031959588
2007-05-08,10980589.0,7.211791754,7.2940555383,7.0838258674,7.3580384816,7.211791754
2007-05-09,3534864.0,6.9832812422,7.1295279698,6.9832812422,7.2026513336,7.0655450265
2007-05-10,7046653.0,6.8096132532,7.0838258674,6.6633665256,7.1203875493,6.882736617
2007-05-11,2093108.0,6.9375791398,6.8553153555,6.8553153555,6.9467195603,6.9192982989
2007-05-14,7335933.0,6.9467195603,6.9832812422,6.7639111508,7.038123765,6.9375791398
2007-05-15,7111155.0,6.9467195603,6.9010174579,6.864455776,7.0198429241,6.9284387193
2007-05-16,2933035.0,6.8096132532,6.9284387193,6.7364898894,6.9924216627,6.8096132532
2007-05-17,13855389.0,6.8553153555,6.8461749351,6.5902431618,6.8553153555,6.7913324122
2007-05-18,15993648.0,6.6725069461,6.9192982989,6.6359452642,6.9832812422,6.7639111508
2007-05-21,18036788.0,6.4257155933,6.7182090484,6.4257155933,6.7547707303,6.5811027413
2007-05-22,7343701.0,6.4439964342,6.4805581161,6.4439964342,6.5628219004,6.4896985366
2007-05-23,5380782.0,6.3617326499,6.5262602185,6.3343113885,6.5262602185,6.4165751728
2007-05-24,2664078.0,6.4896985366,6.3800134909,6.3708730704,6.4896985366,6.4257155933
2007-05-25,4745269.0,6.4439964342,6.4896985366,6.4074347523,6.5262602185,6.4348560137
2007-05-28,8752408.0,6.6816473665,6.517119798,6.4531368547,6.7547707303,6.6268048437
2007-05-29,66419004.0,6.7547707303,7.038123765,6.7364898894,7.038123765,6.8278940941
2007-05-30,76115369.0,7.1295279698,6.7456303099,6.5536814799,7.1295279698,6.9467195603
2007-05-31,85665153.0,7.403740584,7.3123363792,7.2483534359,7.4768639478,7.385459743
2007-06-01,79485383.0,7.6779531982,7.5408468911,7.5408468911,8.1715359038,7.7419361415
2007-06-04,66697754.0,6.9924216627,7.7693574029,6.9924216627,8.0435700172,7.4311618454
2007-06-05,82140382.0,7.385459743,7.3580384816,7.3123363792,7.5317064706,7.4403022659
2007-06-06,29572278.0,7.3123363792,7.385459743,7.3123363792,7.4768639478,7.3763193226
2007-06-08,36065703.0,7.3946001635,7.1295279698,6.9558599808,7.3946001635,7.2757746974
2007-06-11,8703858.0,7.2574938564,7.4403022659,7.2209321745,7.4951447887,7.3031959588
2007-06-12,14867190.0,7.3031959588,7.211791754,7.1021067083,7.3946001635,7.1843704926
2007-06-13,7557328.0,7.1752300721,7.2209321745,7.1569492312,7.3123363792,7.2026513336
2007-06-14,31010649.0,7.1935109131,7.1295279698,7.1295279698,7.2666342769,7.2209321745
2007-06-15,23358252.0,6.8370345146,7.2209321745,6.8096132532,7.2666342769,6.9192982989
2007-06-18,9157061.0,6.709068628,6.882736617,6.5811027413,6.9741408217,6.6999282075
2007-06-19,17123999.0,6.4348560137,6.6999282075,6.4074347523,6.7913324122,6.5445410594
2007-06-20,30438394.0,6.7547707303,6.535400639,6.3068901271,6.8918770374,6.4622772752
2007-06-21,23422171.0,6.8187536736,6.7547707303,6.4896985366,6.9284387193,6.7913324122
2007-06-22,10401405.0,6.9010174579,6.8461749351,6.5993835823,6.9284387193,6.7821919917
2007-06-25,28055971.0,7.038123765,6.9375791398,6.864455776,7.211791754,7.056404606
2007-06-26,19099164.0,6.7821919917,7.0838258674,6.6633665256,7.2209321745,6.9375791398
2007-06-27,28856366.0,6.6633665256,6.7913324122,6.4439964342,6.8553153555,6.5445410594
2007-06-28,40939988.0,7.1295279698,6.864455776,6.7182090484,7.1478088107,7.0289833446
2007-06-29,21859231.0,7.403740584,7.2209321745,7.0655450265,7.4311618454,7.3031959588
2007-07-02,32724113.0,7.7587837803,7.4393044481,7.348024639,7.7587837803,7.5853521428
2007-07-03,19043152.0,7.8683195513,7.7496557994,7.6218640665,7.904831475,7.7496557994
2007-07-04,12550046.0,7.8683195513,7.8318076276,7.7405278184,7.895703494,7.8318076276
2007-07-05,15254405.0,8.0052392651,7.7952957039,7.7770397421,8.014367246,7.904831475
2007-07-06,27688959.0,8.123903017,7.9778553223,7.8500635895,8.1695429216,7.9687273414
2007-07-10,16620062.0,8.2060548453,8.1421589788,8.0326232078,8.3794864827,8.2151828262
2007-07-11,31456062.0,8.4890222537,8.0782631124,8.0417511887,8.6898378339,8.5346621583
2007-07-12,34208148.0,8.5620461011,8.461638311,8.3794864827,8.8085015858,8.6441979293
2007-07-13,13651737.0,8.3064626354,8.4890222537,8.0782631124,8.571174082,8.3247185972
2007-07-16,11701079.0,8.3247185972,8.3064626354,8.0873910933,8.3977424445,8.2243108071
2007-07-17,17711309.0,8.1877988834,8.2973346544,8.123903017,8.3247185972,8.1969268643
2007-07-18,21526964.0,7.9961112841,8.1877988834,7.8774475322,8.1877988834,8.0052392651
2007-07-19,28802921.0,8.2151828262,8.0326232078,7.8683195513,8.2151828262,8.0326232078
2007-07-20,15610607.0,8.0052392651,8.123903017,7.8865755131,8.3064626354,8.0326232078
2007-07-23,9376985.0,8.1695429216,7.9869833032,7.9504713796,8.1695429216,8.0691351315
2007-07-24,7488628.0,7.8683195513,8.1421589788,7.8683195513,8.1421589788,7.9961112841
2007-07-25,17796071.0,7.9687273414,7.8500635895,7.6127360856,8.0326232078,7.8318076276
2007-07-26,15403268.0,7.5762241619,7.7587837803,7.4027925245,7.8409356085,7.6036081047
2007-07-27,7308596.0,7.4393044481,7.6036081047,7.4119205054,7.7131438757,7.5032003146
2007-07-30,8427640.0,7.8500635895,7.5762241619,7.45756041,7.8500635895,7.6857599329
2007-07-31,5828825.0,7.5305842573,7.9413433986,7.5305842573,8.014367246,7.7405278184
2007-08-01,23775320.0,8.0326232078,7.5762241619,7.5123282955,8.0782631124,7.895703494
2007-08-02,28566368.0,8.4890222537,8.123903017,8.0326232078,8.5255341774,8.3521025399
2007-08-03,18528839.0,8.0782631124,8.4433823491,8.0326232078,8.5803020629,8.3247185972
2007-08-06,9231946.0,8.2151828262,8.123903017,7.7587837803,8.4433823491,8.2060548453
2007-08-07,5330746.0,8.2790786926,8.3064626354,8.0417511887,8.342974559,8.233438788
