Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-04-11,0.0,5.6563058837,5.6563058837,5.6563058837,5.6563058837,5.6563058837
2007-04-12,41448799.0,5.8684173543,5.6916577954,5.663376266,5.9320507955,5.762361619
2007-04-13,3681700.0,5.7977135308,5.7977135308,5.663376266,5.8330654425,5.7906431484
2007-04-16,893216.0,5.762361619,5.6916577954,5.6916577954,5.7694320013,5.7552912366
2007-04-17,560641.0,5.762361619,5.762361619,5.7552912366,5.7977135308,5.7694320013
2007-04-18,354637.0,5.7270097072,5.6987281778,5.6916577954,5.7340800896,5.7270097072
2007-04-19,543478.0,5.762361619,5.7270097072,5.7199393249,5.7906431484,5.7552912366
2007-04-20,1793389.0,5.762361619,5.7270097072,5.7270097072,5.7977135308,5.7552912366
2007-04-23,2796409.0,5.762361619,5.7552912366,5.7270097072,5.8754877367,5.783572766
2007-04-24,1623147.0,5.8684173543,5.6704466484,5.6704466484,5.9037692661,5.8472062072
2007-04-25,6614669.0,5.8330654425,5.7977135308,5.762361619,5.8684173543,5.8401358249
2007-04-26,160986.0,5.8330654425,5.7057985601,5.6916577954,5.8330654425,5.8047839131
2007-04-27,185992.0,5.8684173543,5.8330654425,5.8330654425,5.8684173543,5.8472062072
2007-04-30,52246.0,5.8684173543,5.8330654425,5.8330654425,5.8684173543,5.8613469719
2007-05-02,1328068.0,6.0098250014,5.8684173543,5.8684173543,6.0098250014,5.9179100308
2007-05-03,3381819.0,6.221936472,6.0098250014,5.9391211778,6.221936472,6.1088103544
2007-05-04,1244622.0,6.1229511191,6.221936472,6.1158807367,6.221936472,6.221936472
2007-05-07,12955.0,6.0451769132,6.1158807367,6.0451769132,6.1158807367,6.1088103544
2007-05-08,22868.0,5.9391211778,5.9956842367,5.9391211778,6.0451769132,5.9886138543
2007-05-09,114377.0,6.0098250014,5.8330654425,5.8330654425,6.0451769132,5.9461915602
2007-05-10,102243.0,5.8684173543,5.8684173543,5.8684173543,6.0098250014,5.9744730896
2007-05-11,35585.0,5.9391211778,5.8684173543,5.762361619,5.9391211778,5.8542765896
2007-05-14,26847.0,5.9532619426,5.9037692661,5.9037692661,5.9532619426,5.9320507955
2007-05-15,59130.0,6.0098250014,5.8401358249,5.8401358249,6.0098250014,5.9744730896
2007-05-16,774741.0,5.9391211778,6.0098250014,5.762361619,6.0098250014,5.9532619426
2007-05-17,379969.0,5.9037692661,6.0734584426,5.9037692661,6.0734584426,6.0098250014
2007-05-18,505950.0,6.0805288249,6.0098250014,6.0098250014,6.0805288249,6.0451769132
2007-05-21,7145814.0,6.4340479427,6.1512326485,6.0805288249,6.4976813839,6.3562737368
2007-05-22,7211616.0,6.8582708839,6.4481887074,6.4481887074,6.9289747075,6.7380743839
2007-05-23,2090714.0,7.0703823546,6.8936227957,6.8653412663,7.1410861781,7.0279600604
2007-05-24,15304160.0,7.6360129429,7.1410861781,6.9289747075,7.77742059,7.4663237664
2007-05-25,12004171.0,8.4844588255,7.8481244136,7.77742059,8.4844588255,8.1804323843
2007-05-28,432154.0,8.0531655019,8.4844588255,7.9188282371,8.4844588255,8.194573149
2007-05-29,382647.0,7.7067167665,8.1309397078,7.7067167665,8.1309397078,7.9541801489
2007-05-30,204830.0,8.0743766489,7.7067167665,7.4946052959,8.0743766489,7.7067167665
2007-05-31,14351572.0,8.1380100901,8.0602358842,8.0602358842,8.1380100901,8.1309397078
2007-06-01,3756112.0,7.9895320607,7.9895320607,7.77742059,8.1380100901,8.0885174136
2007-06-04,157251.0,7.9188282371,7.8481244136,7.77742059,7.9188282371,7.8269132665
2007-06-05,595289.0,8.1380100901,7.9188282371,7.9188282371,8.2087139137,8.1238693254
2007-06-06,4530811.0,7.9188282371,7.9188282371,7.77742059,7.9824616783,7.9117578548
2007-06-08,87770.0,7.9188282371,7.6077314135,7.6006610312,7.9188282371,7.756209443
2007-06-11,15508254.0,8.3430511784,7.9188282371,7.9188282371,8.4773884431,8.3642623255
2007-06-12,49618.0,8.1309397078,8.4703180608,8.1309397078,8.4703180608,8.1592212372
2007-06-13,668782.0,8.4137550019,8.3430511784,8.3430511784,8.4844588255,8.4137550019
2007-06-14,427205.0,8.4137550019,8.4137550019,8.3784030902,8.4137550019,8.4137550019
2007-06-15,1983903.0,8.1309397078,7.9188282371,7.9188282371,8.4066846196,8.1521508548
2007-06-18,572497.0,8.095587796,8.1309397078,8.095587796,8.2723473549,8.2087139137
2007-06-19,232270.0,7.9895320607,7.9188282371,7.9188282371,8.2016435313,8.0885174136
2007-06-20,2802116.0,7.9188282371,7.77742059,7.77742059,7.9188282371,7.7844909724
2007-06-21,3365876.0,7.7067167665,7.9188282371,7.6713648547,7.9188282371,7.7844909724
2007-06-22,1948220.0,7.6006610312,7.77742059,7.6006610312,7.77742059,7.6360129429
2007-06-25,8611.0,7.6077314135,7.6006610312,7.6006610312,7.6148017959,7.6077314135
2007-06-26,463909.0,7.6784352371,7.6360129429,7.6006610312,7.8481244136,7.6996463841
2007-06-27,1164373.0,7.5794498841,7.6430833253,7.4592533841,7.6430833253,7.5723795018
2007-06-28,1715234.0,8.0602358842,7.6006610312,7.6006610312,8.0602358842,7.6430833253
2007-06-29,5907760.0,7.9541801489,7.9188282371,7.9188282371,8.0602358842,7.9188282371
2007-07-02,287522.0,8.2016435313,7.9188282371,7.9188282371,8.4066846196,8.1026581784
2007-07-03,2815769.0,8.4844588255,8.3430511784,8.3430511784,8.5622330314,8.5198107373
2007-07-04,351510.0,8.5905145608,8.335980796,8.335980796,8.5905145608,8.5410218843
2007-07-05,15486.0,8.3501215608,8.5905145608,8.3430511784,8.6258664726,8.4208253843
2007-07-06,323745.0,8.4844588255,8.5905145608,8.4844588255,8.5905145608,8.5127403549
2007-07-10,32456736.0,8.6258664726,8.4844588255,8.4491069137,8.6258664726,8.4844588255
2007-07-11,52800.0,8.4844588255,8.4844588255,8.4844588255,8.4844588255,8.4844588255
2007-07-12,18015.0,8.4844588255,8.555162649,8.4773884431,8.555162649,8.4915292078
2007-07-13,308880.0,8.2723473549,8.2723473549,8.2723473549,8.2723473549,8.2723473549
2007-07-16,12562.0,8.1380100901,7.9188282371,7.9188282371,8.1380100901,8.0743766489
2007-07-17,6256197.0,8.4703180608,8.1309397078,8.1309397078,8.4703180608,8.335980796
2007-07-18,103945.0,8.1662916195,8.1309397078,8.1309397078,8.1662916195,8.1662916195
2007-07-19,6014956.0,8.434966149,8.1733620019,8.1309397078,8.434966149,8.1450804725
2007-07-20,1007432.0,8.4491069137,8.2016435313,8.2016435313,8.4773884431,8.4491069137
2007-07-23,1323509.0,8.6965702961,8.4632476784,8.4632476784,8.8379779432,8.555162649
2007-07-24,1081109.0,8.5975849432,8.5622330314,8.5622330314,8.9086817668,8.8238371785
2007-07-25,1878140.0,8.5198107373,8.4844588255,8.4844588255,8.5905145608,8.533951502
2007-07-26,175757.0,8.335980796,8.4632476784,8.2723473549,8.4632476784,8.3430511784
2007-07-27,3745690.0,8.2016435313,8.2723473549,7.6006610312,8.2723473549,7.8905467077
2007-07-30,79800.0,8.0602358842,8.0602358842,8.0602358842,8.0602358842,8.0602358842
2007-07-31,244819.0,8.095587796,8.1309397078,7.77742059,8.2016435313,8.0531655019
2007-08-01,683032.0,7.77742059,8.0602358842,7.77742059,8.0602358842,7.8622651783
