Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2012-04-20,0.0,2.1131197116,2.1131197116,2.1131197116,2.1131197116,2.1131197116
2012-04-23,9029302.0,1.995724172,2.0849447821,1.9745929749,2.0849447821,2.0544219418
2012-04-24,1404935.0,2.0426823878,2.0192032799,1.995724172,2.052074031,2.0215511907
2012-04-25,1311191.0,2.0426823878,2.0802489605,2.0192032799,2.0825968713,2.0473782094
2012-04-26,2150374.0,2.0426823878,2.0403344771,2.0215511907,2.0426823878,2.0379865663
2012-04-27,589831.0,2.0990322468,2.0426823878,2.0426823878,2.1037280684,2.0732052281
2012-04-30,915023.0,2.164773749,2.0426823878,2.0309428339,2.164773749,2.1107718008
2012-05-02,3064955.0,2.1506862842,2.1319029979,2.0685094065,2.153034195,2.1365988195
2012-05-03,856532.0,2.1248592655,2.1506862842,2.1013801576,2.1506862842,2.1201634439
2012-05-04,1454562.0,2.0661614957,2.1131197116,2.0661614957,2.1131197116,2.0825968713
2012-05-07,1401382.0,2.0661614957,2.0732052281,2.0426823878,2.0755531389,2.063813585
2012-05-08,3111284.0,2.0896406037,2.0990322468,2.0426823878,2.0990322468,2.0473782094
2012-05-09,1705023.0,2.0544219418,2.0426823878,2.0332907447,2.0661614957,2.0544219418
2012-05-10,2456432.0,2.0661614957,2.0614656742,2.0544219418,2.1131197116,2.0802489605
2012-05-11,1343706.0,2.1107718008,2.0450302986,2.0145074584,2.1107718008,2.0661614957
2012-05-14,2150528.0,2.0661614957,2.0825968713,2.0145074584,2.1107718008,2.0403344771
2012-05-15,1569863.0,2.0309428339,2.1060759792,2.0098116368,2.1131197116,2.0332907447
2012-05-16,2291725.0,2.0192032799,2.0262470123,1.962853421,2.0426823878,2.0098116368
2012-05-17,4061882.0,2.0309428339,2.0192032799,1.951113867,2.0708573173,2.0215511907
2012-05-18,914195.0,2.0192032799,2.0309428339,2.0192032799,2.0309428339,2.0192032799
2012-05-21,2653280.0,2.0192032799,2.0192032799,2.0145074584,2.0192032799,2.0192032799
2012-05-22,4440036.0,2.007463726,1.9910283504,1.9745929749,2.0192032799,2.0098116368
2012-05-23,1985510.0,1.8783286325,1.9769408857,1.8689369893,1.9769408857,1.8900681865
2012-05-24,30970.0,1.8783286325,1.8759807217,1.8313704167,1.8783286325,1.8642411678
2012-05-25,907813.0,1.8078913088,1.8736328109,1.7304102527,1.8759807217,1.8031954872
2012-05-28,464759.0,1.7585851822,1.7538893606,1.7398018959,1.8313704167,1.7703247361
2012-05-29,3760.0,1.760933093,1.7844122009,1.760933093,1.7844122009,1.7656289145
2012-05-30,73635.0,1.6411896426,1.7092790556,1.6411896426,1.7233665203,1.7116269664
2012-05-31,1514923.0,1.7139748772,1.6881478585,1.5519690326,1.7139748772,1.6364938211
2012-06-01,317372.0,1.6317979995,1.6646687506,1.5965793376,1.6646687506,1.6271021779
2012-06-04,31242.0,1.5543169434,1.5871876945,1.5543169434,1.5965793376,1.5613606758
2012-06-05,791943.0,1.5261420139,1.5496211218,1.5261420139,1.5496211218,1.5261420139
2012-06-06,73997.0,1.6411896426,1.5284899247,1.5261420139,1.6411896426,1.5519690326
2012-06-08,911133.0,1.5965793376,1.6130147132,1.5965793376,1.6435375534,1.5965793376
2012-06-11,1895492.0,1.5965793376,1.6083188916,1.5965793376,1.6341459103,1.6083188916
2012-06-12,535844.0,1.6435375534,1.6388417319,1.6106668024,1.6435375534,1.6364938211
2012-06-13,2001274.0,1.6458854642,1.6411896426,1.6411896426,1.7468456282,1.6458854642
2012-06-14,95927.0,1.6904957692,1.6646687506,1.6552771074,1.6904957692,1.6693645721
2012-06-15,156927.0,1.7726726469,1.7257144311,1.7257144311,1.7844122009,1.7468456282
2012-06-18,490718.0,1.7844122009,1.7984996656,1.7844122009,1.8313704167,1.8031954872
2012-06-19,962832.0,1.8313704167,1.8337183275,1.7961517548,1.8759807217,1.8384141491
2012-06-20,95250.0,1.8313704167,1.8313704167,1.7726726469,1.8313704167,1.8172829519
2012-06-21,48545.0,1.8266745951,1.8313704167,1.7891080225,1.8313704167,1.8102392196
2012-06-22,1083717.0,1.8008475764,1.8384141491,1.7844122009,1.850153703,1.8407620598
2012-06-25,413167.0,1.7961517548,1.8031954872,1.7656289145,1.8102392196,1.8031954872
2012-06-26,14427.0,1.7961517548,1.7961517548,1.7538893606,1.7961517548,1.7820642901
2012-06-27,51255.0,1.7961517548,1.7961517548,1.7961517548,1.7961517548,1.7961517548
2012-06-28,270523.0,1.760933093,1.7750205577,1.7327581635,1.793803844,1.7585851822
2012-06-29,2108909.0,1.8759807217,1.8102392196,1.7703247361,1.8759807217,1.793803844
2012-07-02,483042.0,1.7726726469,1.8337183275,1.7726726469,1.8712849001,1.7891080225
2012-07-03,948030.0,1.760933093,1.7773684685,1.704583234,1.8196308627,1.7468456282
2012-07-04,82160.0,1.8548495246,1.8548495246,1.8548495246,1.8548495246,1.8548495246
2012-07-05,305042.0,1.8431099706,1.8196308627,1.7961517548,1.8525016138,1.8219787735
2012-07-06,40530.0,1.8313704167,1.7961517548,1.7961517548,1.8313704167,1.8290225059
2012-07-10,847595.0,1.6904957692,1.793803844,1.6904957692,1.7961517548,1.7703247361
2012-07-11,445611.0,1.6130147132,1.6811041261,1.6130147132,1.6904957692,1.648233375
2012-07-12,92088.0,1.5965793376,1.6083188916,1.5496211218,1.6083188916,1.5660564973
2012-07-13,4150.0,1.6435375534,1.6200584455,1.5965793376,1.6435375534,1.6247542671
2012-07-16,17877.0,1.5942314268,1.6200584455,1.5942314268,1.6200584455,1.6153626239
2012-07-18,84451.0,1.5308378355,1.5731002297,1.5308378355,1.5731002297,1.5613606758
2012-07-19,5191929.0,1.6364938211,1.5331857463,1.502662906,1.6364938211,1.5073587276
2012-07-20,390590.0,1.7374539851,1.6364938211,1.6364938211,1.7374539851,1.6740603937
2012-07-23,72531.0,1.6552771074,1.69284368,1.6552771074,1.7374539851,1.6857999477
2012-07-24,163810.0,1.760933093,1.6552771074,1.6552771074,1.760933093,1.7022353232
2012-07-25,257450.0,1.7257144311,1.7726726469,1.7257144311,1.7844122009,1.7468456282
2012-07-26,163168.0,1.760933093,1.760933093,1.760933093,1.7844122009,1.7656289145
2012-07-27,193659.0,1.760933093,1.760933093,1.7444977174,1.8313704167,1.7820642901
2012-07-30,131833.0,1.7961517548,1.7750205577,1.7750205577,1.8125871304,1.7984996656
2012-07-31,213813.0,1.8736328109,1.7468456282,1.7468456282,1.8759807217,1.8384141491
2012-08-01,356030.0,1.7538893606,1.8219787735,1.7186706987,1.8219787735,1.7703247361
2012-08-02,488447.0,1.8078913088,1.7398018959,1.7374539851,1.850153703,1.8031954872
2012-08-03,618804.0,1.8783286325,1.8243266843,1.8196308627,1.8783286325,1.8266745951
2012-08-06,2851840.0,1.8360662383,1.8548495246,1.8078913088,1.8665890785,1.8407620598
2012-08-07,246935.0,1.8313704167,1.8243266843,1.8243266843,1.8431099706,1.8337183275
2012-08-08,184631.0,1.8548495246,1.7797163793,1.7797163793,1.8783286325,1.8149350412
2012-08-09,132392.0,1.8548495246,1.9041556512,1.8548495246,1.9041556512,1.8736328109
2012-08-10,213128.0,1.8571974354,1.8642411678,1.8571974354,1.8783286325,1.8736328109
2012-08-13,78574.0,1.8900681865,1.8571974354,1.8243266843,1.8900681865,1.8642411678
2012-08-14,1198795.0,1.8196308627,1.8313704167,1.8196308627,1.8877202757,1.8525016138
2012-08-15,25905.0,1.8548495246,1.8290225059,1.8196308627,1.8548495246,1.8431099706
2012-08-16,1875578.0,1.8759807217,1.8525016138,1.8431099706,1.8783286325,1.8595453462
2012-08-17,110481.0,1.850153703,1.8759807217,1.8478057922,1.8759807217,1.8665890785
2012-08-20,331877.0,1.9346784915,1.8454578814,1.8360662383,1.9346784915,1.8642411678
2012-08-21,2194704.0,1.9252868483,1.9229389375,1.8548495246,1.9252868483,1.8853723649
2012-08-22,852259.0,1.9252868483,1.9018077404,1.8853723649,1.9417222238,1.9205910267
2012-08-23,655282.0,1.9252868483,1.9135472944,1.8783286325,1.9252868483,1.906503562
2012-08-24,264421.0,1.9487659562,1.9252868483,1.8900681865,1.9698971533,1.9276347591
2012-08-27,369468.0,1.9745929749,1.9393743131,1.9158952052,1.9745929749,1.962853421
2012-08-28,418038.0,1.9276347591,1.9722450641,1.9276347591,1.9933762612,1.9698971533
2012-08-29,279597.0,1.9933762612,1.9839846181,1.9252868483,1.9933762612,1.9534617778
2012-08-30,1257476.0,1.9229389375,1.9863325289,1.9229389375,1.995724172,1.962853421
2012-08-31,575913.0,1.9839846181,1.9581575994,1.9440701346,1.9839846181,1.9816367073
2012-09-03,206973.0,1.995724172,1.9980720828,1.9698971533,1.9980720828,1.9839846181
2012-09-04,677272.0,1.9722450641,1.9933762612,1.9417222238,1.9933762612,1.9652013318
2012-09-05,2171799.0,1.9605055102,1.9933762612,1.9440701346,2.007463726,1.9698971533
2012-09-06,1171529.0,1.9534617778,1.9816367073,1.951113867,1.9816367073,1.9581575994
2012-09-10,887989.0,1.9158952052,1.962853421,1.8830244541,1.962853421,1.9276347591
2012-09-11,1387575.0,1.8759807217,1.894764008,1.8548495246,1.8971119188,1.8853723649
2012-09-12,120699.0,1.8877202757,1.8642411678,1.8642411678,1.9417222238,1.8759807217
2012-09-13,973978.0,1.8689369893,1.8994598296,1.8595453462,1.8994598296,1.8689369893
2012-09-14,776414.0,1.894764008,1.9018077404,1.8665890785,1.9464180454,1.8994598296
2012-09-17,346212.0,1.8783286325,1.9229389375,1.8783286325,1.9299826699,1.8806765433
2012-09-18,2789884.0,1.8712849001,1.8783286325,1.8712849001,1.8783286325,1.8783286325
2012-09-19,701649.0,1.8431099706,1.8783286325,1.8313704167,1.8783286325,1.8431099706
2012-09-20,5712007.0,1.8759807217,1.8407620598,1.8407620598,1.8900681865,1.8548495246
2012-09-21,3181203.0,1.8548495246,1.8759807217,1.8290225059,1.8759807217,1.8478057922
2012-09-24,817528.0,1.8712849001,1.8689369893,1.8243266843,1.8900681865,1.8689369893
2012-09-25,2510172.0,1.9487659562,1.8759807217,1.8525016138,1.9487659562,1.906503562
2012-09-26,926046.0,1.9769408857,1.9252868483,1.9088514728,1.995724172,1.9393743131
2012-09-27,367656.0,1.995724172,1.9675492425,1.9487659562,1.9980720828,1.9745929749
2012-09-28,673618.0,1.9839846181,1.9722450641,1.9605055102,2.0098116368,1.9816367073
2012-10-01,925647.0,1.9603864489,1.9769597643,1.941445517,1.9887978467,1.9651216819
2012-10-02,1216650.0,2.1308548358,1.9651216819,1.9651216819,2.1308548358,2.0219444775
2012-10-03,1116074.0,2.1308548358,2.1119139039,2.0598263413,2.1308548358,2.1000758215
2012-10-04,551763.0,2.1308548358,2.1119139039,2.0621939577,2.1308548358,2.1095462874
2012-10-05,1801876.0,2.0953405885,2.1284872193,2.0906053555,2.1332224523,2.1071786709
2012-10-08,284835.0,2.1071786709,2.092972972,2.0835025061,2.1095462874,2.0953405885
2012-10-09,681304.0,2.0361501764,2.0953405885,2.0361501764,2.1166491369,2.092972972
2012-10-10,1453983.0,2.1190167534,2.0645615742,2.0101063951,2.1190167534,2.0432530259
2012-10-11,1049102.0,2.1308548358,2.1119139039,2.0787672731,2.1308548358,2.092972972
2012-10-15,2435054.0,2.1308548358,2.1119139039,2.1048110545,2.2018833303,2.1521633841
2012-10-16,818749.0,2.2018833303,2.1308548358,2.1190167534,2.2018833303,2.1545310006
2012-10-17,6379987.0,2.2965879897,2.1900452479,2.1900452479,2.3202641545,2.2421328105
2012-10-18,4159196.0,2.3534107853,2.3297346204,2.2752794413,2.3534107853,2.2942203732
2012-10-19,2113302.0,2.2942203732,2.3297346204,2.2752794413,2.3534107853,2.317896538
2012-10-22,2429122.0,2.3297346204,2.2634413589,2.2634413589,2.3297346204,2.3060584556
2012-10-23,807830.0,2.24923566,2.3321022369,2.24923566,2.3321022369,2.2634413589
2012-10-24,6930220.0,2.2847499072,2.2776470578,2.24923566,2.2965879897,2.2729118248
2012-10-25,90223.0,2.2965879897,2.2847499072,2.2847499072,2.317896538,2.2965879897
2012-10-26,724732.0,2.3841897996,2.2965879897,2.2965879897,2.3841897996,2.3841897996
2012-10-29,977477.0,2.4836296919,2.3794545666,2.3557784018,2.4836296919,2.4244392798
2012-10-30,6022118.0,2.4859973084,2.4386449787,2.4386449787,2.5262467886,2.4907325414
2012-10-31,3854895.0,2.5570258029,2.5096734733,2.4931001579,2.5617610359,2.5120410897
2012-11-01,2468768.0,2.6043781326,2.5570258029,2.5215115557,2.6043781326,2.5807019678
2012-11-05,2145193.0,2.5641286524,2.5735991183,2.5641286524,2.6754066271,2.5878048172
2012-11-06,2643300.0,2.6280542975,2.5593934194,2.5593934194,2.6754066271,2.6469952293
2012-11-07,1457165.0,2.6754066271,2.6114809821,2.5404524875,2.6754066271,2.5878048172
2012-11-08,727039.0,2.6280542975,2.6872447096,2.6280542975,2.694347559,2.6683037777
2012-11-09,784139.0,2.5807019678,2.6375247634,2.5759667348,2.6375247634,2.5925400502
2012-11-12,330352.0,2.6043781326,2.6020105161,2.5807019678,2.6043781326,2.5996428996
2012-11-13,1756065.0,2.699082792,2.5830695843,2.5830695843,2.699082792,2.6540980788
2012-11-14,4685510.0,2.7701112865,2.699082792,2.6233190645,2.7701112865,2.6825094766
2012-11-16,944690.0,2.7961550678,2.772478903,2.7701112865,2.8624483294,2.8174636162
2012-11-19,718236.0,2.841139781,2.8482426305,2.7701112865,2.8482426305,2.8245664656
2012-11-21,6146629.0,2.6754066271,2.8056255338,2.5593934194,2.8245664656,2.7061856414
2012-11-22,139194.0,2.76774367,2.7132884909,2.6327895304,2.76774367,2.7014504085
2012-11-23,189130.0,2.7701112865,2.7630084371,2.703818025,2.7701112865,2.7464351217
2012-11-26,893661.0,2.841139781,2.7559055876,2.7180237239,2.841139781,2.7866846019
2012-11-27,2231263.0,2.8293016986,2.8742864118,2.7819493689,2.8742864118,2.8032579173
2012-11-28,2184799.0,2.8387721646,2.8269340821,2.8103607667,2.8577130964,2.8293016986
2012-11-29,1492021.0,2.8293016986,2.8861244942,2.7914198349,2.8861244942,2.8245664656
2012-11-30,12470394.0,2.841139781,2.8861244942,2.76774367,2.8861244942,2.8245664656
2012-12-03,2104024.0,2.841139781,2.8150959997,2.8150959997,2.8884921107,2.845875014
2012-12-04,727172.0,2.8387721646,2.8861244942,2.8008903008,2.8861244942,2.8364045481
2012-12-05,2202645.0,2.8340369316,2.8340369316,2.7937874514,2.8435073975,2.8340369316
2012-12-06,1590014.0,2.841139781,2.8577130964,2.8221988492,2.8577130964,2.841139781
2012-12-07,1477047.0,2.841139781,2.8435073975,2.8056255338,2.850610247,2.8316693151
2012-12-10,691714.0,2.841139781,2.841139781,2.8103607667,2.841139781,2.8293016986
