Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2013-02-07,0.0,8.316910633,8.316910633,8.316910633,8.316910633,8.316910633
2013-02-08,251882209.0,9.8570792687,9.2440921517,9.2440921517,9.8570792687,9.3857876662
2013-02-13,20748046.0,9.7831511742,9.9032843278,9.644535997,9.9094450023,9.8385972451
2013-02-14,14097405.0,9.5644472279,9.7523478015,9.5490455416,9.826275896,9.644535997
2013-02-15,23646505.0,9.5459652043,9.5521258788,9.5059208198,9.5644472279,9.5490455416
2013-02-18,2421225.0,9.4566354234,9.5305635179,9.2410118144,9.5336438552,9.4658764352
2013-02-19,6317643.0,9.4135107016,9.395028678,9.395028678,9.5336438552,9.4689567725
2013-02-20,745111.0,9.5490455416,9.4135107016,9.4135107016,9.5490455416,9.4843584589
2013-02-21,4431802.0,9.4874387961,9.4042696898,9.3642253053,9.4874387961,9.4473944116
2013-02-22,4553844.0,9.5459652043,9.4073500271,9.395028678,9.5459652043,9.4258320507
2013-02-25,3958333.0,9.4566354234,9.4874387961,9.4412337371,9.6014112752,9.4597157607
2013-02-26,781127.0,9.5182421689,9.3981090153,9.3981090153,9.5459652043,9.509001157
2013-02-27,2665044.0,9.610652287,9.5459652043,9.509001157,9.6352949852,9.5552062161
2013-02-28,1795312.0,9.8539989314,9.5613668906,9.5613668906,9.8539989314,9.7523478015
2013-03-01,768724.0,10.008015795,9.7092230797,9.7030624051,10.008015795,9.826275896
2013-03-04,1176618.0,9.9186860141,9.9186860141,9.8539989314,10.162032658,9.9556500614
2013-03-05,3414555.0,9.9186860141,10.011096132,9.9186860141,10.149711309,10.075783215
2013-03-06,5651858.0,9.7092230797,9.9802927596,9.5736882397,10.214398392,9.792392186
2013-03-07,322673.0,9.7369461151,9.826275896,9.6876607188,9.8632399433,9.7431067897
2013-03-08,2140462.0,9.6414556597,9.678419707,9.576768577,9.8231955587,9.6537770088
2013-03-11,435963.0,10.008015795,9.6476163342,9.610652287,10.008015795,9.8755612923
2013-03-12,970890.0,9.7800708369,9.8878826414,9.7615888133,9.9956944459,9.8047135351
2013-03-13,557459.0,10.131229285,9.7800708369,9.6907410561,10.131229285,10.100425913
2013-03-14,15102998.0,9.8570792687,9.8909629787,9.826275896,9.9772124223,9.8539989314
2013-03-15,2835591.0,9.9710517478,9.8570792687,9.7954725233,9.9710517478,9.8570792687
2013-03-18,10803193.0,9.8570792687,9.8570792687,9.8355169078,9.8570792687,9.8570792687
2013-03-19,27649818.0,9.9525697241,9.8755612923,9.8755612923,10.026497818,10.011096132
2013-03-20,203067.0,10.011096132,9.9833730968,9.9833730968,10.158952321,10.088104564
2013-03-21,2733286.0,10.075783215,10.026497818,10.014176469,10.10350625,10.06962254
2013-03-22,15059771.0,10.115827599,10.081943889,10.057301191,10.165112995,10.143550635
2013-03-25,18248986.0,9.9494893869,10.131229285,9.9494893869,10.131229285,10.03573883
2013-03-26,6848046.0,9.8509185942,9.9525697241,9.6753393697,9.9895337714,9.8632399433
2013-03-27,8923389.0,9.7800708369,9.8231955587,9.7215444288,9.9464090496,9.792392186
2013-03-28,5804241.0,9.7800708369,9.8539989314,9.7800708369,9.8539989314,9.7800708369
2013-04-01,4554990.0,9.8694006178,9.7646691506,9.7646691506,9.9340877005,9.860159606
2013-04-02,905672.0,9.6660983579,9.9186860141,9.5582865534,9.9186860141,9.7893118487
2013-04-03,2091512.0,9.6568573461,9.6660983579,9.6137326243,9.7061427424,9.6599376833
2013-04-04,1225321.0,9.6969017306,9.610652287,9.5983309379,9.7492674642,9.6537770088
2013-04-05,17298578.0,9.6876607188,9.758508476,9.6137326243,9.758508476,9.6999820679
2013-04-08,19980485.0,9.9956944459,9.7800708369,9.5798489143,9.9956944459,9.7030624051
2013-04-09,2073922.0,9.826275896,9.9371680378,9.7369461151,9.9494893869,9.8447579196
2013-04-10,8050825.0,9.8570792687,9.8909629787,9.7677494878,9.894043316,9.8324365705
2013-04-11,341866.0,9.8416775824,9.9279270259,9.7954725233,9.9279270259,9.8416775824
2013-04-12,794239.0,9.7800708369,9.8509185942,9.7677494878,9.8539989314,9.7862315115
2013-04-15,772601.0,9.6722590324,9.644535997,9.5675275652,9.8509185942,9.7123034169
2013-04-16,1870312.0,9.7184640915,9.8170348842,9.6014112752,9.8201152215,9.7492674642
2013-04-17,1240788.0,9.7800708369,9.644535997,9.644535997,9.7985528605,9.724624766
2013-04-18,6093081.0,9.6260539733,9.7369461151,9.475117447,9.7369461151,9.6014112752
2013-04-19,1952436.0,9.8507509953,9.6435295458,9.597136684,9.8507509953,9.7084795524
2013-04-22,1723911.0,9.6342509735,9.7734295589,9.6095081138,9.7734295589,9.6589938331
2013-04-23,7404968.0,9.5878581116,9.6126009713,9.5414652498,9.665179548,9.5940438265
2013-04-24,3415956.0,9.5878581116,9.5909509691,9.5260009625,9.7394081269,9.5785795393
2013-04-25,4008259.0,9.7425009844,9.5878581116,9.5383723923,9.7425009844,9.6249724011
2013-04-26,1143046.0,10.169315313,9.7425009844,9.6559009756,10.169315313,9.7919867037
2013-04-29,9501791.0,10.37962962,10.169315313,9.7950795611,10.976551109,10.262101036
2013-04-30,9975427.0,10.407465337,10.382722477,10.107458164,10.497158203,10.398186764
2013-05-02,8787081.0,10.361072475,10.333236758,10.243543892,10.51262249,10.388908192
2013-05-03,3080575.0,10.515715348,10.426022482,10.345608188,10.701286795,10.447672484
2013-05-06,2938888.0,10.701286795,10.419836767,10.404372479,10.784793946,10.617779644
2013-05-07,6078266.0,10.809536806,10.661079648,10.605408214,11.125008266,10.815722521
2013-05-08,23783723.0,10.825001093,10.883765385,10.673451078,10.976551109,10.821908236
2013-05-09,3447372.0,10.701286795,10.806443949,10.608501071,10.825001093,10.760051087
2013-05-10,20615275.0,10.979643966,10.821908236,10.821908236,11.069336832,10.979643966
2013-05-13,1318436.0,11.010572541,10.886858242,10.837372523,11.010572541,10.961086821
2013-05-14,13377262.0,11.075522547,11.02294397,10.920879674,11.227072563,11.128101124
2013-05-15,10777816.0,11.288929712,11.044593973,11.044593973,11.477594016,11.397179723
2013-05-16,9151977.0,11.397179723,11.434294012,11.24253685,11.567286883,11.41264401
2013-05-17,13067474.0,11.443572584,11.418829725,11.288929712,11.477594016,11.378622578
2013-05-20,957616.0,11.381715435,11.443572584,11.313672571,11.443572584,11.390994008
2013-05-21,2276401.0,11.350786861,11.37552972,11.24253685,11.443572584,11.356972576
2013-05-22,4017037.0,11.06005826,11.378622578,11.06005826,11.381715435,11.25490828
2013-05-23,3446085.0,11.134286839,11.053872545,11.053872545,11.381715435,11.24253685
