Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2005-08-29,3887009.0,3355.2360638,3023.6138947,3023.6138947,3608.8294872,3472.2791823
2005-08-30,1640659.0,3413.757623,3511.2935551,3179.671386,3569.8151144,3335.7288774
2005-08-31,4052193.0,3355.2360638,3433.2648094,3277.2073181,3511.2935551,3355.2360638
2005-09-01,6910081.0,3511.2935551,3413.757623,3238.1929453,3511.2935551,3374.7432502
2005-09-02,2730285.0,3511.2935551,3511.2935551,3257.7001317,3901.4372835,3394.2504366
2005-09-05,724692.0,3706.3654193,3491.7863687,3394.2504366,3745.3797921,3511.2935551
2005-09-06,1500435.0,3667.3510464,3706.3654193,3530.8007415,3725.8726057,3667.3510464
2005-09-08,3738221.0,3491.7863687,3569.8151144,3316.2216909,3667.3510464,3472.2791823
2005-09-09,1771375.0,3550.3079279,3355.2360638,3355.2360638,3550.3079279,3511.2935551
2005-09-12,1679603.0,3433.2648094,3413.757623,3316.2216909,3472.2791823,3394.2504366
2005-09-13,1377482.0,3569.8151144,3374.7432502,3296.7145045,3569.8151144,3413.757623
2005-09-14,825450.0,3725.8726057,3569.8151144,3511.2935551,3745.3797921,3628.3366736
2005-09-15,5131371.0,3764.8869785,3745.3797921,3686.8582329,3998.9732155,3784.394165
2005-09-16,6085172.0,3862.4229106,3725.8726057,3608.8294872,3959.9588427,3842.9157242
2005-09-19,944238.0,3823.4085378,3940.4516563,3803.9013514,3959.9588427,3842.9157242
2005-09-20,3166085.0,3784.394165,3862.4229106,3706.3654193,3940.4516563,3803.9013514
2005-09-21,1679916.0,3667.3510464,3803.9013514,3569.8151144,3823.4085378,3647.84386
2005-09-22,771967.0,3628.3366736,3667.3510464,3550.3079279,3667.3510464,3608.8294872
2005-09-23,1179664.0,3628.3366736,3628.3366736,3589.3223008,3686.8582329,3608.8294872
2005-09-26,1526874.0,3589.3223008,3608.8294872,3530.8007415,3725.8726057,3647.84386
2005-09-27,1045220.0,3530.8007415,3569.8151144,3491.7863687,3589.3223008,3530.8007415
2005-09-28,1830292.0,3608.8294872,3550.3079279,3530.8007415,3706.3654193,3589.3223008
2005-09-29,308062.0,3667.3510464,3608.8294872,3589.3223008,3686.8582329,3628.3366736
2005-09-30,1402160.0,3901.4372835,3706.3654193,3608.8294872,4037.9875884,3842.9157242
2005-10-03,2593535.0,3959.9588427,3881.930097,3803.9013514,3979.4660291,3862.4229106
2005-10-04,4471028.0,3959.9588427,3881.930097,3842.9157242,4096.5091476,3940.4516563
2005-10-05,3564697.0,3998.9732155,3901.4372835,3901.4372835,4194.0450797,3998.9732155
2005-10-06,2095750.0,4037.9875884,3940.4516563,3842.9157242,4135.5235205,3998.9732155
2005-10-07,3768195.0,4155.0307069,4077.0019612,4077.0019612,4389.1169439,4233.0594525
2005-10-10,330482.0,4272.0738254,4369.6097575,4194.0450797,4467.1456896,4272.0738254
2005-10-11,608872.0,4194.0450797,4389.1169439,4194.0450797,4545.1744352,4252.566639
2005-10-13,843265.0,4389.1169439,4155.0307069,4037.9875884,4545.1744352,4233.0594525
2005-10-14,335357.0,4506.1600624,4350.1025711,4272.0738254,4545.1744352,4428.1313167
2005-10-17,2441483.0,4681.7247401,4506.1600624,4408.6241303,4954.82535,4701.2319266
2005-10-18,1295962.0,4876.7966043,4740.2462994,4545.1744352,4954.82535,4837.7822315
2005-10-19,961890.0,4876.7966043,4935.3181636,4681.7247401,4954.82535,4759.7534858
2005-10-20,1335249.0,4876.7966043,4954.82535,4584.1888081,4954.82535,4740.2462994
2005-10-21,530096.0,5071.8684685,4896.3037907,4857.2894179,5266.9403327,4974.3325364
2005-10-24,832872.0,5364.4762648,5071.8684685,5071.8684685,5383.9834512,5286.4475191
2005-10-25,1292201.0,5481.5193833,5383.9834512,5266.9403327,6008.2134165,5579.0553153
2005-10-26,1609557.0,5501.0265697,5481.5193833,5403.4906376,5657.084061,5501.0265697
