Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2018-12-21,75888912.0,17.371005667,15.882062323,15.882062323,18.562160341,17.440489689
2018-12-26,15252261.0,17.668794335,17.768057225,17.480194845,18.691202097,17.996361871
2018-12-27,6276761.0,18.214740228,17.867320114,17.807762381,18.264371673,18.016214449
2018-12-28,10513065.0,17.887172692,18.403339718,17.877246403,18.661423231,18.145256205
2019-01-02,27126689.0,16.725796885,18.135329916,16.537197395,18.264371673,16.914396375
2019-01-03,17112415.0,16.477639661,16.874691219,16.189777281,17.063290709,16.566976262
2019-01-04,17934616.0,15.971398924,16.537197395,15.931693768,16.785354619,16.239408726
2019-01-07,15590078.0,15.504863343,16.100440681,15.187222097,16.239408726,15.743094278
2019-01-08,18419575.0,15.753020567,15.623978811,15.276558697,15.832430879,15.604126233
2019-01-09,11726431.0,16.120293259,15.872136035,15.802652012,16.834986063,16.338671616
2019-01-10,11641425.0,17.361079378,16.418081927,16.150072126,17.361079378,16.715870596
2019-01-11,26148394.0,19.455526347,18.363634562,18.165108783,19.882356772,19.098179945
2019-01-14,28556695.0,20.249629463,19.723536149,19.554789236,21.242258358,20.547418132
2019-01-15,9951125.0,19.753315015,20.358818642,19.534936658,20.646681021,20.110661418
2019-01-16,9288429.0,19.058474789,20.051103684,19.058474789,20.348892353,19.376116035
2019-01-17,21435524.0,18.065845893,19.257000568,15.91184119,19.435673769,18.403339718
2019-01-18,11054739.0,18.621718075,18.452971163,18.254445384,18.780538698,18.562160341
2019-01-21,7754881.0,18.998917055,18.621718075,18.582012919,19.405894902,19.078327367
2019-01-22,15387540.0,19.018769633,19.0485485,18.611791786,19.217295412,18.939359321
2019-01-23,11672946.0,19.058474789,19.207369123,18.611791786,19.207369123,18.879801588
2019-01-24,9694735.0,18.661423231,18.939359321,18.661423231,19.207369123,18.889727877
2019-01-28,7697524.0,18.711054675,18.661423231,18.363634562,19.108106233,18.76068612
2019-01-29,5747744.0,18.582012919,18.919506743,18.562160341,18.919506743,18.740833542
2019-01-30,9510088.0,19.257000568,18.611791786,18.611791786,19.257000568,18.800391276
2019-01-31,11083611.0,19.108106233,19.356263457,19.058474789,19.793020171,19.415821191
2019-02-01,10855103.0,19.654052126,19.356263457,19.108106233,19.753315015,19.445600058
2019-02-04,6799937.0,19.90220935,19.654052126,19.475378925,20.110661418,19.862504194
2019-02-05,6428750.0,19.554789236,20.150366574,19.386042324,20.199998018,19.80294646
2019-02-06,9354978.0,19.108106233,19.624273259,18.979064477,19.673904704,19.316558301
2019-02-07,9837166.0,18.264371673,19.356263457,17.966583004,19.356263457,18.492676318
2019-02-08,8477795.0,17.916951559,18.244519095,17.867320114,18.512528896,18.055919605
2019-02-11,2369592.0,18.045993316,18.00628816,17.867320114,18.214740228,17.996361871
2019-02-12,4563839.0,18.016214449,18.19488765,18.016214449,18.314003117,18.135329916
2019-02-13,8949268.0,18.165108783,18.09562476,17.857393825,18.165108783,18.026140738
2019-02-14,9299244.0,18.19488765,18.085698471,18.016214449,18.462897452,18.254445384
2019-02-15,5284135.0,17.897098981,18.085698471,17.748204647,18.085698471,17.897098981
2019-02-18,7431598.0,17.668794335,18.016214449,12.983585949,18.016214449,16.626533995
2019-02-19,4574677.0,17.450415978,17.549678868,17.400784534,17.81768867,17.509973712
2019-02-20,3690253.0,17.361079378,17.480194845,17.301521644,17.519900001,17.400784534
2019-02-21,3430101.0,17.351153089,17.390858245,17.162553599,17.470268556,17.291595355
2019-02-22,2796681.0,17.371005667,17.073216998,17.05336442,17.559605157,17.291595355
2019-02-25,3199790.0,17.222111333,17.420637112,17.093069576,17.648941757,17.261816488
2019-02-26,2867042.0,17.172479888,17.371005667,17.063290709,17.371005667,17.182406177
2019-02-27,2800703.0,17.271742777,17.172479888,17.122848443,17.371005667,17.232037621
2019-02-28,3474407.0,17.3412268,17.321374222,17.093069576,17.460342267,17.291595355
2019-03-01,2100151.0,17.52982629,17.519900001,17.271742777,17.668794335,17.480194845
2019-03-06,4962457.0,17.291595355,17.708499491,17.003732976,17.708499491,17.192332466
2019-03-07,4543527.0,17.102995865,17.281669066,17.013659265,17.291595355,17.102995865
2019-03-08,4698808.0,17.023585553,17.112922154,16.825059774,17.15262731,16.934248953
2019-03-11,3119551.0,16.973954109,17.083143287,16.973954109,17.311447933,17.083143287
2019-03-12,1630124.0,17.132774732,17.142701021,16.924322664,17.261816488,17.093069576
2019-03-13,2217145.0,17.271742777,17.261816488,16.924322664,17.371005667,17.112922154
2019-03-14,3216659.0,17.212185044,17.271742777,17.112922154,17.480194845,17.202258755
2019-03-15,3702583.0,17.371005667,17.281669066,17.212185044,17.678720624,17.430563401
2019-03-18,4733413.0,17.777983514,17.559605157,17.410710823,18.055919605,17.787909803
2019-03-19,4262274.0,17.956656715,17.867320114,17.867320114,18.264371673,18.085698471
2019-03-20,4990797.0,17.867320114,18.026140738,17.609236602,18.145256205,17.966583004
2019-03-21,3855230.0,17.668794335,17.946730426,17.390858245,18.045993316,17.738278358
2019-03-22,7216929.0,16.973954109,17.450415978,16.973954109,17.648941757,17.261816488
2019-03-25,3397265.0,16.884617508,17.162553599,16.884617508,17.371005667,17.073216998
2019-03-26,2371081.0,17.023585553,16.983880398,16.884617508,17.172479888,17.013659265
2019-03-27,4145937.0,16.626533995,16.993806687,16.626533995,17.172479888,16.715870596
2019-03-28,5609101.0,17.271742777,16.646386573,16.477639661,17.271742777,16.815133485
2019-03-29,4844478.0,16.854838641,17.271742777,16.596755129,17.549678868,16.983880398
2019-04-01,5412629.0,16.874691219,17.083143287,16.825059774,17.251890199,16.924322664
2019-04-02,4227037.0,17.112922154,17.05336442,16.854838641,17.212185044,17.033511842
2019-04-03,4857344.0,17.281669066,17.261816488,17.172479888,17.490121134,17.351153089
2019-04-04,17217317.0,17.81768867,18.314003117,17.768057225,18.314003117,17.976509293
2019-04-05,5863824.0,18.036067027,17.887172692,17.877246403,18.224666517,18.075772182
2019-04-08,3339231.0,18.145256205,18.204813939,18.085698471,18.363634562,18.184961361
2019-04-09,2358764.0,18.055919605,18.165108783,17.916951559,18.254445384,18.075772182
2019-04-10,2806687.0,17.768057225,18.224666517,17.768057225,18.224666517,17.887172692
2019-04-11,2543805.0,17.887172692,17.926877848,17.668794335,18.115477338,17.81768867
2019-04-12,5757959.0,17.222111333,17.90702527,17.222111333,17.956656715,17.539752579
2019-04-15,2794178.0,17.222111333,17.390858245,16.993806687,17.470268556,17.192332466
2019-04-16,4010913.0,17.013659265,17.192332466,16.973954109,17.470268556,17.222111333
2019-04-17,4487059.0,17.251890199,17.112922154,16.884617508,17.251890199,17.063290709
2019-04-18,3055662.0,17.102995865,17.24196391,17.063290709,17.371005667,17.162553599
2019-04-22,1223051.0,17.232037621,17.24196391,17.073216998,17.271742777,17.192332466
2019-04-23,2684105.0,17.440489689,17.410710823,17.3412268,17.52982629,17.420637112
2019-04-24,4207866.0,17.420637112,17.519900001,17.301521644,17.688646913,17.430563401
2019-04-25,3087655.0,17.470268556,17.430563401,17.371005667,17.589384024,17.440489689
2019-04-26,2536009.0,17.400784534,17.559605157,17.380931956,17.807762381,17.579457735
2019-04-29,2881050.0,17.509973712,17.420637112,17.361079378,17.887172692,17.52982629
2019-04-30,3111800.0,17.410710823,17.509973712,17.371005667,17.728352069,17.480194845
2019-05-02,8867104.0,17.390858245,17.371005667,16.844912352,17.519900001,17.232037621
2019-05-03,14299279.0,16.993806687,17.371005667,16.993806687,17.519900001,17.033511842
2019-05-06,4016615.0,17.261816488,16.884617508,16.884617508,17.460342267,17.281669066
2019-05-07,4535397.0,17.668794335,17.321374222,17.073216998,17.668794335,17.351153089
2019-05-08,3605742.0,17.768057225,17.668794335,17.599310313,17.966583004,17.827614959
2019-05-09,4026649.0,18.184961361,17.976509293,17.81768867,18.214740228,18.125403627
2019-05-10,2227708.0,18.165108783,18.204813939,18.085698471,18.204813939,18.165108783
2019-05-13,2210208.0,17.867320114,18.19488765,17.787909803,18.204813939,17.946730426
2019-05-14,4096804.0,17.867320114,17.986435582,17.768057225,18.036067027,17.847467537
2019-05-15,3615038.0,17.371005667,17.857393825,17.3412268,17.867320114,17.519900001
2019-05-16,3450473.0,17.559605157,17.500047423,17.331300511,17.768057225,17.609236602
