Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2006-12-15,0.0,8.5948767046,8.5948767046,8.5948767046,8.5948767046,8.5948767046
2006-12-18,151450633.0,9.9485697856,8.917184581,8.917184581,9.9485697856,9.3727130464
2006-12-19,41241241.0,10.034518552,9.9485697856,9.6305593475,10.305257168,10.056005744
2006-12-20,33672741.0,10.74359588,10.01303136,10.01303136,11.603083551,10.631862483
2006-12-21,10218332.0,10.876816469,10.808057456,10.808057456,11.375319318,11.018631935
2006-12-22,3595653.0,10.74359588,10.958467798,10.356826429,11.173339716,10.752190757
2006-12-26,2556071.0,10.313852045,10.790867702,9.6692362927,10.790867702,10.296662292
2006-12-27,3222607.0,10.270877662,10.313852045,10.098980127,10.528723963,10.219308401
2006-12-28,3017431.0,10.098980127,10.206416086,10.098980127,10.232200716,10.172036579
2007-01-02,2537592.0,10.01303136,10.098980127,9.8841082103,10.348231552,10.193523771
2007-01-03,15047511.0,9.978651854,9.9872467307,9.7981594432,9.9872467307,9.8970005253
2007-01-04,13122981.0,9.8798107719,9.8841082103,9.7766722515,9.9485697856,9.9270825938
2007-01-05,742240.0,9.7981594432,9.8110517583,9.4801490052,9.8841082103,9.7251029912
2007-01-08,10615628.0,9.9485697856,9.7981594432,9.7981594432,10.01303136,9.8970005253
2007-01-09,13101865.0,10.735001004,9.9485697856,9.587584964,10.735001004,9.9141902788
2007-01-10,9300285.0,10.313852045,10.107575004,10.107575004,10.485749579,10.270877662
2007-01-11,625416.0,10.442775196,10.309554607,10.309554607,10.442775196,10.335339237
2007-01-12,1569777.0,10.374016182,10.485749579,10.184928894,10.485749579,10.313852045
2007-01-15,449076.0,9.9614621006,10.120467319,9.8841082103,10.270877662,9.9485697856
2007-01-16,1272629.0,9.9356774705,9.9700569773,9.8798107719,9.9829492924,9.905595402
2007-01-17,1790611.0,9.892703087,9.8411338268,9.7981594432,9.9270825938,9.8798107719
2007-01-18,1422585.0,10.098980127,9.8841082103,9.8626210185,10.098980127,9.9227851554
2007-01-19,1164841.0,10.584590661,9.9098928404,9.9098928404,10.704918935,10.494344456
2007-01-22,806927.0,10.313852045,10.374016182,9.9915441691,10.700621497,10.322446922
2007-01-23,3956115.0,10.232200716,10.270877662,10.077492936,10.270877662,10.206416086
2007-01-24,4992360.0,10.533021401,10.232200716,10.098980127,10.563103469,10.262282785
2007-01-26,4628635.0,10.485749579,10.528723963,10.313852045,10.739298442,10.408395689
2007-01-29,5269632.0,10.571698346,10.528723963,10.485749579,10.709216373,10.520129086
2007-01-30,5904600.0,10.700621497,10.571698346,10.227903278,10.829544647,10.657647113
2007-01-31,3039549.0,10.206416086,10.735001004,10.184928894,10.735001004,10.35252899
2007-02-01,3832929.0,10.442775196,10.227903278,10.227903278,10.507236771,10.429882881
2007-02-02,774687.0,10.507236771,10.236498155,10.236498155,10.515831648,10.434180319
2007-02-05,1122329.0,10.575995785,10.270877662,10.270877662,10.696324058,10.533021401
2007-02-06,2311178.0,10.485749579,10.32674436,10.32674436,10.657647113,10.520129086
2007-02-07,3050397.0,10.313852045,10.313852045,10.227903278,10.442775196,10.313852045
2007-02-08,1520073.0,10.485749579,10.098980127,10.098980127,10.485749579,10.318149483
2007-02-09,4264198.0,10.442775196,10.593185538,10.442775196,10.786570264,10.674836867
2007-02-12,1265785.0,10.528723963,10.442775196,10.098980127,10.700621497,10.399800812
2007-02-13,430344.0,10.37831362,10.227903278,9.8841082103,10.61467273,10.331041798
2007-02-14,3748128.0,10.313852045,10.318149483,10.236498155,10.481452141,10.32674436
2007-02-15,4401065.0,10.253687908,10.399800812,9.9915441691,10.399800812,10.288067415
2007-02-16,178505.0,10.056005744,10.056005744,9.9528672239,10.270877662,10.094682689
2007-02-21,240239.0,10.19782121,10.270877662,10.060303182,10.313852045,10.22360584
2007-02-22,196913.0,10.056005744,10.107575004,10.056005744,10.193523771,10.073195497
2007-02-23,1164868.0,9.905595402,10.056005744,9.8798107719,10.056005744,9.9141902788
2007-02-26,4591872.0,9.7165081145,10.270877662,9.6864260461,10.270877662,9.8626210185
2007-02-27,537679.0,8.6808254716,9.673533731,8.5948767046,9.673533731,9.063297485
2007-02-28,4960153.0,9.4500669367,8.68512291,8.68512291,9.4500669367,8.7366921702
2007-03-01,161876.0,9.0675949233,8.6206613347,8.6077690197,9.1922206356,9.0332154165
2007-03-02,154255.0,9.0203231015,8.8226409373,8.7839639921,9.1062718685,8.9601589645
2007-03-05,2039812.0,8.380004787,8.2510816364,8.1651328694,8.9816461563,8.3499227185
2007-03-06,2192408.0,9.0246205398,8.68512291,8.6206613347,9.0246205398,8.8956973893
2007-03-07,101400.0,9.063297485,9.0246205398,9.0246205398,9.4500669367,9.2695745259
2007-03-08,451099.0,9.1535436904,9.2394924574,9.0246205398,9.2394924574,9.2308975807
2007-03-09,537764.0,9.1965180739,9.2394924574,9.0718923617,9.5532054572,9.5102310736
2007-03-12,1082548.0,9.2394924574,9.0246205398,9.0246205398,9.2738719643,9.2308975807
2007-03-13,819982.0,9.1750308822,9.1105693069,9.0246205398,9.1750308822,9.1535436904
2007-03-14,1537698.0,9.1105693069,9.0246205398,8.9257794577,9.1105693069,9.0289179782
2007-03-15,944186.0,8.9816461563,8.9859435947,8.6765280333,9.0246205398,8.9773487179
2007-03-16,52411.0,9.0675949233,9.1105693069,8.9816461563,9.1105693069,9.0074307864
2007-03-19,351439.0,9.1320564986,8.9859435947,8.9859435947,9.1320564986,8.990241033
2007-03-20,42360.0,9.0675949233,9.1406513753,9.0675949233,9.1406513753,9.1019744302
2007-03-21,429934.0,9.3254412245,9.0675949233,9.0246205398,9.3254412245,9.1449488137
2007-03-22,1267628.0,9.5403131421,9.3125489094,9.3125489094,9.5403131421,9.3942002381
2007-03-23,439872.0,9.5832875256,9.4844464435,9.4844464435,9.6262619091,9.5489080188
2007-03-26,4410.0,9.4973387586,9.4543643751,9.4543643751,9.4973387586,9.4758515668
2007-03-27,288839.0,9.1621385671,9.4500669367,9.1320564986,9.6692362927,9.4027951148
2007-03-28,2853886.0,9.4543643751,9.1621385671,8.8226409373,9.4543643751,9.0332154165
2007-03-29,1612596.0,9.0332154165,9.2523847725,9.0246205398,9.4113899915,9.0332154165
2007-03-30,2848514.0,9.0246205398,8.8999948276,8.8999948276,9.1406513753,8.9558615262
2007-04-02,1552775.0,8.8097486222,9.0246205398,8.7366921702,9.0246205398,8.9945384714
2007-04-03,213553.0,8.8097486222,8.8097486222,8.6894203483,8.8913999509,8.8226409373
2007-04-04,2113845.0,9.0675949233,8.8527230057,8.8527230057,9.2394924574,9.0461077316
2007-04-05,835241.0,9.3512258546,9.1105693069,9.1105693069,9.3770104847,9.2051129506
2007-04-09,378048.0,9.3641181697,9.0933795535,9.0933795535,9.4113899915,9.3383335395
2007-04-10,1437330.0,9.5618003339,9.3039540327,9.3039540327,9.6692362927,9.4887438819
2007-04-11,2571055.0,9.8841082103,9.4543643751,9.4113899915,9.8841082103,9.7766722515
2007-04-12,4670256.0,10.01303136,9.9872467307,9.6907234844,10.098980127,9.8798107719
2007-04-13,39846.0,10.077492936,10.094682689,9.9270825938,10.098980127,10.073195497
2007-04-16,22998.0,9.8841082103,9.8798107719,9.8798107719,9.8841082103,9.8841082103
2007-04-17,20721.0,9.8841082103,9.8411338268,9.8411338268,10.030221114,9.892703087
2007-04-18,184742.0,9.5575028955,9.8841082103,9.5403131421,9.8841082103,9.6821286077
2007-04-19,116240.0,9.5832875256,9.6477491009,9.5575028955,9.6692362927,9.6047747174
2007-04-20,503330.0,9.4113899915,9.5832875256,9.3469284162,9.7079132378,9.5703952106
2007-04-23,907062.0,8.917184581,9.4070925532,8.9085897043,9.4070925532,8.9816461563
2007-04-24,74915.0,9.0074307864,8.9472666495,8.8398306907,9.0246205398,8.9429692111
2007-04-25,2556435.0,8.8097486222,9.0246205398,8.7495844853,9.0246205398,8.8871025125
2007-04-26,14350169.0,8.8956973893,8.8097486222,8.8097486222,8.8956973893,8.8097486222
2007-04-27,65838.0,9.0117282248,8.831235814,8.8097486222,9.0117282248,8.8398306907
2007-04-30,240350.0,8.9816461563,8.8097486222,8.8097486222,9.0160256631,8.9816461563
2007-05-02,1244476.0,9.1578411287,8.9386717728,8.8956973893,9.1578411287,8.9429692111
2007-05-03,143306.0,9.2394924574,9.1578411287,9.0289179782,9.2394924574,9.1922206356
2007-05-04,930831.0,9.282466841,9.2180052657,9.1535436904,9.282466841,9.1750308822
2007-05-07,10525707.0,9.2394924574,9.2566822108,8.9816461563,9.2609796492,9.1191641836
2007-05-08,955553.0,8.8742101975,9.2394924574,8.8742101975,9.2394924574,8.9859435947
2007-05-09,1558340.0,8.8097486222,9.1320564986,8.6894203483,9.1535436904,8.8570204441
2007-05-10,22385.0,8.9386717728,8.8097486222,8.6894203483,8.9386717728,8.7452870469
2007-05-11,1339042.0,8.8956973893,9.0246205398,8.8956973893,9.0246205398,9.0203231015
2007-05-14,35048.0,8.8054511839,8.8956973893,8.8054511839,8.8956973893,8.8613178824
2007-05-15,2198116.0,8.8269383756,8.8785076358,8.8269383756,8.8785076358,8.8269383756
2007-05-16,2710375.0,8.5948767046,8.8527230057,8.539010006,8.8527230057,8.6292562114
2007-05-17,452146.0,8.5948767046,8.6034715813,8.5733895128,8.6378510881,8.5991741429
2007-05-18,1800252.0,8.6378510881,8.5905792662,8.5905792662,8.6593382799,8.5948767046
2007-05-21,2054946.0,8.7452870469,8.6593382799,8.6593382799,8.8097486222,8.771071677
2007-05-22,1985488.0,8.8956973893,8.8097486222,8.8054511839,8.8956973893,8.8140460606
2007-05-23,18038148.0,9.4543643751,8.9601589645,8.9601589645,9.4973387586,9.1793283205
2007-05-24,8381248.0,9.368415608,9.4543643751,9.3254412245,9.4543643751,9.3512258546
2007-05-25,1045268.0,9.6262619091,9.4113899915,9.4113899915,9.6649388543,9.4758515668
2007-05-28,2460167.0,9.5403131421,9.6692362927,9.5403131421,9.7551850597,9.6133695941
2007-05-29,2260156.0,9.7551850597,9.5403131421,9.5403131421,9.7551850597,9.673533731
2007-05-30,1776079.0,9.7938620049,9.4328771833,9.4156874299,9.819646635,9.5746926489
2007-05-31,4501667.0,9.8841082103,9.7938620049,9.7122106762,9.9270825938,9.8755133336
2007-06-01,836781.0,10.227903278,9.8884056486,9.8841082103,10.24939047,10.103277566
2007-06-04,7030654.0,10.661944552,10.232200716,10.056005744,10.74359588,10.61467273
2007-06-05,4945875.0,10.747893319,10.74359588,10.661944552,10.932683168,10.713513812
2007-06-06,340123.0,10.74359588,10.74359588,10.74359588,10.786570264,10.747893319
2007-06-08,5636749.0,10.636159921,10.74359588,10.313852045,10.74359588,10.563103469
