Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2006-05-12,0.0,3648.4420412,3648.4420412,3648.4420412,3648.4420412,3648.4420412
2006-05-15,150829937.0,3865.6901809,3815.9386986,3650.100424,4013.2862453,3829.2057605
2006-05-16,47940360.0,4063.0377277,3981.7769732,3922.0751943,4187.4164337,4063.0377277
2006-05-17,10784452.0,3946.9509355,4063.0377277,3946.9509355,4094.5469999,4014.9446281
2006-05-18,7883630.0,4063.0377277,3938.6590218,3938.6590218,4063.0377277,4004.9943316
2006-05-19,18555319.0,4063.0377277,3986.7521214,3986.7521214,4081.2799379,4029.8700728
2006-05-22,23106624.0,3849.1063535,3980.1185904,3665.0258687,3980.1185904,3802.6716366
2006-05-23,15441740.0,3739.6530922,3814.2803158,3684.9264616,3897.1994531,3781.1126609
2006-05-24,10004396.0,3482.6037666,3689.9016099,3399.6846293,3689.9016099,3500.8459768
2006-05-25,1424814.0,3623.5663,3454.4112599,3454.4112599,3623.5663,3563.8645212
2006-05-26,855157.0,3734.677944,3648.4420412,3648.4420412,3754.578537,3713.1189683
2006-05-29,1288973.0,3615.2743863,3794.3797229,3615.2743863,3794.3797229,3648.4420412
2006-05-30,2229600.0,3555.5726074,3598.6905588,3466.0199392,3598.6905588,3484.2621494
2006-05-31,4606432.0,3731.3611785,3548.9390765,3548.9390765,3731.3611785,3603.6657071
2006-06-01,9071813.0,3699.8519063,3648.4420412,3648.4420412,3733.0195613,3704.8270546
2006-06-02,4237136.0,3713.1189683,3648.4420412,3565.5229039,3731.3611785,3658.3923377
2006-06-05,5184793.0,3648.4420412,3648.4420412,3631.8582138,3698.1935236,3666.6842514
2006-06-06,4168062.0,3582.1067314,3582.1067314,3582.1067314,3681.6096961,3658.3923377
2006-06-07,3185216.0,3565.5229039,3582.1067314,3565.5229039,3631.8582138,3593.7154106
2006-06-08,21288629.0,3482.6037666,3484.2621494,3399.6846293,3562.2061384,3467.6783219
2006-06-09,10854672.0,3597.0321761,3648.4420412,3482.6037666,3648.4420412,3514.1130388
2006-06-12,7135198.0,3648.4420412,3565.5229039,3550.5974592,3648.4420412,3611.9576208
2006-06-13,7857054.0,3514.1130388,3565.5229039,3482.6037666,3565.5229039,3490.8956803
2006-06-14,11703302.0,3399.6846293,3482.6037666,3318.4238748,3540.6471627,3427.877136
2006-06-16,3960541.0,3391.3927156,3399.6846293,3316.765492,3466.0199392,3396.3678638
2006-06-19,1092897.0,3308.4735783,3482.6037666,3235.5047375,3482.6037666,3313.4487265
2006-06-20,1993105.0,3233.8463547,3300.1816646,3150.9272174,3316.765492,3260.3804787
2006-06-21,2896202.0,3167.5110449,3150.9272174,3150.9272174,3233.8463547,3212.287379
2006-06-22,504089.0,3150.9272174,3248.7717994,3117.7595625,3248.7717994,3154.2439829
2006-06-23,4573064.0,2966.8467326,3068.0080801,2923.7287812,3068.0080801,3009.964684
2006-06-26,1707559.0,3016.598215,2968.5051154,2902.1698055,3066.3496974,3009.964684
2006-06-27,3759091.0,3094.542204,3068.0080801,3018.2565977,3150.9272174,3091.2254386
2006-06-28,2212448.0,3225.554441,3150.9272174,3068.0080801,3233.8463547,3127.709859
2006-06-29,2501607.0,3449.4361117,3208.9706135,3142.6353037,3449.4361117,3189.0700206
2006-06-30,2251847.0,3515.7714215,3449.4361117,3449.4361117,3568.8396694,3529.0384835
2006-07-03,1788507.0,3548.9390765,3548.9390765,3540.6471627,3698.1935236,3565.5229039
2006-07-04,2148200.0,3548.9390765,3565.5229039,3548.9390765,3582.1067314,3565.5229039
2006-07-05,5514407.0,3656.7339549,3482.6037666,3482.6037666,3698.1935236,3616.932769
2006-07-06,4756700.0,3772.8207472,3681.6096961,3681.6096961,3814.2803158,3756.2369197
2006-07-07,1243714.0,3731.3611785,3814.2803158,3665.0258687,3814.2803158,3716.4357338
