Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2017-02-07,0.0,6.971251431,6.971251431,6.971251431,6.971251431,6.971251431
2017-02-08,68711487.0,6.7853513928,6.8318264023,6.6087463565,6.9526614271,6.8318264023
2017-02-09,18457157.0,7.0177264405,6.8504164061,6.7388763832,7.0270214424,6.859711408
2017-02-10,27698959.0,7.1571514691,7.0177264405,6.9433664252,7.2315114844,7.1199714615
2017-02-13,5253305.0,7.0084314386,7.2129214806,6.9805464329,7.2129214806,7.0549064481
2017-02-14,5823675.0,6.971251431,7.06420145,6.9340714233,7.06420145,6.9805464329
2017-02-15,5182120.0,6.971251431,6.9898414348,6.8968914157,7.0084314386,6.971251431
2017-02-16,9582286.0,6.971251431,6.9247764214,6.7946463947,6.971251431,6.9247764214
2017-02-17,3452418.0,6.971251431,6.9991364367,6.8875964138,6.9991364367,6.9340714233
2017-02-20,4504336.0,6.8783014119,6.971251431,6.859711408,6.971251431,6.9061864176
2017-02-21,4418074.0,6.8783014119,6.9247764214,6.7481713852,6.9247764214,6.8411214042
2017-02-22,4288778.0,7.0363164443,6.8783014119,6.7481713852,7.0456114462,6.9247764214
2017-02-23,1931012.0,7.0270214424,7.1013814577,6.9061864176,7.1013814577,6.9991364367
2017-02-24,3681782.0,7.1106764596,7.0084314386,6.9247764214,7.1106764596,7.0177264405
2017-03-01,3574005.0,7.0920864557,6.9805464329,6.9526614271,7.1106764596,7.0827914538
2017-03-02,452017.0,6.971251431,7.0084314386,6.971251431,7.0549064481,7.0177264405
2017-03-03,2526886.0,7.2036264786,7.0270214424,6.9805464329,7.2779864939,7.166446471
2017-03-06,5618749.0,6.9805464329,7.1478564672,6.9805464329,7.2408064863,7.1199714615
2017-03-07,2589888.0,6.9805464329,7.06420145,6.971251431,7.06420145,6.9991364367
2017-03-08,5353710.0,7.0549064481,7.0734964519,6.971251431,7.0734964519,7.0084314386
2017-03-09,6973814.0,7.0270214424,7.1013814577,6.8783014119,7.1013814577,6.961956429
2017-03-10,2248417.0,7.1571514691,7.0177264405,6.971251431,7.1571514691,7.1013814577
2017-03-13,9494635.0,7.4267065244,7.1571514691,7.1571514691,7.5103615416,7.3430515073
2017-03-14,5211407.0,7.5382465473,7.4824765359,7.3988215187,7.6404915683,7.4917715378
2017-03-15,6976720.0,7.8635716141,7.6590815721,7.6126065626,8.0866516599,7.770621595
2017-03-16,9583089.0,7.9937016408,8.0866516599,7.7520315912,8.1981916828,8.0029966427
2017-03-17,7943721.0,7.872866616,8.1610116752,7.872866616,8.3190267076,8.0401766503
2017-03-20,12518172.0,8.2725516981,8.2446666923,8.0401766503,8.6908267839,8.2818467
2017-03-21,12379289.0,8.179601679,8.4584517362,8.179601679,8.5328117515,8.2632566962
2017-03-22,18059930.0,8.1052416637,8.3190267076,8.0866516599,8.3190267076,8.1888966809
2017-03-23,12234675.0,8.0866516599,7.9100466236,7.4545915302,8.0866516599,7.7985066008
2017-03-24,10734342.0,7.9472266313,8.0494716523,7.7241465855,8.077356658,7.872866616
2017-03-27,5586583.0,7.9100466236,7.8821616179,7.7520315912,8.1331266694,7.9100466236
2017-03-28,5990561.0,7.872866616,7.8542766122,7.770621595,7.9472266313,7.8635716141
2017-03-29,69713398.0,7.6869665779,7.9007516217,7.4917715378,8.1703066771,7.6497865702
2017-03-30,6934182.0,7.7334415874,7.6869665779,7.575426555,7.8078016027,7.7334415874
2017-03-31,7697672.0,7.7427365893,7.6962615798,7.6497865702,7.872866616,7.7799165969
2017-04-03,6372267.0,7.9472266313,7.7799165969,7.7520315912,7.9658166351,7.8542766122
2017-04-04,5010651.0,7.9472266313,7.9844066389,7.8263916065,8.0587666542,7.9100466236
2017-04-05,9152234.0,7.7613265931,7.9472266313,7.7613265931,7.9844066389,7.8263916065
2017-04-06,7141876.0,7.6869665779,7.8263916065,7.6219015645,7.8635716141,7.7055565817
2017-04-07,8543729.0,7.7055565817,7.7148515836,7.6404915683,7.8356866084,7.7334415874
2017-04-10,3636305.0,7.7148515836,7.7148515836,7.6126065626,7.770621595,7.6776715759
