Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-07-20,0.0,4.6626542568,4.6626542568,4.6626542568,4.6626542568,4.6626542568
2007-07-23,359765212.0,5.5593185369,5.5593185369,5.4068856093,5.5969784367,5.5360052656
2007-07-24,81569376.0,5.8103845354,5.5234519657,5.3979189665,5.9359175346,5.7494113643
2007-07-25,60809235.0,5.7207181073,5.8121778639,5.6400183221,6.007650677,5.7458247072
2007-07-26,51095307.0,5.738651393,5.562905194,5.3799856809,5.783484607,5.5413852513
2007-07-27,15151071.0,5.6669182505,5.6489849649,5.4893787231,5.7207181073,5.6346383365
2007-07-30,25062869.0,5.5413852513,5.6489849649,5.3799856809,5.6489849649,5.4893787231
2007-07-31,47454011.0,5.5413852513,5.5611118655,5.3979189665,5.5611118655,5.4822054088
2007-08-01,28017252.0,5.5144853229,5.4517188233,5.3817790095,5.5144853229,5.4337855377
2007-08-02,12924503.0,5.6848515361,5.5234519657,5.4517188233,5.6848515361,5.5288319514
2007-08-03,3920202.0,5.5593185369,5.5951851081,5.5593185369,5.6669182505,5.5880117939
2007-08-06,16516787.0,5.4517188233,5.4696521089,5.3997122951,5.4893787231,5.4624787947
2007-08-07,8934444.0,5.4517188233,5.4606854661,5.3620523953,5.4696521089,5.3889523237
2007-08-08,10492284.0,5.4965520373,5.4965520373,5.4696521089,5.5575252084,5.5037253516
2007-08-09,29498527.0,5.3710190381,5.4337855377,5.3172191813,5.4517188233,5.3692257095
2007-08-10,27495733.0,5.2006528249,5.220379439,5.2006528249,5.3351524669,5.2544526817
2007-08-13,14905968.0,5.4535121519,5.2185861105,5.2185861105,5.5826318082,5.4750320946
2007-08-14,38544625.0,5.3799856809,5.3979189665,5.3799856809,5.546765237,5.4768254232
2007-08-15,57440588.0,5.2006528249,5.2275527533,5.2006528249,5.4786187517,5.3817790095
2007-08-16,18513371.0,4.7523206848,4.8796470126,4.5729878288,5.0213199688,4.7756339561
2007-08-17,11741719.0,5.1109863968,5.0015933547,4.4869080579,5.2885259243,4.7469406991
2007-08-20,18837782.0,5.5593185369,5.2006528249,4.8975802982,5.5593185369,5.1504396252
2007-08-21,6032673.0,5.4768254232,5.4696521089,5.3620523953,5.4768254232,5.4230255663
2007-08-22,21854428.0,5.5234519657,5.4517188233,5.4158522521,5.7207181073,5.5360052656
2007-08-23,5003006.0,5.4696521089,5.4517188233,5.3889523237,5.5593185369,5.4678587803
2007-08-24,6310013.0,5.5234519657,5.4696521089,5.4696521089,5.5593185369,5.5288319514
2007-08-27,7023385.0,5.5593185369,5.5055186801,5.5037253516,5.6848515361,5.562905194
2007-08-28,8165989.0,5.2544526817,5.5234519657,5.175546225,5.5234519657,5.29390591
2007-08-29,6963668.0,5.2903192529,5.2723859673,5.1468529681,5.3781923523,5.2885259243
2007-08-30,22766847.0,5.3082525385,5.3781923523,5.265212653,5.5377985942,5.4929653802
2007-08-31,5218800.0,5.738651393,5.5144853229,5.4624787947,5.738651393,5.6489849649
2007-09-03,1301942.0,5.6489849649,5.6489849649,5.5593185369,5.738651393,5.6400183221
2007-09-04,15120816.0,5.5593185369,5.6471916364,5.5593185369,5.738651393,5.6471916364
2007-09-05,11570570.0,5.4696521089,5.5234519657,5.4068856093,5.7207181073,5.4965520373
2007-09-06,1039165.0,5.4696521089,5.6310516793,5.4248188949,5.6310516793,5.4642721232
