Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-07-26,0.0,6.778745413,6.778745413,6.778745413,6.778745413,6.778745413
2007-07-27,96953353.0,6.5075955965,6.5103070946,6.2635607616,6.7380729405,6.5292875818
2007-07-30,15096750.0,6.4804806148,6.5672485561,6.401847168,6.6404590066,6.5075955965
2007-07-31,53780396.0,6.6431705047,6.5211530873,6.483192113,6.7380729405,6.6702854864
2007-08-01,20937276.0,6.6431705047,6.5075955965,6.466923124,6.6431705047,6.5048840983
2007-08-02,15660644.0,6.6431705047,6.6431705047,6.5130185928,6.6431705047,6.5943635378
2007-08-03,6907729.0,6.5347105781,6.5618255598,6.3259252194,6.6241900176,6.53199908
2007-08-06,14374308.0,6.6431705047,6.4777691167,6.3259252194,6.6431705047,6.4560771313
2007-08-07,19542423.0,6.8872053396,6.6052095304,6.5645370579,6.8872053396,6.7651879222
2007-08-08,21024644.0,7.074298713,6.8329753763,6.8058603946,7.1285286763,7.0146457534
2007-08-09,9706967.0,6.8600903579,6.8980513323,6.778745413,6.9983767644,6.9441468011
2007-08-10,4341882.0,7.0498952295,6.6296130139,6.6296130139,7.0498952295,6.8329753763
2007-08-13,14870490.0,6.8194178855,6.992953768,6.6702854864,6.9956652662,6.7868799075
2007-08-14,7753436.0,6.466923124,6.778745413,6.4533656332,6.9956652662,6.5970750359
2007-08-15,52599271.0,6.4533656332,6.3991356699,5.9652959634,6.4804806148,6.2852527469
2007-08-16,38460548.0,5.8297210552,6.1523893368,5.1572695102,6.1523893368,5.7565106047
2007-08-17,39514707.0,5.8161635643,5.9707189598,5.4311308249,6.2364457799,5.7917600809
2007-08-20,1955570.0,5.9625844653,5.9680074616,5.7483761102,6.1415433442,5.9788534543
2007-08-21,12665467.0,5.9652959634,6.0195259267,5.924623491,6.0547754029,5.9734304579
2007-08-22,9717976.0,6.1279858533,6.0466409084,6.0195259267,6.2364457799,6.1198513588
2007-08-23,5604059.0,6.4398081423,6.1957733075,6.1957733075,6.4398081423,6.3313482157
2007-08-24,8963394.0,6.6160555231,6.2635607616,6.2364457799,6.6160555231,6.4154046589
2007-08-27,6327290.0,6.778745413,6.6160555231,6.3774436845,6.778745413,6.6350360102
2007-08-28,969663.0,6.4533656332,6.5428450726,6.4425196405,6.6160555231,6.5726715524
2007-08-29,4525584.0,6.4262506515,6.450654135,6.4262506515,6.5347105781,6.450654135
2007-08-30,3504988.0,6.3449057066,6.3720206882,6.2635607616,6.4533656332,6.3177907249
2007-08-31,2488297.0,6.4316736478,6.4208276552,6.3476172047,6.5048840983,6.4370966442
2007-09-03,585936.0,6.5103070946,6.3882896772,6.3340597139,6.5591140616,6.4859036112
2007-09-04,2690106.0,6.5075955965,6.4587886295,6.4587886295,6.6350360102,6.5889405414
2007-09-05,911134.0,6.4262506515,6.5048840983,6.3801551827,6.5048840983,6.434385146
