Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2006-11-30,0.0,1.2786005089,1.2786005089,1.2786005089,1.2786005089,1.2786005089
2006-12-01,193970156.0,1.479066803,1.420616494,1.4165067067,1.4996157397,1.4375122865
2006-12-04,31353019.0,1.4886563068,1.4681073701,1.4612577245,1.4932227372,1.4808933752
2006-12-05,12008707.0,1.5320373955,1.4818066612,1.4703905853,1.5516730462,1.5128583879
2006-12-06,23095690.0,1.5388870411,1.5297541803,1.5069220284,1.5708520538,1.5434534715
2006-12-07,8001805.0,1.5763317703,1.5388870411,1.5206213195,1.5840947019,1.5653723373
2006-12-08,4505949.0,1.5799849146,1.5662856234,1.5347772537,1.5836380589,1.5621758361
2006-12-11,13475232.0,1.5799849146,1.5530429753,1.5429968284,1.5868345602,1.5767884133
2006-12-12,7205453.0,1.5754184842,1.5644590513,1.5530429753,1.5754184842,1.5621758361
2006-12-13,14864365.0,1.6347820793,1.5754184842,1.5585226918,1.6347820793,1.5840947019
2006-12-14,5942525.0,1.6210827881,1.6233660033,1.5982506361,1.6279324337,1.6270191476
2006-12-15,11576377.0,1.5982506361,1.6215394311,1.5754184842,1.6215394311,1.608296783
2006-12-18,5607119.0,1.5754184842,1.5822681298,1.561719193,1.6009904944,1.5690254817
2006-12-19,13736553.0,1.5434534715,1.5530429753,1.5302108234,1.5571527626,1.5393436841
2006-12-20,9696177.0,1.5251877499,1.5521296892,1.5251877499,1.5521296892,1.5370604689
2006-12-21,10766567.0,1.5114884588,1.5251877499,1.4895695929,1.5251877499,1.5078353144
2006-12-22,2985428.0,1.4968758815,1.5160548891,1.4932227372,1.5160548891,1.4982458106
2006-12-26,3700427.0,1.5311241094,1.4521248637,1.4521248637,1.5338639677,1.526557679
2006-12-27,10970117.0,1.5548695475,1.5297541803,1.5151416031,1.5909443475,1.5343206107
2006-12-28,10683619.0,1.561719193,1.5480199019,1.5480199019,1.584551345,1.5630891222
2007-01-02,2550967.0,1.6073834969,1.5754184842,1.5640024082,1.6210827881,1.6000772083
2007-01-03,4553952.0,1.6347820793,1.5982506361,1.5982506361,1.6461981552,1.6411750818
2007-01-04,9565671.0,1.6210827881,1.5982506361,1.5982506361,1.6210827881,1.6037303526
2007-01-05,1902754.0,1.5982506361,1.6210827881,1.5754184842,1.6210827881,1.5973373501
2007-01-08,10123989.0,1.6210827881,1.5868345602,1.5754184842,1.6210827881,1.596880707
2007-01-09,2836890.0,1.64391494,1.6092100691,1.5763317703,1.64391494,1.5955107779
2007-01-10,5314299.0,1.64391494,1.6206261451,1.5868345602,1.64391494,1.6037303526
2007-01-11,1345561.0,1.5982506361,1.64391494,1.5982506361,1.64391494,1.6210827881
2007-01-12,7857491.0,1.6347820793,1.643458297,1.5754184842,1.643458297,1.5973373501
2007-01-15,404395.0,1.6256492185,1.6393485097,1.5982506361,1.6393485097,1.619712859
2007-01-16,2797141.0,1.6347820793,1.6028170665,1.5982506361,1.6347820793,1.6187995729
2007-01-17,3486597.0,1.6895792439,1.6338687932,1.6302156489,1.6895792439,1.654874373
2007-01-18,2886507.0,1.6850128135,1.6895792439,1.666747092,1.6895792439,1.6854694566
2007-01-19,1469109.0,1.6895792439,1.6795330971,1.679076454,1.6895792439,1.6854694566
2007-01-22,2772735.0,1.6850128135,1.6941456743,1.6690303072,1.7119547528,1.6859260996
2007-01-23,1263230.0,1.6804463832,1.6868393857,1.6804463832,1.6872960287,1.6818163123
2007-01-24,15856744.0,1.6895792439,1.6717701654,1.666747092,1.6895792439,1.6685736641
2007-01-26,6837141.0,1.7092148946,1.6758799528,1.666747092,1.7092148946,1.6722268085
2007-01-29,2764995.0,1.7580756998,1.7092148946,1.7092148946,1.7809078517,1.748942839
2007-01-30,10065853.0,1.7923239277,1.748942839,1.748942839,1.8215490822,1.784560996
2007-01-31,7320812.0,1.7900407125,1.7991735733,1.7804512087,1.8014567885,1.7877574973
2007-02-01,7095143.0,1.8169826518,1.8288553708,1.7626421302,1.8379882316,1.8000868593
2007-02-02,7650693.0,1.9156175482,1.8672133861,1.842554662,1.9521489913,1.8740630316
2007-02-05,29570872.0,1.9635650673,1.984114004,1.9179007634,1.984114004,1.9635650673
2007-02-06,9450326.0,2.0055762268,1.9863972192,1.9270336242,2.0092293712,2.0051195838
2007-02-07,9065699.0,1.9909636496,1.9863972192,1.9635650673,2.0179055889,1.9978132952
2007-02-08,1740256.0,2.0092293712,1.9498657761,1.9498657761,2.0092293712,1.9969000091
2007-02-09,1362659.0,2.0087727281,2.0092293712,2.0087727281,2.0320615231,2.0201888041
2007-02-12,2648614.0,1.9863972192,2.0316048801,1.972697928,2.0316048801,1.9923335787
2007-02-13,21146274.0,1.972697928,1.972697928,1.9589986369,1.9863972192,1.9749811432
2007-02-14,3602222.0,1.9818307888,1.9635650673,1.9434727736,1.9863972192,1.9676748546
2007-02-15,2141824.0,1.9407329153,1.9457559888,1.9407329153,1.9635650673,1.9562587786
2007-02-16,3102351.0,1.91287769,1.9407329153,1.8722364595,1.9407329153,1.9092245456
2007-02-21,93152.0,1.9393629862,1.9681314977,1.8973518266,1.9681314977,1.9334266267
2007-02-22,6927814.0,1.9448427027,1.9635650673,1.9293168394,1.9635650673,1.9466692748
2007-02-23,6690994.0,1.9452993457,1.9544322065,1.9430161305,1.9635650673,1.9471259179
2007-02-26,5097838.0,1.925663695,1.9818307888,1.9201839786,1.9818307888,1.9334266267
2007-02-27,2404375.0,1.8946119684,1.8681266721,1.8631035987,1.9179007634,1.8863923937
2007-02-28,2179598.0,1.8836525355,1.9402762723,1.8831958924,1.9402762723,1.8850224646
2007-03-01,3127290.0,1.8722364595,1.8274854417,1.7758847783,1.8722364595,1.796433715
2007-03-02,1148619.0,1.8699532443,1.8265721556,1.8265721556,1.8882189658,1.866756743
2007-03-05,1568775.0,1.8448378772,1.8676700291,1.7763414213,1.8676700291,1.8416413759
2007-03-06,3561649.0,1.8265721556,1.8265721556,1.8037400037,1.8882189658,1.8439245911
2007-03-07,5614224.0,1.8585371683,1.8722364595,1.8265721556,1.8859357507,1.8589938114
2007-03-08,6012341.0,1.9398196292,1.8882189658,1.8882189658,1.9635650673,1.9361664849
2007-03-09,2472699.0,1.9316000545,1.9863972192,1.9179007634,1.995073437,1.9503224191
2007-03-12,1756880.0,1.9589986369,1.9635650673,1.9407329153,1.9635650673,1.9567154217
2007-03-13,1888760.0,1.9179007634,1.9589986369,1.9179007634,1.9589986369,1.9379930571
2007-03-14,1227465.0,1.9087679026,1.901918257,1.8813693203,1.9169874773,1.91287769
2007-03-15,1045758.0,1.9174441203,1.9087679026,1.9087679026,1.9407329153,1.9179007634
2007-03-16,71123.0,1.9064846874,1.9174441203,1.9064846874,1.9174441203,1.9105944748
2007-03-19,213996.0,1.9174441203,1.9407329153,1.8827392494,1.9407329153,1.9160741912
2007-03-20,2774396.0,1.9064846874,1.9169874773,1.8763462468,1.9169874773,1.9023749001
2007-03-21,5834174.0,1.8950686114,1.9156175482,1.8923287532,1.9407329153,1.9028315431
2007-03-22,8176458.0,1.9064846874,1.9142476191,1.8498609506,1.9142476191,1.8877623228
2007-03-23,1733381.0,1.9174441203,1.9174441203,1.8818259633,1.9179007634,1.9119644039
2007-03-26,821378.0,1.8950686114,1.9174441203,1.8722364595,1.9179007634,1.8941553254
2007-03-27,3157440.0,1.8941553254,1.8950686114,1.8795427481,1.9037448292,1.8946119684
2007-03-28,1467134.0,1.8950686114,1.890502181,1.8722364595,1.91287769,1.8873056798
2007-03-29,1838651.0,1.8722364595,1.9151609051,1.8722364595,1.9151609051,1.8827392494
2007-03-30,1568856.0,1.8722364595,1.8946119684,1.8722364595,1.9028315431,1.8754329608
2007-04-02,14985703.0,1.8265721556,1.8270287986,1.7831910669,1.8722364595,1.8594504544
2007-04-03,4422137.0,1.8265721556,1.8717798164,1.8151560796,1.8768028899,1.8325085151
2007-04-04,129092201.0,1.8539707379,1.8247455834,1.8220057252,1.8768028899,1.8393581607
2007-04-05,5721675.0,1.8731497456,1.8713231734,1.8713231734,1.8996350418,1.8836525355
2007-04-09,5048298.0,1.9042014722,1.8813693203,1.8813693203,1.9042014722,1.8987217557
2007-04-10,9750926.0,1.9042014722,1.9037448292,1.9037448292,1.9174441203,1.9119644039
2007-04-11,1730728.0,1.8950686114,1.9042014722,1.8859357507,1.9042014722,1.8996350418
2007-04-12,1618472.0,1.9042014722,1.9169874773,1.8722364595,1.9635650673,1.9096811887
2007-04-13,2702728.0,1.8973518266,1.9535189204,1.8950686114,1.9535189204,1.8959818975
2007-04-16,14750091.0,1.9042014722,1.9402762723,1.8731497456,1.9402762723,1.9060280444
2007-04-17,8320565.0,1.8863923937,1.9407329153,1.8863923937,1.9407329153,1.9028315431
2007-04-18,1977451.0,1.9316000545,1.9261203381,1.8859357507,1.9402762723,1.9169874773
2007-04-19,2385432.0,2.0046629408,1.9316000545,1.8818259633,2.0087727281,1.9521489913
2007-04-20,13204338.0,2.1389817977,2.0239827764,2.0239827764,2.1389817977,2.0644624319
2007-04-23,8588667.0,2.1251819152,2.1251819152,2.0699823849,2.129781876,2.1049420874
2007-04-24,2195227.0,2.113682013,2.1063220757,2.1021821109,2.1159819935,2.1127620209
2007-04-25,8870229.0,2.1067820718,2.129781876,2.070442381,2.129781876,2.1063220757
2007-04-26,695150.0,2.1067820718,2.1067820718,2.0791823066,2.113222017,2.1035620992
2007-04-27,1349605.0,2.1067820718,2.0699823849,2.0699823849,2.1109220365,2.1044820913
2007-04-30,1227326.0,2.1067820718,2.1343818369,2.0929821892,2.1343818369,2.1067820718
2007-05-02,23158984.0,2.1389817977,2.1067820718,2.0934421853,2.1587616294,2.10816206
2007-05-03,9552288.0,2.1527816803,2.1845214102,2.0929821892,2.1845214102,2.1256419113
2007-05-04,6572251.0,2.1615216059,2.2075212145,2.1615216059,2.2075212145,2.1767014768
2007-05-07,1206834.0,2.161981602,2.1845214102,2.1481817195,2.1845214102,2.1684215472
2007-05-08,2938500.0,2.1504816999,2.1849814063,2.1256419113,2.1849814063,2.1523216842
2007-05-09,8755137.0,2.1504816999,2.1642815825,2.1159819935,2.1642815825,2.1445017508
2007-05-10,3445951.0,2.1481817195,2.1389817977,2.1113820326,2.2056812301,2.1192019661
