Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2014-10-20,0.0,26.057024533,26.057024533,26.057024533,26.057024533,26.057024533
2014-10-21,52291129.0,26.684323272,26.153532031,26.076326033,26.80013227,26.443054526
2014-10-22,8153010.0,26.819433769,26.636069523,26.636069523,27.765207252,27.051051765
2014-10-23,3686793.0,26.829084519,26.964195017,26.105278282,26.964195017,26.510609775
2014-10-24,3778777.0,26.539562024,26.80978302,26.20178578,26.80978302,26.443054526
2014-10-27,3698063.0,26.539562024,26.105278282,25.854358787,26.597466523,26.317594778
2014-10-28,2990965.0,26.829084519,26.578165024,26.529911275,27.311622011,26.925592018
2014-10-29,1079998.0,26.636069523,26.742227771,26.539562024,26.742227771,26.587815774
2014-10-30,2469677.0,26.636069523,26.655371022,26.394800777,26.732577021,26.568514274
2014-10-31,1440105.0,28.180189495,26.636069523,26.539562024,28.180189495,27.253717512
2014-11-03,525426.0,27.765207252,27.504637007,27.166860763,27.890667,27.562541506
2014-11-04,344801.0,27.504637007,27.311622011,27.215114512,27.697652004,27.504637007
2014-11-05,506092.0,26.539562024,27.118607014,26.539562024,27.263368261,26.838735269
2014-11-06,9072552.0,26.539562024,26.76152927,26.394800777,26.77118002,26.539562024
2014-11-07,1334745.0,26.645720272,26.539562024,26.529911275,26.732577021,26.558863524
2014-11-10,286270.0,26.732577021,26.655371022,26.655371022,27.408129509,26.819433769
2014-11-11,1549874.0,27.765207252,26.732577021,26.732577021,27.765207252,27.002798016
2014-11-12,1272830.0,27.601144505,27.311622011,27.166860763,27.987174498,27.668699754
2014-11-13,1970417.0,27.504637007,27.697652004,27.504637007,27.938920749,27.765207252
2014-11-14,838954.0,27.987174498,27.32127276,27.128257764,28.074031247,27.91961925
2014-11-17,3310042.0,28.035428248,27.263368261,27.263368261,28.662726986,28.170538745
2014-11-18,2248410.0,28.517965739,28.131935746,28.131935746,28.662726986,28.180189495
2014-11-19,2320578.0,28.276696993,28.517965739,28.025777498,28.759234485,28.489013489
2014-11-21,1965283.0,28.952249481,28.324950742,28.324950742,29.434786973,28.778535984
2014-11-24,3139029.0,29.801515466,28.952249481,28.952249481,30.68938445,29.849769215
2014-11-25,3566814.0,30.11033946,30.206846959,29.56024672,30.496369454,29.984879713
2014-11-26,1419525.0,30.206846959,29.637452719,29.637452719,30.448115704,30.313005207
2014-11-27,841418.0,30.68938445,30.583226202,30.583226202,30.882399447,30.756939699
2014-11-28,2752325.0,30.399861955,30.409512705,30.206846959,30.930653196,30.641130701
2014-12-01,3080322.0,29.434786973,30.872748697,29.434786973,30.872748697,30.177894709
2014-12-02,236628.0,29.048756979,29.820816966,28.981201731,29.820816966,29.280374975
2014-12-03,171496.0,29.241771976,29.048756979,28.710980736,29.241771976,29.03910623
2014-12-04,220817.0,29.676055718,29.097010729,28.614473237,29.676055718,29.193518227
2014-12-05,87975.0,29.676055718,29.077709229,29.01015398,29.676055718,29.280374975
2014-12-08,436228.0,29.338279474,29.077709229,29.077709229,29.492691472,29.232121226
2014-12-09,246982.0,29.338279474,28.971550981,28.720631485,29.338279474,29.068058479
2014-12-10,82151.0,29.434786973,29.145264478,29.145264478,29.434786973,29.367231724
2014-12-11,872006.0,28.759234485,29.251422726,28.238093994,29.251422726,28.624123987
2014-12-12,840097.0,28.083681997,28.672377736,28.083681997,29.531294471,28.546917988
2014-12-15,3071611.0,27.987174498,28.47936274,27.987174498,28.759234485,28.209141745
2014-12-16,535456.0,28.276696993,27.987174498,27.215114512,28.276696993,27.784508752
2014-12-17,390735.0,28.952249481,28.566219488,27.726604253,28.952249481,28.566219488
2014-12-18,196501.0,28.662726986,29.376882474,28.421458241,29.724309467,28.730282235
2014-12-19,335367.0,29.618151219,28.662726986,28.653076237,29.618151219,29.154915228
2014-12-22,214464.0,29.338279474,29.56989747,28.952249481,29.56989747,29.154915228
2014-12-23,830805.0,28.952249481,28.865392733,28.575870238,29.290025725,28.942598731
2014-12-26,254485.0,29.222470476,28.701329986,28.701329986,29.222470476,28.894344982
2014-12-29,542486.0,28.952249481,29.145264478,28.662726986,29.145264478,28.923297232
2014-12-30,1653821.0,29.608500469,28.952249481,28.710980736,29.608500469,29.502342221
2015-01-05,140713.0,28.822454226,29.489819777,28.822454226,29.489819777,28.957861729
2015-01-06,170541.0,28.048697066,28.106728853,27.574770805,28.532295291,27.961649385
