Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2010-03-19,0.0,3200.0,3200.0,3200.0,3200.0,3200.0
2010-03-22,367816052.0,2800.0,3000.0,2720.04,3040.0,2835.36
2010-03-23,95524653.0,2872.0,2800.0,2720.0,2879.6,2822.0
2010-03-24,72726963.0,2948.0,2855.96,2855.96,2955.56,2923.68
2010-03-25,31278224.0,2880.0,2968.0,2880.0,2968.0,2936.92
2010-03-26,25830594.0,2860.0,2880.0,2826.0,2906.0,2870.08
2010-03-29,18618418.0,2840.0,2928.0,2780.04,2928.0,2831.68
2010-03-30,13049810.0,2832.0,2812.0,2772.0,2832.0,2806.4
2010-03-31,23125494.0,2800.0,2820.0,2768.0,2840.0,2811.6
2010-04-01,8448921.0,2800.0,2800.12,2772.0,2811.4,2793.04
2010-04-05,12852795.0,2799.96,2800.0,2764.04,2800.0,2794.08
2010-04-06,7772957.0,2740.0,2798.0,2724.0,2798.0,2751.48
2010-04-07,77293389.0,2640.0,2700.0,2420.04,2700.0,2546.72
2010-04-08,80169812.0,2800.0,2596.0,2596.0,2800.0,2757.36
2010-04-09,23041407.0,2640.2,2746.0,2640.2,2759.92,2702.8
2010-04-12,36773943.0,2420.0,2660.0,2408.0,2660.0,2455.68
2010-04-13,42416398.0,2436.04,2452.0,2400.0,2560.0,2480.48
2010-04-14,21740144.0,2466.0,2480.0,2420.0,2480.0,2456.52
2010-04-15,19243134.0,2526.0,2472.0,2471.96,2539.96,2507.24
2010-04-16,6942295.0,2460.0,2554.0,2460.0,2554.0,2479.4
2010-04-19,4240396.0,2444.0,2420.4,2420.0,2493.0,2458.2
2010-04-20,2690340.0,2428.12,2452.04,2428.0,2468.0,2445.76
2010-04-22,4354820.0,2368.0,2412.4,2360.12,2424.0,2386.2
2010-04-23,7664381.0,2339.96,2380.0,2272.0,2380.0,2322.52
2010-04-26,2996580.0,2299.96,2308.0,2284.0,2339.92,2305.08
2010-04-27,8157300.0,2227.96,2280.0,2208.0,2300.0,2234.88
2010-04-28,5279123.0,2240.0,2239.96,2220.0,2302.0,2270.6
2010-04-29,16450283.0,2304.0,2244.0,2244.0,2388.0,2350.04
2010-04-30,21986206.0,2375.96,2340.0,2303.08,2400.0,2364.12
2010-05-03,15452404.0,2384.12,2375.96,2356.0,2400.0,2377.28
2010-05-04,13453662.0,2284.0,2328.0,2240.0,2336.0,2290.0
2010-05-05,20635552.0,2248.0,2244.0,2208.0,2300.0,2273.88
2010-05-06,16271416.0,2124.0,2248.0,2120.0,2279.92,2221.36
2010-05-07,28690687.0,1960.0,2141.2,1960.0,2141.2,2024.04
2010-05-10,8111830.0,2048.04,2100.04,2020.04,2108.0,2053.64
2010-05-11,10260260.0,1960.04,2000.0,1932.0,2040.0,1973.12
2010-05-12,10205600.0,1932.04,1980.0,1840.0,1980.0,1907.6
2010-05-13,7321662.0,1860.0,1942.0,1844.04,2028.0,1926.76
2010-05-14,11208838.0,1916.0,1896.0,1848.0,1960.0,1891.8
2010-05-17,6827873.0,2008.0,1920.0,1880.0,2019.96,1964.84
2010-05-18,19315536.0,1880.0,2000.0,1880.0,2008.0,1946.16
2010-05-19,14905241.0,1832.0,1880.0,1780.0,1880.0,1828.88
2010-05-20,6978966.0,1860.0,1832.0,1812.0,1900.04,1848.72
2010-05-21,11212162.0,1873.96,1860.0,1860.0,1932.0,1884.4
2010-05-24,1575852.0,1840.0,1919.96,1814.0,1919.96,1853.96
2010-05-25,3826877.0,1780.0,1793.76,1776.0,1820.0,1800.88
2010-05-26,3684299.0,1840.0,1804.12,1804.12,1860.0,1842.16
2010-05-27,20232001.0,1860.0,1840.4,1796.04,1908.0,1822.72
2010-05-28,1482668.0,1955.6,1880.0,1860.4,1955.6,1913.12
2010-05-31,4397489.0,2039.96,1948.0,1948.0,2080.0,2021.84
2010-06-01,5027559.0,2000.0,1995.96,1986.04,2040.04,2011.04
2010-06-02,3646222.0,2080.0,2039.96,2039.96,2116.04,2083.56
2010-06-04,5206439.0,2116.0,2080.0,2072.0,2116.0,2082.56
2010-06-07,3633359.0,2052.0,2112.0,2002.04,2112.0,2046.96
2010-06-08,3920789.0,2036.0,2052.0,1999.96,2099.2,2036.76
2010-06-09,7482519.0,1952.0,2080.0,1952.0,2084.0,2008.72
2010-06-10,8784676.0,1952.0,1944.0,1920.0,2011.96,1985.24
2010-06-11,4166520.0,1951.96,1990.0,1944.0,2000.0,1960.72
2010-06-14,6960371.0,1900.0,2000.0,1880.0,2007.96,1960.68
2010-06-15,6515421.0,1979.56,1932.0,1908.0,1996.0,1959.52
2010-06-16,5472582.0,1886.0,1960.0,1876.04,1960.0,1903.52
2010-06-17,7932829.0,1812.04,1844.0,1792.0,1860.0,1823.64
2010-06-18,7317628.0,1900.0,1820.04,1820.0,1900.0,1852.56
2010-06-21,1001459.0,1912.0,1940.0,1892.0,1940.0,1907.56
2010-06-22,1815128.0,1900.0,1880.0,1880.0,1940.0,1910.68
2010-06-23,951551.0,1904.0,1899.88,1888.4,1915.8,1903.12
2010-06-24,1625827.0,1918.0,1918.0,1890.2,1930.8,1912.72
2010-06-25,6033999.0,2040.0,1939.96,1939.96,2040.0,1994.72
2010-06-28,1944855.0,2016.0,2040.0,2002.0,2080.0,2047.2
2010-06-29,3860720.0,1940.0,1975.96,1888.0,1991.2,1930.36
2010-06-30,2404082.0,1880.0,1956.4,1880.0,1993.2,1923.28
2010-07-01,5026632.0,1860.0,1884.0,1839.96,1884.0,1861.72
2010-07-02,5980808.0,1870.0,1860.4,1853.2,1884.0,1869.0
2010-07-05,46750.0,1870.0,1870.0,1870.0,1870.0,1870.0
2010-07-06,3146256.0,1840.0,1900.0,1840.0,1911.96,1878.36
2010-07-07,2511135.0,1832.0,1860.0,1780.0,1871.96,1826.28
2010-07-08,2796116.0,1800.0,1840.0,1768.04,1840.0,1803.96
2010-07-12,2188629.0,1724.0,1812.04,1724.0,1812.04,1750.92
