Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2017-02-13,0.0,17.150589305,17.150589305,17.150589305,17.150589305,17.150589305
2017-02-14,213521317.0,18.685115716,18.522636449,18.206704541,18.730248846,18.540689701
2017-02-15,11972458.0,18.594849457,18.874674861,18.333077304,18.919807991,18.567769579
2017-02-16,14980398.0,18.459450067,18.594849457,18.315024052,18.594849457,18.504583197
2017-02-17,4566954.0,18.504583197,18.459450067,18.414316938,18.775381976,18.531663075
2017-02-20,11127515.0,18.585822831,18.531663075,18.531663075,18.667062464,18.649009212
2017-02-21,7008424.0,18.658035838,18.639982586,18.251837671,18.685115716,18.540689701
2017-02-22,6526255.0,18.414316938,18.658035838,17.890772633,18.658035838,18.315024052
2017-02-23,27114272.0,18.315024052,18.396263686,18.062278526,18.414316938,18.269890922
2017-02-24,13345018.0,18.233784419,18.369183808,17.926879136,18.504583197,18.287944174
2017-03-01,4579720.0,18.098385029,18.233784419,18.071305152,18.233784419,18.179624663
2017-03-02,7340070.0,18.035198648,18.0532519,17.981038892,18.215731167,18.080331778
2017-03-03,2232921.0,18.324050678,17.981038892,17.935905762,18.405290312,18.260864297
2017-03-06,4077987.0,18.414316938,18.450423441,18.143518159,18.486529945,18.360157182
2017-03-07,3772969.0,18.161571411,18.360157182,18.098385029,18.369183808,18.161571411
2017-03-08,6101035.0,18.369183808,18.161571411,18.143518159,18.459450067,18.269890922
2017-03-09,4948107.0,17.953959014,18.360157182,17.421388083,18.369183808,18.017145396
2017-03-10,4007710.0,17.827586251,17.972012266,17.502627717,18.2969708,17.764399869
2017-03-13,4267772.0,17.782453121,17.692186862,17.466521213,18.134491533,17.728293365
2017-03-14,1327672.0,17.827586251,17.782453121,17.62900048,17.854666129,17.755373243
2017-03-15,1435168.0,18.062278526,17.619973854,17.520680969,18.233784419,17.990065518
2017-03-16,3253731.0,17.827586251,18.089358403,17.656080358,18.206704541,17.800506373
2017-03-17,3806824.0,17.647053732,17.836612877,17.448467961,18.044225274,17.67413361
2017-03-20,6634261.0,18.044225274,17.782453121,17.511654343,18.044225274,17.656080358
2017-03-21,3547422.0,17.601920602,18.017145396,17.421388083,18.017145396,17.647053732
2017-03-22,3721433.0,17.421388083,17.511654343,17.177669183,17.683160236,17.448467961
2017-03-23,8114274.0,17.466521213,17.439441335,17.276962068,17.647053732,17.439441335
2017-03-24,14633291.0,17.872719381,17.466521213,17.376254953,18.0532519,17.728293365
2017-03-27,21060849.0,18.0532519,17.872719381,17.466521213,18.152544785,17.71926674
2017-03-28,15798923.0,17.782453121,18.459450067,17.430414709,18.459450067,17.638027106
2017-03-29,3562740.0,17.601920602,17.782453121,17.493601091,17.782453121,17.610947228
2017-03-30,4885221.0,17.647053732,17.430414709,17.430414709,17.782453121,17.656080358
2017-03-31,6156368.0,18.0532519,17.647053732,17.511654343,18.0532519,17.944932388
2017-04-03,19518145.0,18.712195594,18.134491533,18.0532519,18.712195594,18.324050678
2017-04-04,4379747.0,19.136447014,18.748302098,18.712195594,19.307952907,19.073260632
2017-04-05,3962155.0,19.109367136,19.181580143,18.955914495,19.181580143,19.082287258
2017-04-06,4165182.0,18.955914495,18.955914495,18.76635535,19.028127502,18.901754739
2017-04-07,3397413.0,19.407245792,19.01007425,18.549716327,19.407245792,18.964941121
2017-04-10,5835719.0,19.298926281,18.802461853,18.802461853,19.497512052,19.181580143
2017-04-11,3039591.0,19.136447014,19.154500266,18.964941121,19.407245792,19.253793151
2017-04-12,1365823.0,19.091313884,19.091313884,18.856621609,19.10034051,19.001047624
2017-04-13,1899057.0,18.955914495,18.964941121,18.865648235,19.10034051,18.964941121
2017-04-17,2962824.0,19.226713273,18.964941121,18.856621609,19.587778311,19.172553517
2017-04-18,3092290.0,19.678044571,19.226713273,19.091313884,19.759284204,19.578751685
2017-04-19,4055686.0,19.587778311,19.840523838,19.244766525,19.840523838,19.506538678
2017-04-20,4406616.0,20.030082983,19.587778311,19.443352296,20.030082983,19.85857709
2017-04-24,7758185.0,20.19256225,19.930790097,19.903710219,20.57168054,20.23769538
2017-04-25,4400879.0,20.391148021,20.228668754,20.003003105,20.580707166,20.400174647
2017-04-26,21310946.0,20.382121395,20.318935013,19.903710219,20.580707166,20.174508998
2017-04-27,2846084.0,20.210615502,20.309908387,19.687071197,20.43628115,20.10229599
2017-04-28,12022458.0,20.318935013,20.120349242,20.120349242,20.734159807,20.562653914
2017-05-02,10148235.0,20.614656602,20.977154035,20.242619764,20.977154035,20.433407886
2017-05-03,10335212.0,20.271237983,20.586038384,20.242619764,20.700511257,20.318935013
2017-05-04,36831056.0,20.509723135,20.242619764,20.175843921,21.272875624,20.25215917
2017-05-05,40823282.0,21.320572655,20.538341354,20.519262541,21.492281965,20.814984131
2017-05-08,3387159.0,21.377809091,21.444584934,20.986693441,21.444584934,21.187020969
2017-05-09,2502065.0,21.778464148,21.377809091,21.263336218,21.873858209,21.683070087
2017-05-10,4605340.0,22.675168322,21.778464148,21.692609493,22.818259414,22.293592078
2017-05-11,3417150.0,23.237993283,22.637010698,22.083725143,23.848515274,23.037665754
2017-05-12,17785681.0,24.325485579,23.228453876,23.161678034,24.802455884,23.896212304
2017-05-15,10361134.0,24.554431326,24.811995291,24.306406767,24.850152915,24.497194889
2017-05-16,9554623.0,24.611667762,24.525813107,24.296867361,24.802455884,24.611667762
2017-05-17,42613674.0,24.42087964,24.506734295,24.087000426,25.708699465,24.516273701
2017-05-18,20032136.0,21.463663746,20.03275283,20.03275283,22.417604357,21.644912462
2017-05-19,15918193.0,22.322210296,21.79754296,21.45412434,22.322210296,21.931094646
2017-05-22,6649625.0,21.749845929,21.978791676,21.034390471,21.978791676,21.520900183
2017-05-23,13868428.0,22.226816235,21.635373056,21.225178593,22.770562383,22.016949301
2017-05-24,17040023.0,23.409702593,22.226816235,22.226816235,23.409702593,22.961350505
2017-05-25,15370461.0,23.466939029,23.419241999,22.894574663,23.657727151,23.276150907
2017-05-26,17746519.0,23.180756846,23.466939029,22.980429318,24.134697457,23.21891447
2017-05-29,14330589.0,22.989968724,23.018586942,22.799180602,23.466939029,23.113981003
2017-05-30,7503682.0,22.894574663,23.085362785,22.579774261,23.085362785,22.751483571
2017-05-31,24535003.0,22.131422174,22.70378654,21.520900183,22.970889911,22.14096158
2017-06-01,14028248.0,22.217276829,21.845239991,21.606754838,22.217276829,21.816621772
2017-06-02,9596403.0,23.438320811,22.217276829,21.864318803,23.724502994,22.761022977
2017-06-05,12719532.0,23.352466156,22.989968724,22.989968724,23.791278837,23.371544968
2017-06-06,28552738.0,22.894574663,23.333387344,22.70378654,23.466939029,23.085362785
2017-06-07,10168299.0,23.266611501,23.34292675,22.799180602,23.34292675,23.085362785
2017-06-08,8328569.0,23.276150907,22.913653475,22.904114069,23.829436461,23.295229719
2017-06-09,37051144.0,23.800818243,23.743581806,23.447860217,23.982066959,23.705424182
2017-06-12,10197093.0,23.180756846,23.762660619,22.942271693,23.781739431,23.381084374
2017-06-13,15031571.0,23.848515274,23.571872496,22.799180602,24.058382208,23.323847938
2017-06-14,20440107.0,24.516273701,23.848515274,23.848515274,24.792916478,24.211012706
2017-06-16,22829528.0,24.220552112,24.516273701,23.848515274,25.069559256,24.163315675
2017-06-19,21864869.0,23.810357649,24.125158051,23.428781405,24.125158051,23.667266557
2017-06-20,34548938.0,23.705424182,23.381084374,23.371544968,23.810357649,23.619569527
2017-06-21,9120997.0,23.705424182,23.705424182,23.524175466,23.753121212,23.648187745
2017-06-22,10906981.0,23.896212304,23.381084374,23.381084374,24.54489192,23.838975867
2017-06-23,19639654.0,23.85805468,23.848515274,23.428781405,24.211012706,23.753121212
2017-06-26,11856111.0,23.276150907,23.934369929,23.228453876,24.02976399,23.438320811
2017-06-27,20147883.0,22.989968724,23.180756846,22.799180602,23.228453876,23.028126348
2017-06-28,12574997.0,22.837338226,22.989968724,22.53207723,23.180756846,22.675168322
2017-06-29,6345063.0,22.799180602,22.589313667,22.589313667,23.085362785,22.837338226
2017-06-30,28769558.0,22.894574663,22.82779882,22.789641195,23.419241999,23.037665754
2017-07-03,5091615.0,22.579774261,23.075823379,22.579774261,23.075823379,22.751483571
2017-07-04,4096223.0,22.427143763,22.570234855,22.207737423,22.694247134,22.446222575
2017-07-05,10142840.0,22.799180602,22.427143763,22.274513266,22.82779882,22.741944165
2017-07-06,36489921.0,23.17121744,22.131422174,22.131422174,23.352466156,22.989968724
2017-07-07,20725439.0,24.115618645,23.17121744,22.989968724,24.287327955,23.829436461
2017-07-10,8002523.0,24.602128356,23.848515274,23.68634537,24.745219448,24.277788548
2017-07-11,5015549.0,25.021862225,24.602128356,24.134697457,25.021862225,24.621207168
2017-07-12,42689155.0,25.374820251,25.174492723,24.649825387,25.641923622,24.993244007
2017-07-13,9527607.0,25.947184618,25.727778277,25.470214312,26.061657491,25.689620653
2017-07-14,10541318.0,25.928105805,25.947184618,25.479753718,26.042578679,25.785014714
2017-07-17,7197301.0,26.18566977,25.832711744,25.536990155,26.233366801,25.889948181
2017-07-18,8273751.0,25.947184618,26.061657491,25.832711744,26.252445613,25.96626343
2017-07-19,6077851.0,25.84225115,25.756396495,25.250807972,25.909026993,25.594226592
