Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-01-24,0.0,1458.2272268,1458.2272268,1458.2272268,1458.2272268,1458.2272268
2007-01-26,107740911.0,1458.2272268,1479.0590443,1438.4370001,1484.2669987,1468.6431355
2007-01-29,53024347.0,1426.9795005,1458.2272268,1421.7715461,1463.4351811,1454.0608632
2007-01-30,10374765.0,1453.0192724,1432.1874548,1390.5238198,1453.0192724,1422.813137
2007-01-31,6542612.0,1458.2272268,1453.0192724,1407.1892738,1458.2272268,1437.3954092
2007-02-01,9971324.0,1457.1856359,1457.1856359,1437.3954092,1460.3104085,1450.9360906
2007-02-02,10531339.0,1484.2669987,1458.2272268,1426.9795005,1499.8908618,1472.809499
2007-02-05,1944960.0,1458.2272268,1483.2254078,1458.2272268,1489.474953,1467.6015446
2007-02-06,4789756.0,1468.6431355,1448.8529089,1448.8529089,1479.0590443,1462.3935903
2007-02-07,6652112.0,1456.144045,1458.2272268,1447.811318,1500.9324527,1459.2688176
2007-02-08,8308557.0,1447.811318,1457.1856359,1416.5635917,1463.4351811,1446.7697271
2007-02-09,4271171.0,1432.1874548,1447.811318,1408.2308647,1460.3104085,1437.3954092
2007-02-12,2738682.0,1416.5635917,1447.811318,1411.3556373,1447.811318,1420.7299552
2007-02-13,10935748.0,1382.1910928,1426.9795005,1364.4840479,1426.9795005,1389.4822289
2007-02-14,8590896.0,1385.3158654,1382.1910928,1364.4840479,1395.7317742,1383.2326837
2007-02-15,5088296.0,1416.5635917,1375.9415475,1374.8999567,1426.9795005,1393.6485924
2007-02-16,1503882.0,1425.9379096,1437.3954092,1411.3556373,1437.3954092,1428.0210913
2007-02-21,2988831.0,1456.144045,1390.5238198,1390.5238198,1456.144045,1443.6449545
2007-02-22,1610655.0,1455.1024541,1447.811318,1437.3954092,1458.2272268,1449.8944997
2007-02-23,7350674.0,1458.2272268,1438.4370001,1426.9795005,1458.2272268,1453.0192724
2007-02-26,2783463.0,1446.7697271,1458.2272268,1437.3954092,1458.2272268,1453.0192724
2007-02-27,3086369.0,1395.7317742,1406.1476829,1385.3158654,1437.3954092,1415.5220008
2007-02-28,4049560.0,1411.3556373,1395.7317742,1364.4840479,1432.1874548,1386.3574563
2007-03-01,842193.0,1364.4840479,1364.4840479,1354.0681391,1411.3556373,1370.7335931
2007-03-02,3259071.0,1384.2742745,1364.4840479,1328.0283672,1395.7317742,1357.1929118
2007-03-05,2046746.0,1291.5726866,1343.6522304,1275.9488234,1354.0681391,1308.2381406
2007-03-06,4566054.0,1291.5726866,1353.0265483,1275.9488234,1353.0265483,1292.6142774
2007-03-07,2148209.0,1239.4931427,1307.1965497,1239.4931427,1342.6106395,1261.3665511
2007-03-08,10080505.0,1208.2454165,1270.740869,1191.5799624,1281.1567778,1215.5365526
2007-03-09,8315406.0,1197.8295077,1226.9940522,1187.4135989,1233.2435975,1210.3285982
2007-03-12,2923402.0,1223.8692796,1197.8295077,1197.8295077,1249.9090515,1230.1188249
2007-03-13,3310680.0,1195.7463259,1239.4931427,1173.8729175,1280.1151869,1200.9542803
2007-03-14,7737528.0,1208.2454165,1197.8295077,1130.1261007,1210.3285982,1170.7481449
2007-03-15,522310.0,1208.2454165,1209.2870073,1208.2454165,1249.9090515,1211.3701891
2007-03-16,2103737.0,1166.5817814,1229.077234,1150.9579183,1249.9090515,1187.4135989
2007-03-19,144893.0,1166.5817814,1196.7879168,1135.3340551,1197.8295077,1161.373827
2007-03-20,4609787.0,1176.9976902,1171.7897358,1158.2490544,1208.2454165,1179.0808719
2007-03-21,1613141.0,1176.9976902,1197.8295077,1145.7499639,1222.8276887,1166.5817814
2007-03-22,1193924.0,1156.1658726,1168.6649632,1145.7499639,1182.2056445,1162.4154179
2007-03-23,1010697.0,1176.9976902,1165.5401905,1165.5401905,1176.9976902,1175.9560993
2007-03-26,1397496.0,1192.6215533,1176.9976902,1156.1658726,1192.6215533,1176.9976902
2007-03-27,6199294.0,1188.4551898,1187.4135989,1165.5401905,1208.2454165,1182.2056445
2007-03-28,2381368.0,1171.7897358,1182.2056445,1124.9181464,1208.2454165,1171.7897358
2007-03-29,278403.0,1166.5817814,1187.4135989,1146.7915548,1203.0374621,1173.8729175
2007-03-30,7087904.0,1135.3340551,1145.7499639,1093.6704201,1186.3720081,1134.2924642
2007-04-02,989779.0,1130.1261007,1135.3340551,1114.5022376,1145.7499639,1133.2508734
2007-04-03,5044689.0,1197.8295077,1120.7517828,1120.7517828,1197.8295077,1154.0826909
2007-04-04,2227783.0,1208.2454165,1196.7879168,1187.4135989,1243.6595062,1210.3285982
2007-04-05,2009251.0,1218.6613252,1203.0374621,1192.6215533,1222.8276887,1205.1206438
2007-04-09,2858514.0,1197.8295077,1240.5347336,1197.8295077,1249.9090515,1225.9524613
2007-04-10,8305569.0,1229.077234,1204.0790529,1187.4135989,1229.077234,1205.1206438
2007-04-11,14967286.0,1291.5726866,1247.8258698,1247.8258698,1291.5726866,1273.8656417
2007-04-12,2086709.0,1301.9885953,1260.3249603,1260.3249603,1312.4045041,1284.2815504
2007-04-13,6167081.0,1355.10973,1301.9885953,1291.5726866,1369.6920023,1336.3610942
2007-04-16,34177057.0,1395.7317742,1355.10973,1354.0681391,1426.9795005,1400.9397286
2007-04-17,2542898.0,1395.7317742,1395.7317742,1380.107911,1416.5635917,1395.7317742
2007-04-18,2871125.0,1406.1476829,1395.7317742,1385.3158654,1406.1476829,1404.0645012
2007-04-19,16660801.0,1468.6431355,1399.8981377,1386.3574563,1484.2669987,1441.5617727
2007-04-20,20444940.0,1489.474953,1484.2669987,1472.809499,1510.3067706,1484.2669987
2007-04-23,2436234.0,1473.8510899,1489.474953,1468.6431355,1489.474953,1485.3085895
2007-04-24,7997777.0,1456.144045,1473.8510899,1437.3954092,1473.8510899,1448.8529089
2007-04-25,4240153.0,1457.1856359,1473.8510899,1450.9360906,1484.2669987,1459.2688176
2007-04-26,6883644.0,1494.6829074,1457.1856359,1437.3954092,1515.5147249,1484.2669987
2007-04-27,2205059.0,1510.3067706,1468.6431355,1463.4351811,1510.3067706,1489.474953
2007-04-30,940666.0,1468.6431355,1510.3067706,1458.2272268,1510.3067706,1486.3501804
2007-05-02,20219312.0,1567.3270628,1516.1277121,1505.678865,1605.9877971,1566.2821781
