Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2006-12-08,0.0,18.95433433,18.95433433,18.95433433,18.95433433,18.95433433
2006-12-11,213191722.0,18.672035734,19.357618039,18.672035734,19.7447704,19.059188094
2006-12-12,27718531.0,18.736561127,18.680101408,18.389737137,18.85754624,18.591378992
2006-12-13,20352436.0,19.034991072,18.752692476,18.551050621,19.034991072,18.930137308
2006-12-14,6518714.0,19.188238881,19.357618039,19.043056746,19.357618039,19.188238881
2006-12-15,15088850.0,19.034991072,19.123713488,18.66397006,19.123713488,18.970465678
2006-12-18,13364406.0,18.930137308,19.034991072,18.793020846,19.034991072,18.930137308
2006-12-19,7852949.0,18.551050621,18.793020846,18.397802811,18.793020846,18.583313318
2006-12-20,14189500.0,18.542984947,18.551050621,17.760614551,18.60751034,18.196160957
2006-12-21,15974322.0,18.542984947,18.542984947,18.139701238,18.551050621,18.357474441
2006-12-22,5150649.0,18.470393879,18.542984947,18.309080395,18.542984947,18.397802811
2006-12-26,5911327.0,18.309080395,18.470393879,18.147766912,18.551050621,18.349408766
2006-12-27,13267416.0,18.712364105,18.228423654,18.228423654,18.793020846,18.623641689
2006-12-28,7147917.0,18.551050621,18.712364105,18.478459553,18.95433433,18.623641689
2007-01-02,6883996.0,18.865611914,18.486525228,18.486525228,18.946268656,18.696232756
2007-01-03,4390695.0,18.551050621,18.865611914,18.389737137,18.865611914,18.534919273
2007-01-04,6836201.0,18.712364105,18.551050621,18.430065508,18.712364105,18.66397006
2007-01-05,54088765.0,19.034991072,18.712364105,18.583313318,19.034991072,18.720429779
2007-01-08,14026416.0,19.244698601,18.994662701,18.825283543,19.244698601,18.978531353
2007-01-09,2541254.0,19.034991072,19.034991072,18.551050621,19.043056746,18.873677588
2007-01-10,5645943.0,19.026925398,18.631707363,18.51072225,19.026925398,18.873677588
2007-01-11,4517042.0,19.349552365,19.002728375,18.591378992,19.349552365,19.131779162
2007-01-12,9634700.0,18.914005959,19.268895623,18.672035734,19.317289668,18.85754624
2007-01-15,1565508.0,18.752692476,18.752692476,18.672035734,18.994662701,18.793020846
2007-01-16,9379329.0,18.51072225,18.639773037,18.228423654,18.639773037,18.454262531
2007-01-17,12532766.0,19.317289668,18.268752025,18.268752025,19.317289668,18.728495453
2007-01-18,7344933.0,19.228567252,19.317289668,19.034991072,19.317289668,19.164041859
2007-01-19,5657997.0,19.760901748,18.95433433,18.873677588,19.760901748,19.454406129
2007-01-22,9513016.0,19.599588265,19.680245007,19.244698601,19.712507703,19.406012084
2007-01-23,12587301.0,20.002871974,19.430209107,19.430209107,20.010937648,19.881886861
2007-01-24,12651578.0,21.374036585,19.9948063,19.9948063,21.374036585,20.78524237
2007-01-26,4393741.0,21.333708214,20.970752876,20.567469167,21.333708214,21.003015573
2007-01-29,12906062.0,21.777320294,21.333708214,21.317576866,21.898305407,21.696663552
2007-01-30,7458797.0,22.90651468,21.736991923,21.704729227,22.90651468,22.188669678
2007-01-31,17897767.0,22.90651468,22.954908725,22.422574229,23.148484905,22.874251983
2007-02-01,16085785.0,23.79373884,22.914580354,22.866186309,24.197022549,23.382389457
2007-02-02,10128994.0,23.713082098,23.874395582,22.583887712,23.955052324,23.438849176
2007-02-05,5971703.0,23.390455131,23.527571592,22.825857938,23.79373884,23.213010299
2007-02-06,5015944.0,23.382389457,23.390455131,22.75326687,23.69695075,23.221075973
2007-02-07,7233271.0,23.148484905,23.229141647,22.188669678,23.390455131,22.954908725
2007-02-08,11686777.0,22.543559342,23.204944625,22.180604003,23.204944625,22.543559342
2007-02-09,11259905.0,21.656335181,22.430639903,21.374036585,22.729069848,21.809582991
2007-02-12,5272096.0,21.470824675,21.696663552,21.17239473,21.938633778,21.430496304
2007-02-13,3240332.0,21.777320294,21.293379843,21.293379843,22.099947261,21.817648665
2007-02-14,6783550.0,21.898305407,21.930568104,21.374036585,22.099947261,21.761188946
2007-02-15,9454701.0,22.664544454,21.898305407,21.898305407,22.737135522,22.519362319
2007-02-16,2685948.0,22.664544454,22.664544454,22.01929052,22.737135522,22.422574229
2007-02-21,3166252.0,22.180604003,22.583887712,21.857977036,22.745201196,22.132209958
2007-02-22,3588705.0,22.567756364,22.583887712,22.140275632,22.624216083,22.470968274
2007-02-23,3677053.0,22.099947261,22.180604003,21.898305407,22.583887712,22.196735352
2007-02-26,9091018.0,22.422574229,22.180604003,22.180604003,22.583887712,22.358048835
2007-02-27,13212289.0,20.97881855,22.422574229,20.244842199,22.422574229,21.019146921
2007-02-28,14882102.0,20.970752876,21.220788776,20.172251132,21.454693327,20.994949898
2007-03-01,16341638.0,21.616006811,20.567469167,19.518931523,21.616006811,20.559403493
2007-03-02,12940133.0,21.607941136,21.567612765,20.406155683,21.688597878,21.035278269
2007-03-05,8102075.0,21.212723101,20.688454279,20.567469167,21.374036585,21.083672314
2007-03-06,12046489.0,22.341917487,21.777320294,21.374036585,22.341917487,22.01929052
2007-03-07,15090588.0,22.90651468,22.398377206,21.9628308,22.90651468,22.511296645
2007-03-08,10934424.0,23.043631141,22.575822038,22.422574229,23.390455131,23.083959512
2007-03-09,7269740.0,22.503230971,23.075893838,22.358048835,23.382389457,22.527427993
2007-03-12,9283393.0,22.140275632,22.341917487,21.938633778,22.341917487,22.083815913
2007-03-13,10170585.0,21.76925462,21.793451643,20.567469167,22.091881587,21.382102259
2007-03-14,7472991.0,22.261260745,21.57567844,20.906227482,22.261260745,21.664400856
2007-03-15,5106691.0,21.898305407,22.269326419,21.535350069,22.285457768,21.954765126
2007-03-16,15527780.0,21.930568104,21.849911362,20.970752876,22.253195071,21.511153046
2007-03-19,4557320.0,22.091881587,22.180604003,21.777320294,22.422574229,22.027356194
2007-03-20,29074358.0,21.745057597,22.575822038,21.745057597,22.575822038,21.946699452
2007-03-21,17783575.0,23.221075973,21.970896475,21.414364956,23.221075973,22.414508555
2007-03-22,12044314.0,23.148484905,23.221075973,22.583887712,23.277535692,23.00330277
2007-03-23,5409976.0,23.10009086,23.204944625,22.90651468,23.229141647,23.10009086
2007-03-26,5717247.0,22.987171422,22.90651468,22.349983161,23.406586479,22.930711702
2007-03-27,6472253.0,23.124287883,23.10009086,22.688741477,23.229141647,22.979105747
2007-03-28,4627799.0,22.583887712,23.148484905,22.422574229,23.148484905,22.704872825
2007-03-29,14053526.0,23.148484905,23.140419231,22.583887712,23.148484905,22.85005496
