Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2010-10-22,0.0,120.0,120.0,120.0,120.0,120.0
2010-10-25,590550369.0,116.7,120.5,110.504,122.0,117.266
2010-10-26,163944504.0,112.5,114.001,112.5,117.0,113.85
2010-10-27,84097094.0,113.5,112.5,111.012,116.0,114.107
2010-10-28,64907026.0,112.5,113.55,110.5,113.55,111.909
2010-10-29,18752345.0,113.7,113.0,112.0,114.5,113.651
2010-11-01,21344495.0,117.5,114.2,114.2,118.899,117.277
2010-11-03,47945795.0,119.5,118.8,117.017,121.0,119.268
2010-11-04,33227415.0,119.8,119.5,119.002,120.999,119.955
2010-11-05,133375186.0,122.0,119.798,119.798,122.2,121.03
2010-11-08,23167850.0,120.0,122.0,120.0,122.0,120.666
2010-11-09,36160468.0,118.0,120.001,118.0,123.0,120.535
2010-11-10,10941008.0,118.5,121.0,116.102,121.0,117.645
2010-11-11,25561646.0,118.0,116.0,116.0,119.2,117.796
2010-11-12,8121916.0,117.0,117.999,116.561,118.499,117.709
2010-11-16,28393909.0,111.205,115.0,111.0,116.0,114.032
2010-11-17,23133612.0,113.0,111.205,111.201,113.699,112.847
2010-11-18,30805265.0,120.001,114.5,114.5,120.4,118.482
2010-11-19,34890871.0,120.0,117.5,117.5,120.5,119.9
2010-11-22,19536060.0,120.1,120.201,119.0,120.201,119.853
2010-11-23,24984634.0,121.0,120.0,119.5,122.0,120.118
2010-11-24,27497657.0,135.0,123.0,123.0,135.0,130.321
2010-11-25,15741033.0,135.0,138.0,133.0,138.0,134.539
2010-11-26,40636567.0,139.0,133.1,133.1,143.5,140.126
2010-11-29,29655072.0,138.5,139.0,137.1,141.8,139.226
2010-11-30,13861080.0,135.4,136.0,133.252,140.0,135.893
2010-12-01,27187096.0,139.999,135.401,135.001,139.999,137.309
2010-12-02,45005135.0,148.0,140.0,139.0,149.73,142.421
2010-12-03,80677101.0,156.16,149.9,146.51,158.999,152.509
2010-12-06,177071329.0,162.498,155.501,155.501,163.0,159.956
2010-12-07,49425359.0,160.0,162.5,160.0,169.899,166.415
2010-12-08,66060036.0,164.0,162.5,161.001,166.799,164.328
2010-12-09,97028172.0,160.0,165.5,158.0,165.5,160.112
2010-12-10,64814530.0,153.0,161.5,152.1,161.5,155.059
2010-12-13,34124723.0,156.0,153.501,153.204,156.0,155.112
2010-12-14,45912186.0,154.0,155.498,153.2,155.498,154.068
2010-12-15,48446096.0,154.675,153.0,152.022,155.0,154.287
2010-12-16,22668321.0,155.5,155.001,154.6,155.7,155.262
2010-12-17,39385586.0,165.0,155.5,155.5,165.0,162.081
2010-12-20,26727121.0,161.0,165.001,161.0,165.001,162.97
2010-12-21,9964400.0,159.998,160.5,158.001,162.0,160.716
2010-12-22,26429607.0,157.505,160.0,157.0,162.0,160.179
2010-12-23,2554419.0,159.0,161.0,159.0,161.0,159.651
2010-12-27,6922763.0,161.0,158.001,158.0,163.0,160.994
2010-12-28,1298802.0,161.0,163.5,161.0,163.5,162.35
2010-12-29,2736751.0,158.701,162.95,158.701,163.0,160.985
2010-12-30,3198362.0,159.0,160.0,158.0,161.0,159.918
2011-01-03,25351440.0,164.0,159.001,158.0,165.5,162.509
2011-01-04,9358161.0,168.0,165.0,164.5,169.0,167.11
2011-01-05,14217595.0,162.1,167.997,162.1,168.0,165.321
2011-01-06,20359655.0,157.5,162.0,154.5,162.0,156.613
2011-01-07,19932111.0,158.0,160.0,155.0,160.0,156.946
2011-01-10,35582495.0,163.5,159.396,158.0,163.5,161.739
2011-01-11,54923203.0,165.5,165.979,162.0,166.999,165.931
