Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2004-11-19,0.0,3.0132432858,3.0132432858,3.0132432858,3.0132432858,3.0132432858
2004-11-22,83693698.0,3.2060908561,3.3587618492,3.1353800803,3.3587618492,3.280015758
2004-11-23,14356606.0,3.1739495944,3.2157332346,3.1418083327,3.2768016319,3.1868060991
2004-11-24,7075225.0,3.148236585,3.1819849098,3.0855611247,3.2301968024,3.1257377018
2004-11-25,5815279.0,3.07270462,3.165914279,3.0373492321,3.165914279,3.0775258092
2004-11-26,2851829.0,3.0855611247,3.0871681877,3.0373492321,3.0871681877,3.0614551784
2004-11-29,3214634.0,3.0855611247,3.0855611247,3.0566339891,3.1000246924,3.0694904938
2004-11-30,15145996.0,3.0132432858,3.0855611247,2.9971726549,3.0855611247,3.0132432858
2004-12-01,7882708.0,3.0775258092,3.0373492321,2.9971726549,3.1032388186,3.0485986737
2004-12-02,4798085.0,3.0855611247,3.0823469985,3.0694904938,3.0855611247,3.0823469985
2004-12-03,5244082.0,3.1418083327,3.0871681877,3.0791328723,3.1498436481,3.1241306387
2004-12-06,4120232.0,3.1466295219,3.1048458817,3.1048458817,3.165914279,3.148236585
2004-12-07,5564590.0,3.0855611247,3.1402012696,3.0855611247,3.1402012696,3.1209165126
2004-12-08,4753291.0,3.0855611247,3.0566339891,3.0453845475,3.109667071,3.0630622415
2004-12-09,4819324.0,3.0775258092,3.0855611247,3.0694904938,3.0871681877,3.07270462
2004-12-10,2082390.0,3.0694904938,3.0534198629,3.0534198629,3.0855611247,3.0694904938
2004-12-13,2557948.0,3.0952035032,3.0694904938,3.0694904938,3.1177023864,3.0855611247
2004-12-14,3959563.0,3.1048458817,3.0389562952,3.0389562952,3.111274134,3.0968105663
2004-12-15,2468219.0,3.1128811971,3.0630622415,3.0630622415,3.1128811971,3.1016317555
2004-12-16,2073506.0,3.1177023864,3.1160953233,3.0935964401,3.1177023864,3.1080600079
