Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2011-06-28,0.0,8.0889449167,8.0889449167,8.0889449167,8.0889449167,8.0889449167
2011-06-29,141035713.0,9.3645093075,8.1822788966,8.1013894474,9.4267319607,8.6925046528
2011-06-30,12000959.0,9.2711753277,9.4453987566,9.084507368,9.4453987566,9.2462862664
2011-07-01,5215710.0,9.3333979809,9.0222847148,8.9725065923,9.4578432873,9.2462862664
2011-07-04,5281001.0,9.1778413478,9.2151749398,9.084507368,9.2649530623,9.1653968172
2011-07-05,3047457.0,9.2649530623,9.0533960414,9.0533960414,9.3333979809,9.1965081438
2011-07-06,6949491.0,9.084507368,9.3458425115,9.0533960414,9.3458425115,9.1342854906
2011-07-07,68149.0,9.2338417357,9.0533960414,9.0222847148,9.2649530623,9.2213972051
2011-07-08,1058110.0,9.1778413478,9.0907296334,8.9600620616,9.1778413478,9.0782851027
2011-07-11,13801229.0,9.0160624495,9.0782851027,8.8667280818,9.084507368,8.8729503471
2011-07-12,6918797.0,8.5867261424,8.773394102,8.5867261424,8.9165062044,8.754727306
2011-07-13,799607.0,8.6676155916,8.7111714488,8.6613933262,8.7858386327,8.6800601222
2011-07-14,8448449.0,8.6800601222,8.6489487956,8.5867261424,8.6800601222,8.6489487956
2011-07-15,886547.0,8.773394102,8.6489487956,8.5680593464,8.773394102,8.6987269182
2011-07-18,679596.0,8.6987269182,8.7111714488,8.5058366932,8.7111714488,8.5929484077
2011-07-19,1727567.0,8.6800601222,8.4062804481,8.4062804481,8.7049491835,8.5929484077
2011-07-20,8734592.0,8.5556148158,8.5245034892,8.3938359175,8.6987269182,8.5120589585
2011-07-21,237098.0,8.9600620616,8.5493925505,8.5493925505,8.9600620616,8.6302819996
2011-07-22,4547995.0,9.1778413478,8.9600620616,8.9600620616,9.1778413478,9.0222847148
2011-07-25,6844292.0,9.1467300212,9.1716190825,8.9538397963,9.1716190825,9.0409515108
2011-07-26,173087.0,9.1778413478,9.084507368,8.8293944899,9.1778413478,9.0533960414
2011-07-27,17666814.0,9.2089526745,9.1653968172,9.1280632253,9.2400640011,9.1591745519
2011-07-28,14711050.0,9.1467300212,9.0782851027,8.8480612859,9.1778413478,9.1716190825
2011-07-29,4798258.0,9.0222847148,9.2960643889,9.0222847148,9.3333979809,9.1591745519
2011-08-01,214780.0,9.0222847148,9.0285069801,8.754727306,9.0347292455,8.9662843269
2011-08-02,14001843.0,9.1716190825,8.7609495714,8.7173937141,9.3085089196,8.8356167552
2011-08-03,318113.0,8.9600620616,8.9600620616,8.7111714488,8.9600620616,8.9538397963
2011-08-04,10334949.0,8.7111714488,9.0222847148,8.7049491835,9.0471737761,8.7173937141
2011-08-05,13579664.0,8.0951671821,8.7173937141,8.0951671821,8.7173937141,8.6489487956
2011-08-08,4603278.0,7.4667183847,7.9644996103,7.3422730783,8.0889449167,7.8462765692
2011-08-09,10728991.0,8.6489487956,7.4667183847,7.3422730783,8.6489487956,7.665830875
2011-08-10,28362.0,8.306724203,8.8293944899,7.9022769571,8.8293944899,8.0204999982
2011-08-11,502025.0,8.4933921626,8.7049491835,8.4933921626,8.7049491835,8.5369480198
2011-08-12,596199.0,8.4933921626,8.4000581828,8.1822788966,8.4933921626,8.3938359175
2011-08-15,692583.0,8.4062804481,8.5245034892,8.4062804481,8.6489487956,8.4685031013
2011-08-16,13175258.0,8.5245034892,8.6613933262,8.5245034892,8.6738378569,8.5307257545
2011-08-17,1154636.0,8.4000581828,8.5245034892,8.4000581828,8.6489487956,8.4249472441
2011-08-18,72951.0,8.0329445289,8.113833978,8.0267222635,8.1822788966,8.1076117127
2011-08-19,2624563.0,7.6907199362,8.0827226514,7.6907199362,8.0827226514,7.802720712
2011-08-22,1185436.0,7.7778316507,7.6969422015,7.6596086096,7.8400543039,7.7716093854
2011-08-23,427529.0,7.7778316507,7.7778316507,7.7778316507,7.8400543039,7.7778316507
2011-08-24,1591257.0,7.821387508,7.7778316507,7.7778316507,7.821387508,7.7778316507
2011-08-25,118630.0,7.8400543039,7.8400543039,7.5911636911,7.8400543039,7.7716093854
2011-08-26,311435.0,7.9333882837,7.7778316507,7.7778316507,7.9333882837,7.8773878959
2011-08-29,715149.0,8.2756128764,7.9893886716,7.9893886716,8.2756128764,8.0453890595
2011-08-30,317447.0,8.7111714488,8.4747253666,8.462280836,8.7111714488,8.5493925505
2011-08-31,2646617.0,8.9600620616,8.9600620616,8.7111714488,9.1405077559,8.8978394084
2011-09-01,3286098.0,9.3333979809,9.084507368,9.0222847148,9.3333979809,9.1591745519
2011-09-02,203052.0,9.2089526745,9.2711753277,9.2089526745,9.2711753277,9.2213972051
2011-09-05,1660331.0,9.0222847148,9.3333979809,8.7173937141,9.3333979809,8.8231722246
2011-09-06,4038566.0,8.8978394084,9.0222847148,8.8978394084,9.0222847148,9.0222847148
2011-09-08,2986373.0,9.3956206341,8.8293944899,8.8293944899,9.4267319607,9.12184096
2011-09-09,3511133.0,9.3333979809,9.3333979809,9.2525085317,9.9556245129,9.451621022
2011-09-12,2425800.0,9.3333979809,9.3147311849,9.084507368,9.3956206341,9.3333979809
2011-09-13,1907381.0,9.8249569412,9.451621022,9.3956206341,9.8249569412,9.4578432873
2011-09-14,9083265.0,9.7378452267,9.7938456146,9.5511772671,9.8249569412,9.744067492
2011-09-15,2945710.0,9.8311792065,9.9431799823,9.5822885937,9.9494022476,9.781401084
2011-09-16,17630587.0,10.577851045,10.111181145,9.8436237371,10.577851045,9.9618467782
2011-09-19,6937521.0,10.080069819,10.297849105,9.9867358395,10.453405738,10.322738166
2011-09-20,2025778.0,9.9556245129,10.111181145,9.8436237371,10.111181145,9.9618467782
2011-09-21,1374420.0,9.7689565533,9.9556245129,9.7689565533,10.10495888,9.9307354516
2011-09-22,2092093.0,9.084507368,9.7067339001,8.8356167552,9.8311792065,9.1840636132
2011-09-23,3130686.0,9.3333979809,9.0782851027,8.7982831633,9.5387327364,9.2338417357
2011-09-26,1347285.0,9.3333979809,9.3333979809,9.1716190825,9.6445112469,9.4702878179
2011-09-27,3217029.0,9.084507368,9.9556245129,9.0409515108,9.9556245129,9.3645093075
2011-09-28,194001.0,9.1342854906,9.3271757155,8.9351730003,9.3271757155,9.0782851027
2011-09-29,5308788.0,8.7111714488,9.2027304091,8.7049491835,9.2027304091,8.8791726125
