Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2017-03-13,26261057.0,8.74,8.7,8.55,8.83,8.73
2017-03-14,27203869.0,8.66,8.73,8.36,8.85,8.64
2017-03-15,51274353.0,8.95,8.65,8.42,8.95,8.76
2017-03-16,50903409.0,8.88,9.0,8.73,9.06,8.95
2017-03-17,62810462.0,9.0,8.91,8.7,9.05,8.94
2017-03-20,119641005.0,8.91,8.91,8.83,9.13,9.01
2017-03-21,79940604.0,8.59,8.9,8.16,8.96,8.44
2017-03-22,53895646.0,8.75,8.5,8.41,8.84,8.65
2017-03-23,43000479.0,8.7,8.65,8.49,8.76,8.66
2017-03-24,45619821.0,8.55,8.61,8.49,8.79,8.62
2017-03-27,30204825.0,8.55,8.45,8.28,8.56,8.46
2017-03-28,19419594.0,8.55,8.55,8.44,8.55,8.53
2017-03-29,33043738.0,8.53,8.49,8.4,8.57,8.5
2017-03-30,31413765.0,8.55,8.56,8.44,8.6,8.52
2017-03-31,27221165.0,8.55,8.55,8.49,8.59,8.55
2017-04-03,392619951.0,8.87,8.55,8.5,8.87,8.67
2017-04-04,66801843.0,8.96,8.88,8.79,9.0,8.92
2017-04-05,52425565.0,8.72,9.0,8.56,9.04,8.86
2017-04-06,55043211.0,8.6,8.71,8.46,8.8,8.66
2017-04-07,47535892.0,8.75,8.61,8.51,8.97,8.75
2017-04-10,26506799.0,8.81,8.82,8.7,8.91,8.79
2017-04-11,45585709.0,8.89,8.86,8.7,8.99,8.89
2017-04-12,63762002.0,8.85,8.83,8.77,8.93,8.86
2017-04-13,125080743.0,8.61,8.86,8.61,8.87,8.74
2017-04-17,35909310.0,8.85,8.65,8.56,8.85,8.76
2017-04-18,68583259.0,8.94,8.73,8.71,9.18,8.96
2017-04-19,50339420.0,8.85,9.07,8.75,9.13,8.9
2017-04-20,38991195.0,8.69,8.95,8.63,8.97,8.78
2017-04-24,43232105.0,8.62,8.87,8.62,8.89,8.73
2017-04-25,55501725.0,8.6,8.6,8.32,8.68,8.54
2017-04-26,43914112.0,8.58,8.58,8.41,8.65,8.53
2017-04-27,26652175.0,8.68,8.61,8.45,8.71,8.61
2017-04-28,47517772.0,8.73,8.63,8.55,8.78,8.69
2017-05-02,133714333.0,9.27,8.75,8.75,9.32,9.13
2017-05-03,51774629.0,9.38,9.25,9.1,9.38,9.26
2017-05-04,47881278.0,9.2,9.42,9.1,9.5,9.26
2017-05-05,23440025.0,9.23,9.29,9.05,9.3,9.18
2017-05-08,38105218.0,9.28,9.2,9.1,9.35,9.26
2017-05-09,66253965.0,9.7,9.35,9.32,9.74,9.55
2017-05-10,62677689.0,9.7,9.79,9.52,9.84,9.71
2017-05-11,117834047.0,9.91,9.7,9.66,9.98,9.8
2017-05-12,82681906.0,9.92,9.94,9.88,10.05,9.95
2017-05-15,73909717.0,10.13,9.85,9.82,10.19,10.03
2017-05-16,72520007.0,10.47,10.2,10.15,10.55,10.39
2017-05-17,73312147.0,10.33,10.31,10.02,10.44,10.26
2017-05-18,282628544.0,8.58,7.8,7.65,8.93,8.54
2017-05-19,204124298.0,8.87,9.0,8.7,9.15,8.91
2017-05-22,229182698.0,7.9,8.7,7.65,8.7,7.95
2017-05-23,139258421.0,7.99,7.99,7.81,8.1,7.95
2017-05-24,114555620.0,8.57,8.27,8.05,8.8,8.53
2017-05-25,156870105.0,8.72,8.61,8.3,8.87,8.63
2017-05-26,98680814.0,8.78,8.73,8.65,8.94,8.84
2017-05-29,32689252.0,8.65,8.7,8.51,8.73,8.6
2017-05-30,51730744.0,8.56,8.68,8.41,8.68,8.55
2017-05-31,99668579.0,8.48,8.53,8.2,8.64,8.38
2017-06-01,70591448.0,8.26,8.46,8.25,8.64,8.48
2017-06-02,60630784.0,8.18,8.34,8.05,8.42,8.23
2017-06-05,82774124.0,7.88,8.08,7.81,8.33,8.04
2017-06-06,105778606.0,7.78,7.95,7.68,8.02,7.78
2017-06-07,80375451.0,8.03,7.87,7.73,8.03,7.86
2017-06-08,51022956.0,7.92,8.0,7.81,8.0,7.89
2017-06-09,35226932.0,7.88,7.9,7.82,8.04,7.92
2017-06-12,72328472.0,7.74,7.9,7.5,7.91,7.72
2017-06-13,62549476.0,7.9,7.73,7.71,7.96,7.88
2017-06-14,67645130.0,8.11,8.01,7.93,8.14,8.06
2017-06-16,66460286.0,8.3,8.0,7.94,8.3,8.22
2017-06-19,47161532.0,8.34,8.25,8.12,8.38,8.27
2017-06-20,105330199.0,8.12,8.25,7.97,8.26,8.11
2017-06-21,33983680.0,8.13,8.15,7.97,8.2,8.08
2017-06-22,41026637.0,8.4,8.1,8.06,8.4,8.26
2017-06-23,28141459.0,8.25,8.4,8.16,8.45,8.29
2017-06-26,53758635.0,8.36,8.28,8.1,8.42,8.25
2017-06-27,24696546.0,8.27,8.35,8.2,8.35,8.26
2017-06-28,32958141.0,8.27,8.35,8.14,8.35,8.23
2017-06-29,44103080.0,8.43,8.33,8.21,8.43,8.35
2017-06-30,59017763.0,8.65,8.44,8.44,8.65,8.56
2017-07-03,59014149.0,8.7,8.66,8.54,8.7,8.65
2017-07-04,25506060.0,8.75,8.65,8.6,8.86,8.76
2017-07-05,39268685.0,8.95,8.81,8.67,8.98,8.88
2017-07-06,37518980.0,8.91,8.97,8.82,9.0,8.91
2017-07-07,29759892.0,8.8,8.99,8.77,8.99,8.85
2017-07-10,32152632.0,8.81,8.82,8.67,8.93,8.81
2017-07-11,24580115.0,8.98,8.81,8.78,8.98,8.91
2017-07-12,89203686.0,9.06,9.07,9.02,9.24,9.1
2017-07-13,133291147.0,9.45,9.13,9.07,9.49,9.33
2017-07-14,65192264.0,9.59,9.5,9.49,9.68,9.58
2017-07-17,49685618.0,9.44,9.55,9.33,9.72,9.49
2017-07-18,39492545.0,9.6,9.44,9.32,9.6,9.45
2017-07-19,92556135.0,9.65,9.61,9.54,9.71,9.61
2017-07-20,28780696.0,9.65,9.61,9.54,9.71,9.63
2017-07-21,44907210.0,9.95,9.64,9.61,9.95,9.88
2017-07-24,82496224.0,10.16,9.97,9.87,10.17,10.06
2017-07-25,63950985.0,10.2,10.19,10.07,10.23,10.19
2017-07-26,58907438.0,10.08,10.18,9.89,10.23,10.12
2017-07-27,58666998.0,10.19,10.13,10.12,10.29,10.2
2017-07-28,61914971.0,10.42,10.26,10.16,10.42,10.28
2017-07-31,71035947.0,10.34,10.42,10.23,10.5,10.35
2017-08-01,112886856.0,10.3,10.3,10.13,10.39,10.26
2017-08-02,115734905.0,10.97,10.28,10.15,10.97,10.62
2017-08-03,86618695.0,10.82,10.92,10.56,10.94,10.76
2017-08-04,84916658.0,10.83,10.9,10.75,10.96,10.84
2017-08-07,67995875.0,10.88,10.84,10.84,10.95,10.89
2017-08-08,58217054.0,10.85,10.84,10.69,10.92,10.83
2017-08-09,32642453.0,10.74,10.75,10.67,10.85,10.75
2017-08-10,72820820.0,10.45,10.65,10.15,10.66,10.46
2017-08-11,53643938.0,10.38,10.31,10.31,10.6,10.45
2017-08-14,47328462.0,10.34,10.4,10.31,10.5,10.44
2017-08-15,60066598.0,10.07,10.38,10.01,10.41,10.18
2017-08-16,91559521.0,10.27,10.13,10.05,10.34,10.23
2017-08-17,50608387.0,10.1,10.3,10.06,10.39,10.15
2017-08-18,59773709.0,10.23,10.13,10.07,10.26,10.16
2017-08-21,72907578.0,10.08,10.25,9.82,10.3,10.07
2017-08-22,77088467.0,10.33,10.14,10.14,10.45,10.29
2017-08-23,47076419.0,10.42,10.34,10.24,10.52,10.4
2017-08-24,56582122.0,10.47,10.45,10.34,10.58,10.48
2017-08-25,54283640.0,10.32,10.49,10.26,10.53,10.32
2017-08-28,49117925.0,10.49,10.3,10.17,10.53,10.44
2017-08-29,41322430.0,10.5,10.41,10.22,10.53,10.44
2017-08-30,86544299.0,10.37,10.45,10.23,10.53,10.35
2017-08-31,64902028.0,10.33,10.4,10.24,10.47,10.29
2017-09-01,85406021.0,10.35,10.35,10.24,10.46,10.34
2017-09-04,74030974.0,10.1,10.31,10.02,10.37,10.12
2017-09-05,120863857.0,10.14,10.2,10.08,10.32,10.18
2017-09-06,287680450.0,9.75,9.8,9.35,9.93,9.64
2017-09-08,84978613.0,9.86,9.73,9.63,9.95,9.82
2017-09-11,70991668.0,9.9,9.87,9.75,10.04,9.91
2017-09-12,78949926.0,9.82,9.85,9.78,9.95,9.85
2017-09-13,50780008.0,9.84,9.8,9.73,9.88,9.81
2017-09-14,114159119.0,9.95,9.85,9.81,10.01,9.9
2017-09-15,105061329.0,10.2,9.99,9.97,10.25,10.15
2017-09-18,256481479.0,10.5,10.3,10.3,10.67,10.51
2017-09-19,181436979.0,10.57,10.55,10.36,10.64,10.53
2017-09-20,98308860.0,10.49,10.66,10.42,10.7,10.56
2017-09-21,158823983.0,10.39,10.45,10.11,10.47,10.22
2017-09-22,201997629.0,10.84,10.34,10.25,11.08,10.83
2017-09-25,287483810.0,11.14,10.85,10.85,11.2,11.11
2017-09-26,163299344.0,11.35,11.2,11.13,11.65,11.47
2017-09-27,208908080.0,11.59,11.45,11.28,11.61,11.41
2017-09-28,90555079.0,11.7,11.55,11.39,11.78,11.58
2017-09-29,134584881.0,12.09,11.77,11.62,12.14,11.86
2017-10-02,111307820.0,12.25,12.01,11.96,12.49,12.27
2017-10-03,157905298.0,12.8,12.3,12.17,12.95,12.65
2017-10-04,123736718.0,12.63,12.8,12.45,12.95,12.69
2017-10-05,333265222.0,12.28,12.8,12.21,12.8,12.39
2017-10-06,281036713.0,12.15,12.3,11.91,12.36,12.09
2017-10-09,103581806.0,12.49,12.2,12.12,12.49,12.32
2017-10-10,290126449.0,12.95,12.64,12.6,13.1,12.85
2017-10-11,499715404.0,13.05,12.96,12.54,13.15,12.94
2017-10-13,168204677.0,13.08,13.17,12.95,13.2,13.06
2017-10-16,156245474.0,13.3,13.12,13.05,13.35,13.24
