Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1988-06-02,7.2727268392e-05,1.0209938512e-08,1.0209938512e-08,1.0209938512e-08,1.0209938512e-08,1.0209938512e-08
1988-06-08,7.9999999567e-05,8.9847463779e-09,8.9847463779e-09,8.9847463779e-09,8.9847463779e-09,8.9847463779e-09
1988-06-09,0.00460836372,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09
1988-06-10,0.00051018182744,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09
1988-06-17,1.6727999124e-05,9.3931441618e-09,9.3935518969e-09,9.3931441618e-09,9.3935518969e-09,9.3935518969e-09
1988-06-20,8.3636365154e-05,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09
1988-06-22,4.3636362661e-05,9.8015413372e-09,9.8015413372e-09,9.8015413372e-09,9.8015413372e-09,9.8015413372e-09
1988-06-24,0.00081127274199,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09
1988-06-28,8.3636365154e-06,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09,9.3931441618e-09
1988-07-12,2.1454544501e-05,1.2378170968e-08,1.2378170968e-08,1.2378170968e-08,1.2378170968e-08,1.2378170968e-08
1988-07-13,0.0001072727225,1.2378170968e-08,1.2378170968e-08,1.2378170968e-08,1.2378170968e-08,1.2378170968e-08
1988-07-15,0.00010545454242,1.216837165e-08,1.216837165e-08,1.216837165e-08,1.216837165e-08,1.216837165e-08
1988-07-18,0.00010545454242,1.216837165e-08,1.216837165e-08,1.216837165e-08,1.216837165e-08,1.216837165e-08
1988-07-22,7.8545457667e-05,1.1329174382e-08,1.1329174382e-08,1.1329174382e-08,1.1329174382e-08,1.1329174382e-08
1988-07-25,0.0001178181865,1.1329174382e-08,1.1329174382e-08,1.1329174382e-08,1.1329174382e-08,1.1329174382e-08
1988-07-26,4.5454542745e-05,1.0489975237e-08,1.0489975237e-08,1.0489975237e-08,1.0489975237e-08,1.0489975237e-08
1988-07-27,9.090908549e-05,1.0489975237e-08,1.0489975237e-08,1.0489975237e-08,1.0489975237e-08,1.0489975237e-08
1988-07-29,9.163636511e-05,1.057389584e-08,1.057389584e-08,1.057389584e-08,1.057389584e-08,1.057389584e-08
1988-08-08,8.7272730741e-05,1.2587971535e-08,1.2587971535e-08,1.2587971535e-08,1.2587971535e-08,1.2587971535e-08
1988-08-09,0.0034436258327,2.0979950475e-08,1.4685965958e-08,1.4685965958e-08,2.0980371895e-08,2.0804139818e-08
1988-08-10,0.0023400000507,2.3077947399e-08,2.3077947399e-08,2.3077947399e-08,2.3077947399e-08,2.3077947399e-08
1988-08-11,0.0023476188985,2.5595541706e-08,2.5175943072e-08,2.5175943072e-08,2.601514034e-08,2.5316927232e-08
1988-08-12,0.0022599860538,3.063073032e-08,2.7273936243e-08,2.7273936243e-08,3.1469927589e-08,3.032316171e-08
1988-08-17,0.00098036514629,3.1469927589e-08,3.063073032e-08,3.063073032e-08,3.1469927589e-08,3.1423353871e-08
1988-08-18,0.00084363637621,3.3567923262e-08,3.3567923262e-08,3.3567503093e-08,3.3567923262e-08,3.3567923262e-08
1988-08-19,0.0019527250723,3.1469927589e-08,3.3567923262e-08,3.1469927589e-08,3.3567923262e-08,3.265571415e-08
1988-08-22,0.00033818180778,3.2728723492e-08,3.1469927589e-08,3.1469927589e-08,3.2728723492e-08,3.2518924175e-08
1988-08-23,0.00020236364061,3.3358123945e-08,3.3567923262e-08,3.2728723492e-08,3.3567923262e-08,3.3358123945e-08
1988-08-24,0.00066981854656,3.3567923262e-08,3.3777722579e-08,3.3567923262e-08,3.3777722579e-08,3.3604427933e-08
1988-08-25,0.0072145455621,3.3567923262e-08,3.3567923262e-08,3.3567923262e-08,3.3567923262e-08,3.3567923262e-08
1988-08-26,0.00066909091906,3.3567923262e-08,3.3567923262e-08,3.3567923262e-08,3.3567923262e-08,3.3567923262e-08
1988-08-29,0.00011652362996,3.3614076811e-08,3.3614076811e-08,3.3614076811e-08,3.3614076811e-08,3.3614076811e-08
1988-08-30,0.0002254534548,3.7763912106e-08,3.5665918935e-08,3.5665918935e-08,3.7763912106e-08,3.7164306128e-08
1988-08-31,0.0005872727199,3.9861907779e-08,3.9861907779e-08,3.9861907779e-08,3.9861907779e-08,3.9861907779e-08
1988-09-01,0.0004909090779,3.7763912106e-08,3.7763912106e-08,3.7763912106e-08,3.7763912106e-08,3.7763912106e-08
1988-09-02,0.0016803665855,4.1959900951e-08,3.7763912106e-08,3.7763912106e-08,4.1959900951e-08,4.0395219614e-08
1988-09-05,0.00039821815491,4.6155894798e-08,4.4099858488e-08,4.4099858488e-08,4.6155894798e-08,4.5950287165e-08
1988-09-06,0.0058738384594,5.0351886143e-08,4.6155894798e-08,4.6155894798e-08,5.0351886143e-08,4.7068101408e-08
1988-09-08,0.0019076364084,5.1191083412e-08,5.1191083412e-08,5.1191083412e-08,5.1191083412e-08,5.1191083412e-08
1988-09-09,0.0036989020434,4.6155894798e-08,5.0351465974e-08,4.6155894798e-08,5.0351465974e-08,4.6392970077e-08
1988-09-12,0.0012436410903,4.6155894798e-08,5.0351886143e-08,4.6155894798e-08,5.0351886143e-08,4.6291424266e-08
1988-09-13,0.0034363734939,4.4057896624e-08,4.6155894798e-08,4.4057896624e-08,4.6155894798e-08,4.557726725e-08
1988-09-14,0.0020628755309,4.6155894798e-08,4.4057896624e-08,4.4057896624e-08,4.6155894798e-08,4.4912199964e-08
1988-09-15,0.0033046515551,4.5736296163e-08,4.5736296163e-08,4.4057896624e-08,4.5736296163e-08,4.5395579231e-08
1988-09-16,0.0024640000777,4.4057896624e-08,4.6155894798e-08,4.4057896624e-08,4.6155894798e-08,4.442504918e-08
1988-09-19,0.0036890183882,4.4057896624e-08,4.6113932933e-08,4.4057476455e-08,4.6155894798e-08,4.4341130454e-08
1988-09-20,0.0023543575157,4.6155894798e-08,4.4477495258e-08,4.4477495258e-08,4.6155894798e-08,4.6045540447e-08
1988-09-21,0.0010743643413,4.4057896624e-08,4.6155894798e-08,4.4057896624e-08,4.6155894798e-08,4.5915043001e-08
1988-09-22,0.0013000018379,4.1959900951e-08,4.4057896624e-08,4.1959900951e-08,4.4057896624e-08,4.2859104836e-08
1988-09-23,0.00084701892246,4.4057896624e-08,4.2001865316e-08,4.2001865316e-08,4.4057896624e-08,4.2494473293e-08
1988-09-26,0.00035618397539,4.4687299577e-08,4.6155894798e-08,4.4687299577e-08,4.6156314966e-08,4.5666638168e-08
1988-09-27,0.00051345275099,4.6155894798e-08,4.6155894798e-08,4.4897098895e-08,4.6155894798e-08,4.5574751239e-08
1988-09-28,0.00077818185633,4.4897098895e-08,4.4897098895e-08,4.4897098895e-08,4.4897098895e-08,4.4897098895e-08
1988-09-29,0.0010005461606,4.4057896624e-08,4.5316697529e-08,4.4057896624e-08,4.5316697529e-08,4.4404906085e-08
1988-09-30,0.0019109061501,4.6155894798e-08,4.4057896624e-08,4.4057896624e-08,4.6155894798e-08,4.5937281938e-08
1988-10-03,0.0025374489524,4.6155894798e-08,4.6155894798e-08,4.5316697529e-08,4.6155894798e-08,4.5749306392e-08
1988-10-04,0.00058000222986,4.8253887969e-08,4.6995092066e-08,4.6995092066e-08,4.8253887969e-08,4.7804502364e-08
1988-10-05,0.00070727416819,4.4057896624e-08,4.8253887969e-08,4.4057896624e-08,4.8253887969e-08,4.8007163812e-08
1988-10-06,0.00087090908397,5.0351886143e-08,4.8253887969e-08,4.8253887969e-08,5.0351886143e-08,5.0246983984e-08
1988-10-07,0.00056727274981,5.0351886143e-08,5.0351886143e-08,5.0351886143e-08,5.0351886143e-08,5.0351886143e-08
1988-10-11,0.00021818182685,5.0351886143e-08,5.0351886143e-08,5.0351886143e-08,5.0351886143e-08,5.0351886143e-08
1988-10-12,0.0011789083437,5.1191083412e-08,5.0351886143e-08,5.0351886143e-08,5.1191083412e-08,5.0382933621e-08
1988-10-13,0.00033454544761,4.8253887969e-08,4.8253887969e-08,4.8253887969e-08,4.8253887969e-08,4.8253887969e-08
1988-10-14,0.0036512754874,5.2449879315e-08,5.0351886143e-08,5.0351886143e-08,5.4967471121e-08,5.0761410729e-08
1988-10-17,0.00030909200582,5.0351886143e-08,5.2449879315e-08,5.0351886143e-08,5.2449879315e-08,5.0951492121e-08
1988-10-18,0.0004363636537,5.0351886143e-08,5.0351886143e-08,5.0351886143e-08,5.0351886143e-08,5.0351886143e-08
1988-10-19,0.0010087297959,4.9932287509e-08,5.1610682046e-08,4.9932287509e-08,5.1610682046e-08,5.060741884e-08
