Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-01-30,0.0,13.936365736,13.936365736,13.936365736,13.936365736,13.936365736
2007-01-31,91803469.0,16.259093359,14.386617552,14.386617552,16.373443027,15.394323998
2007-02-01,30007526.0,15.723079292,16.337708756,15.451498832,16.973778782,15.794547834
2007-02-02,12476676.0,15.751666709,15.572995353,15.508673665,15.780254126,15.715932438
2007-02-05,10123083.0,16.07327515,15.580142208,15.580142208,16.151890546,15.794547834
2007-02-06,5634460.0,16.723638884,15.937484919,15.730226146,17.059541032,16.552114383
2007-02-07,5281461.0,16.437764715,16.66646405,16.437764715,16.995219344,16.71649203
2007-02-08,6669549.0,16.437764715,16.437764715,16.223359088,16.452058423,16.387736735
2007-02-09,7211775.0,16.437764715,16.437764715,16.259093359,16.437764715,16.430617861
2007-02-12,9433186.0,16.509233257,16.359149319,16.294827631,16.795107426,16.494939549
2007-02-13,8340506.0,17.509792849,16.580701799,16.580701799,17.659876787,17.431177452
2007-02-14,10499683.0,17.045247324,17.374002618,16.444911569,17.795667018,17.045247324
2007-02-15,2578649.0,17.152450137,16.938044511,16.466352132,17.366855764,17.002366199
2007-02-16,13141494.0,17.152450137,17.152450137,17.080981595,17.281093513,17.152450137
2007-02-21,426688.0,17.152450137,17.366855764,17.152450137,17.509792849,17.231065534
2007-02-22,1513524.0,17.009513053,17.22391868,17.009513053,17.35970891,17.145303283
2007-02-23,1932639.0,16.837988552,16.673610904,16.673610904,17.152450137,16.845135406
2007-02-26,5082281.0,16.938044511,16.673610904,16.509233257,17.109569012,16.573554945
2007-02-27,2295179.0,15.937484919,16.473498986,15.65161075,16.473498986,16.051834587
2007-02-28,4807837.0,15.723079292,16.080422004,15.408617706,16.080422004,15.608729625
2007-03-01,6786777.0,16.080422004,15.365736581,15.27997433,16.080422004,15.644463896
2007-03-02,2769293.0,15.851722668,16.001806607,15.544407937,16.637876633,16.001806607
2007-03-05,4558193.0,15.294268039,15.294268039,15.015540724,15.830282106,15.229946351
2007-03-06,2552039.0,16.080422004,15.715932438,15.715932438,16.259093359,16.137596838
2007-03-07,1926564.0,16.008953462,16.001806607,15.015540724,16.080422004,15.994659753
2007-03-08,847416.0,15.858869522,16.008953462,15.087009266,16.116156275,15.980366044
2007-03-09,2780866.0,15.115596683,15.723079292,15.115596683,15.858869522,15.65161075
2007-03-12,3288569.0,15.115596683,15.229946351,14.865456785,15.430058269,15.036981287
2007-03-13,3280933.0,14.257974176,15.151330954,13.950659445,15.151330954,14.458086095
2007-03-14,3214319.0,14.04356855,14.007834278,13.579023025,14.408058115,14.107890238
2007-03-15,840011.0,13.829162923,14.293708447,13.614757296,14.293708447,13.864897194
2007-03-16,6639729.0,13.1144775,13.650491567,13.007274687,13.721960109,13.200239751
2007-03-19,4284157.0,13.579023025,13.221680314,12.664225684,13.579023025,13.007274687
2007-03-20,4399234.0,13.43608594,13.800575506,13.257414585,13.800575506,13.543288754
2007-03-21,4675167.0,13.936365736,13.514701337,12.721400518,14.293708447,13.5361419
2007-03-22,4495289.0,13.650491567,13.757694381,13.507554483,13.757694381,13.600463588
2007-03-23,6223068.0,13.507554483,13.750547526,13.478967066,13.950659445,13.736253818
2007-03-26,3076278.0,13.579023025,13.936365736,13.293148856,13.936365736,13.493260774
2007-03-27,685936.0,13.264561439,13.579023025,13.200239751,13.579023025,13.286002002
2007-03-28,1208606.0,13.293148856,13.714813255,13.043008958,13.714813255,13.286002002
2007-03-29,9097183.0,13.721960109,13.579023025,13.443232795,13.721960109,13.579023025
2007-03-30,3167493.0,13.936365736,13.922072028,13.579023025,13.936365736,13.800575506
2007-04-02,1444006.0,13.471820212,13.864897194,13.400351669,13.936365736,13.650491567
2007-04-03,2282308.0,13.614757296,13.793428652,13.407498524,13.793428652,13.493260774
2007-04-04,3657810.0,14.579582616,13.579023025,13.457526503,14.579582616,13.771988089
2007-04-05,437602.0,14.793988243,14.786841389,14.579582616,15.079862412,14.751107118
2007-04-09,1235293.0,14.50096722,14.793988243,14.436645532,15.079862412,14.836869368
2007-04-10,2257629.0,14.579582616,14.651051159,13.936365736,14.651051159,14.100743383
2007-04-11,1115370.0,14.079302821,14.508114074,14.022127987,14.522407783,14.286561593
2007-04-12,1914518.0,13.936365736,14.014981133,13.757694381,14.150771363,13.979246862
2007-04-13,388374.0,13.936365736,14.04356855,13.929218882,14.293708447,13.950659445
2007-04-16,1505704.0,13.721960109,14.007834278,13.650491567,14.136477654,13.779134943
2007-04-17,1131643.0,13.793428652,13.922072028,13.67193213,14.36517699,13.893484611
2007-04-18,3955140.0,13.936365736,13.743400672,13.650491567,13.936365736,13.80772236
2007-04-19,1643202.0,13.571876171,13.793428652,13.221680314,14.036421695,13.67193213
2007-04-20,5015232.0,13.507554483,13.721960109,13.228827168,13.786281797,13.464673357
2007-04-23,1235306.0,13.357470544,13.514701337,13.336029981,13.686225838,13.414645378
2007-04-24,562971.0,13.400351669,13.507554483,13.150211772,13.579023025,13.364617398
2007-04-25,1967772.0,13.721960109,13.43608594,13.364617398,13.757694381,13.564729317
2007-04-26,6208393.0,13.721960109,13.750547526,13.571876171,14.079302821,13.67193213
