Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2014-10-06,73278921.0,14.990156399,15.525519127,14.633247913,16.596244585,15.489828279
2014-10-07,27124199.0,14.990156399,15.025847247,14.70462961,15.382755733,14.918774701
2014-10-08,14214101.0,14.811702156,15.275683187,14.276339427,16.060881856,15.097228944
2014-10-09,18080854.0,14.526175367,15.097228944,14.133576033,15.525519127,14.490484519
2014-10-10,33278564.0,13.098541424,14.276339427,12.884396333,14.276339427,13.562522456
2014-10-13,22867655.0,13.134232273,13.419759062,12.491796999,13.740976699,13.312686516
2014-10-14,33467520.0,13.027159727,12.884396333,12.848705484,13.776667547,13.348377364
2014-10-15,6017471.0,12.70594209,12.848705484,12.491796999,13.098541424,12.741632939
2014-10-16,8927530.0,12.848705484,12.491796999,12.170579362,13.134232273,12.45610615
2014-10-17,4354874.0,13.740976699,12.884396333,12.813014636,13.740976699,13.241304819
2014-10-20,6247008.0,13.027159727,13.276995667,12.848705484,13.598213304,13.098541424
2014-10-21,14180872.0,12.20627021,12.777323787,12.027815967,12.848705484,12.349033605
2014-10-22,8330633.0,11.95643427,12.241961059,11.385380693,12.598869544,11.992125119
2014-10-23,13006154.0,11.421071542,11.849361725,11.099853905,11.849361725,11.45676239
2014-10-24,10837003.0,12.670251242,11.20692645,10.95709051,12.670251242,11.849361725
2014-10-27,4019048.0,12.741632939,11.135544753,11.099853905,12.848705484,11.885052573
2014-10-28,6909562.0,13.883740093,12.95577803,12.70594209,13.883740093,13.241304819
2014-10-29,8114154.0,14.062194336,13.740976699,13.384068213,14.633247913,14.169266882
2014-10-30,4771699.0,13.740976699,14.419102822,13.491140759,14.419102822,13.776667547
2014-10-31,4021665.0,14.811702156,13.740976699,13.419759062,14.811702156,14.312030276
2014-11-03,2874969.0,14.026503487,14.811702156,13.848049244,14.811702156,13.990812639
2014-11-04,4655817.0,14.097885184,13.883740093,13.740976699,14.20495773,13.95512179
2014-11-05,11058860.0,14.097885184,13.919430942,13.669595002,14.526175367,14.062194336
2014-11-06,10998138.0,13.419759062,13.848049244,13.169923122,14.383411973,13.669595002
2014-11-07,5601585.0,13.562522456,13.312686516,12.777323787,13.562522456,13.062850576
2014-11-10,4591489.0,13.812358396,13.562522456,13.419759062,13.883740093,13.633904153
2014-11-11,1757967.0,13.562522456,13.598213304,13.45544991,13.883740093,13.526831607
2014-11-12,1893289.0,13.740976699,13.491140759,13.45544991,13.848049244,13.669595002
2014-11-13,3331806.0,13.419759062,13.598213304,13.419759062,13.883740093,13.598213304
2014-11-14,4915893.0,13.20561397,13.276995667,12.884396333,13.491140759,13.098541424
2014-11-17,1816918.0,12.813014636,13.241304819,12.777323787,13.276995667,12.920087182
2014-11-18,2312796.0,12.848705484,12.813014636,12.563178696,12.920087182,12.777323787
2014-11-19,5636987.0,13.027159727,12.920087182,12.741632939,13.312686516,12.920087182
2014-11-21,10139327.0,13.45544991,13.20561397,12.777323787,13.740976699,13.134232273
2014-11-24,5929379.0,12.70594209,13.598213304,12.70594209,13.740976699,13.098541424
2014-11-25,9062484.0,12.313342756,12.741632939,12.313342756,13.027159727,12.563178696
2014-11-26,10489629.0,11.885052573,12.420415302,11.70659833,12.563178696,12.170579362
2014-11-27,5174812.0,12.170579362,11.95643427,11.95643427,12.420415302,12.241961059
2014-11-28,2507802.0,12.384724453,12.099197665,12.063506816,12.491796999,12.349033605
2014-12-01,2598520.0,11.777980027,12.241961059,11.635216633,12.277651907,11.885052573
2014-12-02,3859100.0,11.278308147,11.777980027,10.992781359,11.777980027,11.278308147
2014-12-03,10597529.0,10.992781359,11.349689845,10.742945419,11.349689845,10.95709051
2014-12-04,4163916.0,10.564491176,11.064163056,10.564491176,11.064163056,10.742945419
2014-12-05,4597336.0,10.386036933,10.528800327,10.171891842,10.778636267,10.386036933
2014-12-08,7426724.0,9.6365291137,10.528800327,9.4937657194,10.528800327,9.8149833565
2014-12-09,4047363.0,9.6365291137,9.3866931737,9.3153114766,10.136200993,9.6365291137
2014-12-10,10786800.0,9.8149833565,9.6365291137,9.4937657194,9.9577467508,9.779292508
2014-12-11,2136162.0,10.136200993,9.8149833565,9.4937657194,10.136200993,9.8863650537
2014-12-12,5910886.0,10.171891842,9.8506742051,9.8149833565,10.243273539,9.9934375994
2014-12-15,3435084.0,9.8863650537,10.171891842,9.7436016594,10.171891842,9.8863650537
2014-12-16,5309368.0,10.136200993,9.7079108108,9.5651474166,10.171891842,9.8506742051
2014-12-17,8003837.0,10.171891842,10.20758269,9.8506742051,10.278964388,10.100510145
2014-12-18,2232432.0,10.171891842,10.100510145,9.7079108108,10.243273539,9.9934375994
2014-12-19,16763083.0,9.8149833565,9.9577467508,9.5651474166,10.100510145,9.779292508
2014-12-22,1210768.0,10.136200993,9.779292508,9.779292508,10.136200993,10.029128448
2014-12-23,1241300.0,10.136200993,9.9934375994,9.8863650537,10.171891842,10.029128448
2014-12-26,851491.0,9.9934375994,10.029128448,9.8506742051,10.100510145,9.9934375994
2014-12-29,2568135.0,10.171891842,9.9220559023,9.7436016594,10.243273539,10.100510145
2014-12-30,3032746.0,10.20758269,10.243273539,9.9220559023,10.278964388,10.136200993
2015-01-02,7712750.0,10.45741863,10.029128448,9.8149833565,10.635872873,10.386036933
2015-01-05,3278782.0,9.6365291137,10.278964388,9.4937657194,10.528800327,9.9934375994
2015-01-06,3105820.0,9.3510023251,9.6365291137,9.1368572337,9.7079108108,9.3866931737
2015-01-07,2917742.0,9.4580748709,9.3866931737,9.2439297794,9.8149833565,9.5651474166
2015-01-08,2527697.0,9.4580748709,9.4223840223,9.1725480823,9.529456568,9.3866931737
2015-01-09,2021318.0,9.2439297794,9.529456568,9.1011663852,9.6365291137,9.3510023251
2015-01-12,1187275.0,8.8513304452,9.4580748709,8.8513304452,9.4580748709,8.9227121423
2015-01-13,2808777.0,8.4944219595,8.8870212937,8.3159677166,8.9227121423,8.530112808
2015-01-14,4435073.0,8.1375134738,8.4230402624,7.9233683824,8.5658036566,8.1375134738
2015-01-15,3277038.0,8.3873494138,8.1732043224,8.1018226252,8.4944219595,8.2802768681
2015-01-16,1324617.0,8.530112808,8.4587311109,8.2445860195,8.7085670509,8.4944219595
2015-01-19,1989965.0,7.8519866852,8.5658036566,7.8519866852,8.5658036566,7.9590592309
2015-01-20,3994354.0,7.9947500795,8.2445860195,7.8519866852,8.2445860195,8.1018226252
2015-01-21,4623780.0,8.2802768681,8.0661317766,7.8876775338,8.2802768681,8.1375134738
2015-01-22,8614663.0,8.2445860195,8.3873494138,8.0304409281,8.530112808,8.3159677166
2015-01-23,2474074.0,8.3159677166,8.2802768681,7.9590592309,8.4230402624,8.1018226252
2015-01-26,1761946.0,8.2802768681,8.3516585652,7.8162958367,8.3516585652,8.1018226252
2015-01-27,1534108.0,8.1375134738,8.1375134738,7.8519866852,8.3873494138,8.0661317766
2015-01-28,2118503.0,8.1375134738,8.1375134738,7.8519866852,8.1732043224,8.1018226252
2015-01-29,1069094.0,7.9590592309,8.1732043224,7.8876775338,8.2088951709,7.9590592309
2015-01-30,2798995.0,7.8162958367,7.9233683824,7.6735324424,7.9233683824,7.7806049881
2015-02-02,2349473.0,7.6378415938,7.9590592309,7.3523148053,7.9590592309,7.709223291
2015-02-03,1415647.0,7.7449141395,7.6378415938,7.5664598967,7.7806049881,7.709223291
2015-02-04,958609.0,7.5307690481,7.709223291,7.5307690481,7.7806049881,7.6021507453
2015-02-05,17795513.0,9.6365291137,7.5307690481,7.5307690481,9.6365291137,8.8870212937
2015-02-06,9466633.0,9.8506742051,9.7079108108,9.1725480823,10.243273539,9.8506742051
2015-02-09,4622016.0,9.779292508,9.9577467508,9.3866931737,9.9577467508,9.7436016594
