Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2010-07-12,0.0,110.31923655,110.31923655,110.31923655,110.31923655,110.31923655
2010-07-13,5357877.0,110.31923655,110.31923655,104.06781315,110.31923655,108.62767492
2010-07-14,1320505.0,110.17214424,108.48058261,107.74512103,110.17214424,109.21604419
2010-07-15,571881.0,108.11285182,108.18639798,108.11285182,108.92185955,108.70122108
2010-07-16,378179.0,102.96462078,108.70122108,102.96462078,108.70122108,104.95036704
2010-07-19,1160359.0,102.96462078,101.12596684,100.90532837,102.96462078,102.30270536
2010-07-20,228597.0,103.03816694,102.81752847,102.81752847,103.6265362,103.1117131
2010-07-21,78553.0,102.96462078,103.03816694,102.96462078,103.55299004,103.18525925
2010-07-22,122110.0,104.50909009,103.6265362,103.6265362,105.09745935,104.43554393
2010-07-23,54792.0,106.71547482,102.96462078,102.96462078,106.71547482,106.0535594
2010-07-26,371311.0,106.49483635,106.0535594,103.99426699,106.56838251,106.27419788
2010-07-27,4290.0,104.43554393,106.64192867,104.43554393,106.64192867,105.17100551
2010-07-28,71028.0,104.80327472,104.43554393,104.43554393,104.80327472,104.50909009
2010-07-29,70192.0,105.5387363,104.87682088,104.80327472,105.5387363,105.31809783
2010-07-30,7048.0,104.72972857,103.03816694,102.96462078,104.72972857,103.70008236
2010-08-02,78453.0,104.80327472,105.17100551,104.80327472,105.17100551,104.87682088
2010-08-03,25740.0,105.17100551,105.17100551,105.17100551,105.17100551,105.17100551
2010-08-04,138110.0,107.67157487,106.64192867,104.80327472,107.67157487,106.9361133
2010-08-05,281403.0,106.71547482,107.59802872,106.0535594,108.8483134,107.81866719
2010-08-06,18708.0,104.80327472,109.58377497,104.80327472,109.58377497,105.83292093
2010-08-09,27079.0,104.87682088,104.87682088,104.80327472,104.87682088,104.80327472
2010-08-10,71962.0,104.28845162,104.80327472,98.919582112,104.80327472,101.78788226
2010-08-13,37800.0,99.2873129,99.2873129,99.2873129,99.2873129,99.2873129
2010-08-16,24584.0,100.02277447,100.02277447,100.02277447,102.74398231,100.46405142
2010-08-17,14856.0,99.507951373,98.919582112,98.919582112,99.655043689,99.360859058
2010-08-18,30202.0,102.89107462,99.2873129,99.066674427,102.89107462,100.97887452
2010-08-20,463396.0,110.61342118,102.89107462,102.81752847,110.61342118,107.15675177
2010-08-23,20360.0,106.64192867,107.37739024,106.64192867,107.37739024,106.9361133
2010-08-24,333125.0,110.68696734,108.11285182,108.11285182,110.68696734,110.39278271
2010-08-25,133405.0,110.46632887,110.31923655,107.81866719,110.46632887,110.24569039
2010-08-26,359952.0,112.23143665,110.31923655,110.31923655,112.23143665,111.20179044
2010-08-27,13697.0,111.71661355,112.15789049,111.56952123,112.15789049,111.93725202
2010-08-31,658936.0,118.4093139,110.24569039,110.24569039,118.4093139,114.5849137
2010-09-01,122179.0,109.73086729,117.60030616,109.73086729,117.67385232,113.77590596
2010-09-02,23079.0,113.77590596,112.15789049,112.15789049,113.77590596,113.1875367
2010-09-03,4475.0,109.21604419,110.68696734,109.21604419,110.68696734,109.73086729
2010-09-13,11658.0,108.77476724,106.64192867,106.64192867,108.77476724,107.15675177
