Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1993-08-25,13.454581818,0.0086030323906,0.0086030323906,0.0086030323906,0.0086030323906,0.0086030323906
1994-02-18,218.17818182,0.13950593117,0.13950593117,0.13950593117,0.13950593117,0.13950593117
1994-03-11,290.90909091,0.18601100842,0.18601100842,0.18601100842,0.18601100842,0.18601100842
1994-03-15,236.36363636,0.15113394434,0.15113394434,0.15113394434,0.15113394434,0.15113394434
1994-04-07,1563.6363636,0.23251376052,0.25576513657,0.23251376052,0.25576513657,0.24995229256
1994-05-26,1090.9090909,0.34877064078,0.34877064078,0.34877064078,0.34877064078,0.34877064078
1994-06-03,836.36363636,0.53478164919,0.53478164919,0.53478164919,0.53478164919,0.53478164919
1994-08-19,800.0,0.51153027314,0.51153027314,0.51153027314,0.51153027314,0.51153027314
1994-09-08,2200.0,0.70335412557,0.70335412557,0.70335412557,0.70335412557,0.70335412557
1994-10-21,10010.07,0.91436675737,0.91436675737,0.91436675737,0.91436675737,0.91436675737
1994-10-26,31710.0,0.96551339056,0.96551339056,0.96551339056,0.96551339056,0.96551339056
1994-12-21,4050.0,0.86320733593,0.86320733593,0.86320733593,0.86320733593,0.86320733593
1995-07-11,2280.0,0.72893063923,0.72893063923,0.72893063923,0.72893063923,0.72893063923
1996-06-10,3480.0,0.60759126733,0.60759126733,0.60759126733,0.60759126733,0.60759126733
1996-07-01,40500.0,0.52378557528,0.52378557528,0.52378557528,0.52378557528,0.52378557528
1996-07-05,116920.0,0.48886653693,0.52378557528,0.48886653693,0.55870461363,0.51680176761
1996-07-08,54760.0,0.52378557528,0.52378557528,0.50981795994,0.52378557528,0.51680176761
1996-08-13,3750.0,0.53685410745,0.53685410745,0.53685410745,0.53685410745,0.53685410745
1996-09-27,750.0,0.53685410745,0.53685410745,0.53685410745,0.53685410745,0.53685410745
1996-10-07,3750.0,0.53685410745,0.53685410745,0.53685410745,0.53685410745,0.53685410745
1997-02-20,3850.0,0.55511445124,0.59163513882,0.55511445124,0.59163513882,0.56241858875
1997-04-24,8100.0,0.59163513882,0.59163513882,0.59163513882,0.59163513882,0.59163513882
1997-05-05,1620.0,0.63834437698,0.63834437698,0.63834437698,0.63834437698,0.63834437698
1997-05-15,63180.0,0.61470199265,0.61470199265,0.61470199265,0.61470199265,0.61470199265
1997-05-19,78000.0,0.61470199265,0.61470199265,0.61470199265,0.61470199265,0.61470199265
1997-05-20,228000.0,0.59894040309,0.59894040309,0.59894040309,0.59894040309,0.59894040309
1997-06-05,760.0,0.59894040309,0.59894040309,0.59894040309,0.59894040309,0.59894040309
1997-06-09,300000.0,0.59105960832,0.59105960832,0.59105960832,0.59105960832,0.59105960832
1997-06-10,297750.0,0.59105960832,0.59105960832,0.59105960832,0.59105960832,0.59105960832
1997-06-11,300000.0,0.59105960832,0.59105960832,0.59105960832,0.59105960832,0.59105960832
1997-06-12,300000.0,0.59105960832,0.59105960832,0.59105960832,0.59105960832,0.59105960832
1997-06-13,913500.0,0.59105960832,0.59105960832,0.59105960832,0.59105960832,0.59105960832
1997-06-17,53900.0,0.60682119787,0.60682119787,0.60682119787,0.60682119787,0.60682119787
1997-06-24,2099120.0,0.59894040309,0.59894040309,0.59894040309,0.59894040309,0.59894040309
1997-06-26,14440.0,0.59894040309,0.59894040309,0.59894040309,0.59894040309,0.59894040309
1997-07-16,10010.0,0.71715232476,0.71715232476,0.71715232476,0.71715232476,0.71715232476
1997-08-20,7200.0,0.70927152998,0.70927152998,0.70927152998,0.70927152998,0.70927152998
1998-03-24,1920.0,0.25218543288,0.25218543288,0.25218543288,0.25218543288,0.25218543288
2000-04-10,1960.0,3.9034935973,3.9034935973,3.9034935973,3.9034935973,3.9034935973
2000-05-15,1980.0,3.9433251646,3.9433251646,3.9433251646,3.9433251646,3.9433251646
2000-07-11,9680.0,4.8196196456,4.8196196456,4.8196196456,4.8196196456,4.8196196456
2000-07-13,21780.0,4.8196196456,4.8196196456,4.8196196456,4.8196196456,4.8196196456
2000-12-18,5000.0,5.1002255222,5.1002255222,5.1002255222,5.1002255222,5.1002255222
2001-09-12,2390.0,5.0942129675,5.0942129675,5.0942129675,5.0942129675,5.0942129675
2001-12-13,98000.0,5.2221011592,5.2221011592,5.2221011592,5.2221011592,5.2221011592
2002-01-04,33320.0,5.0728982689,5.0728982689,5.0728982689,5.0728982689,5.0728982689
2002-05-09,11900.0,5.3002319399,5.3002319399,5.3002319399,5.3002319399,5.3002319399
2002-05-31,27500.0,5.5674705251,5.5674705251,5.5674705251,5.5674705251,5.5674705251
2003-03-07,27720.0,5.3148941335,5.3148941335,5.3148941335,5.3148941335,5.3148941335
2003-04-15,76160.0,5.2943073993,5.2943073993,5.2943073993,5.2943073993,5.2943073993
2003-04-28,23000.0,5.4361192046,5.4361192046,5.4361192046,5.4361192046,5.4361192046
2003-05-16,24200.0,5.1997661957,5.1997661957,5.1997661957,5.1997661957,5.1997661957
2003-10-10,16800.0,4.9634131868,4.9634131868,4.9634131868,4.9634131868,4.9634131868
2003-10-14,4200.0,4.9634131868,4.9634131868,4.9634131868,4.9634131868,4.9634131868
2003-10-17,6300.0,4.9634131868,4.9634131868,4.9634131868,4.9634131868,4.9634131868
2004-01-06,1990.0,4.78949168,4.78949168,4.78949168,4.78949168,4.78949168
2004-02-11,4980.0,3.8508475819,4.0674577584,3.8508475819,4.0674577584,3.9952543662
2004-02-13,1610.0,3.8749153793,3.8749153793,3.8749153793,3.8749153793,3.8749153793
2004-03-01,114000.0,4.5728815035,4.5728815035,4.5728815035,4.5728815035,4.5728815035
2004-06-09,22100.0,4.3279122749,4.3279122749,4.3279122749,4.3279122749,4.3279122749
2004-07-30,1700.0,4.3279122749,4.3279122749,4.3279122749,4.3279122749,4.3279122749
2004-08-04,3500.0,4.4552038124,4.4552038124,4.4552038124,4.4552038124,4.4552038124
2004-08-23,57400.0,5.2189530374,5.2189530374,5.2189530374,5.2189530374,5.2189530374
