Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2013-06-07,6560.0,5.3362191662,5.3362191662,5.3362191662,5.3362191662,5.3362191662
2013-10-09,819.0,5.4203454304,5.4203454304,5.4203454304,5.4203454304,5.4203454304
2014-08-11,787.0,5.5008727434,5.5008727434,5.5008727434,5.5008727434,5.5008727434
2014-12-02,788.0,5.5078624165,5.5078624165,5.5078624165,5.5078624165,5.5078624165
2015-05-21,1568.0,5.6461663778,5.6461663778,5.6461663778,5.6461663778,5.6461663778
2015-05-25,784.0,5.6461663778,5.6461663778,5.6461663778,5.6461663778,5.6461663778
2015-06-18,784.0,5.6461663778,5.6461663778,5.6461663778,5.6461663778,5.6461663778
2015-06-19,784.0,5.6461663778,5.6461663778,5.6461663778,5.6461663778,5.6461663778
2015-09-21,2810.0,2.6066919957,2.5919232026,2.5919232026,2.6066919957,2.5919232026
2015-10-13,798.0,2.9463742388,2.9463742388,2.9463742388,2.9463742388,2.9463742388
2015-11-11,731.0,2.6953047548,2.7026891514,2.6953047548,2.7026891514,2.7026891514
2015-11-17,354.0,2.6140763923,2.6140763923,2.6140763923,2.6140763923,2.6140763923
2015-11-23,794.0,2.9316054456,2.9316054456,2.9316054456,2.9316054456,2.9316054456
2015-11-26,400.0,2.9537586354,2.9537586354,2.9537586354,2.9537586354,2.9537586354
2015-12-10,800.0,2.9537586354,2.9537586354,2.9537586354,2.9537586354,2.9537586354
2015-12-16,400.0,2.9537586354,2.9537586354,2.9537586354,2.9537586354,2.9537586354
2016-01-04,1600.0,3.1207040014,3.1207040014,3.1207040014,3.1207040014,3.1207040014
2016-01-20,400.0,3.1207040014,3.1207040014,3.1207040014,3.1207040014,3.1207040014
2016-03-03,318.0,2.4809596811,2.4809596811,2.4809596811,2.4809596811,2.4809596811
2016-05-16,2755.0,4.3082520199,4.3082520199,4.3082520199,4.3082520199,4.3082520199
2016-07-26,800.0,6.5976210584,6.5976210584,6.5976210584,6.5976210584,6.5976210584
2016-07-29,1806.0,4.9647098464,4.9647098464,4.9647098464,4.9647098464,4.9647098464
2016-08-01,602.0,4.9647098464,4.9647098464,4.9647098464,4.9647098464,4.9647098464
2017-02-16,1211.0,10.473131363,10.473131363,10.473131363,10.473131363,10.473131363
2017-03-07,71109.0,11.156349677,10.550966361,10.542318028,11.156349677,10.602856359
