Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2013-10-28,0.0,14.527443536,14.527443536,14.527443536,14.527443536,14.527443536
2013-10-29,73033521.0,14.261798854,14.668567273,14.162182099,14.734978444,14.45273097
2013-10-30,19369335.0,14.527443536,14.261798854,14.187086288,14.685170066,14.386319799
2013-10-31,21978425.0,14.90100637,14.36141561,14.36141561,14.90100637,14.685170066
2013-11-01,14740143.0,15.150048259,14.90100637,14.90100637,15.307774789,15.208158033
2013-11-04,30339538.0,16.021694872,15.357583167,15.291171996,16.096407439,15.59832366
2013-11-05,26189430.0,16.146215817,15.971886494,15.830762756,16.353750724,16.038297665
2013-11-06,5272895.0,16.063201853,16.063201853,15.855666945,16.104708835,15.996790683
2013-11-07,8786814.0,16.428463291,16.187722798,15.772652982,16.594491217,16.312243743
2013-11-08,7284008.0,16.436764687,16.436764687,16.204325591,16.51977865,16.395257706
2013-11-11,3573193.0,16.353750724,16.428463291,16.262435365,16.436764687,16.345449328
2013-11-12,4519495.0,16.146215817,16.511477254,15.971886494,16.511477254,16.279038157
2013-11-13,6370830.0,16.187722798,16.096407439,15.789255775,16.494874461,16.303942346
2013-11-14,6346327.0,16.51977865,16.353750724,16.104708835,16.586189821,16.469970272
2013-11-18,4999221.0,16.602792613,16.602792613,16.395257706,16.694107973,16.552984236
2013-11-19,3201646.0,16.602792613,16.411860498,16.270736761,16.694107973,16.511477254
2013-11-21,4789315.0,16.594491217,16.370353517,16.237531176,16.702409369,16.528080047
2013-11-22,5663486.0,16.602792613,16.594491217,16.29564095,17.109177788,16.602792613
2013-11-25,7278708.0,16.810327521,16.943149862,16.420161895,17.009561032,16.735614954
2013-11-26,10667076.0,17.225397336,16.810327521,16.51977865,17.308411299,17.092574995
2013-11-27,8132935.0,17.432932244,17.37482247,16.735614954,17.748385304,17.391425263
2013-11-28,5853719.0,17.764988096,17.432932244,17.026163825,17.798193682,17.648768548
2013-11-29,10797353.0,17.764988096,17.723481115,17.59896017,18.014029986,17.764988096
2013-12-02,11732078.0,17.723481115,17.524247603,17.325014092,18.163455119,17.789892285
2013-12-03,11711944.0,17.640467152,17.582357378,17.358219677,18.014029986,17.773289493
2013-12-04,5501094.0,17.764988096,18.005728589,17.449535037,18.014029986,17.723481115
2013-12-05,5918745.0,17.798193682,17.964221608,17.59896017,17.964221608,17.798193682
2013-12-06,9146815.0,17.59896017,17.69027553,17.424630848,17.764988096,17.673672737
2013-12-09,6483920.0,17.432932244,17.449535037,17.432932244,17.872906248,17.632165755
2013-12-10,15464847.0,17.574055981,17.399726659,17.283507111,17.7566867,17.540850396
2013-12-11,6103816.0,17.59896017,17.632165755,17.515946207,17.681974133,17.615562963
2013-12-12,10202632.0,17.972523004,17.673672737,17.607261567,18.254770478,17.864604852
2013-12-13,9032735.0,18.180057912,18.014029986,17.814796474,18.412497008,18.13855093
2013-12-16,6301568.0,18.337784441,18.097043949,17.931016022,18.462305386,18.304578856
