Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2000-03-10,167299.99542,7.7415674566,7.7415674566,7.7415674566,7.7415674566,7.7415674566
2000-03-15,16799.999237,7.7739588119,7.7739588119,7.7739588119,7.7739588119,7.7739588119
2000-03-16,17000.0,7.8665062979,7.8665062979,7.8665062979,7.8665062979,7.8665062979
2000-03-21,34400.001526,7.9590537838,7.9590537838,7.9590537838,7.9590537838,7.9590537838
2000-03-23,17489.999771,8.0932466676,8.0932466676,8.0932466676,8.0932466676,8.0932466676
2000-03-24,17489.999771,8.0932466676,8.0932466676,8.0932466676,8.0932466676,8.0932466676
2000-03-27,52439.998627,8.0886192051,8.0886192051,8.0886192051,8.0886192051,8.0886192051
2000-03-29,31370.0,6.8808792794,7.6351384656,6.8808792794,7.6351384656,7.2556953619
2000-03-30,231020.0,6.4782993041,7.172402801,6.0155636396,7.4037706333,6.9410349687
2000-03-31,307321.0,6.7096671364,6.8022141811,6.7096671364,7.6351384656,7.1816577261
2000-04-03,11750.0,6.7096671364,6.9410349687,6.7096671364,6.9410349687,6.7929596973
2000-04-04,227180.0,6.4273985399,6.7096671364,6.4273985399,7.1631478759,6.5292000684
2000-04-05,22940.0,6.4782993041,6.5245730471,6.4782993041,6.7096671364,6.6356295007
2000-04-06,380739.0,6.4736718416,6.0155636396,6.0155636396,6.4782993041,6.362615388
2000-04-07,28000.0,6.4782993041,6.4782993041,6.4782993041,6.4782993041,6.4782993041
2000-04-10,13699.999809,6.3394785165,6.3394785165,6.3394785165,6.3394785165,6.3394785165
2000-04-11,49240.0,6.1914032451,6.0155636396,6.0155636396,6.1914032451,6.1590118898
2000-04-12,6599.9999046,6.1081106842,6.1081106842,6.1081106842,6.1081106842,6.1081106842
2000-04-17,6400.0000954,5.9230165949,5.9230165949,5.9230165949,5.9230165949,5.9230165949
2000-04-18,25000.0,5.7841958073,5.7841958073,5.7841958073,5.7841958073,5.7841958073
2000-04-20,24550.0,6.0155636396,5.3214601427,5.3214601427,6.0155636396,5.6823938375
2000-04-25,35100.0,6.0155636396,6.0155636396,6.0155636396,6.0155636396,6.0155636396
2000-04-26,1298.9999771,6.010936177,6.010936177,6.010936177,6.010936177,6.010936177
2000-04-28,24023.0,6.3811247969,5.7841958073,5.7841958073,6.3811247969,6.1775212987
2000-05-03,2700.0,6.4782993041,6.0155636396,6.0155636396,6.4782993041,6.2469314718
2000-05-04,50781.0,5.8721153894,5.7841958073,5.552827975,5.9183891323,5.8767428519
2000-05-11,76800.001144,5.9230165949,5.9230165949,5.9230165949,5.9230165949,5.9230165949
2000-05-12,125896.0,6.0155636396,5.3168326801,5.3168326801,6.0155636396,5.7101581715
2000-05-15,13000.0,6.0155636396,6.0155636396,6.0155636396,6.0155636396,6.0155636396
2000-05-16,1300.0,6.0155636396,6.0155636396,6.0155636396,6.0155636396,6.0155636396
2000-05-17,6230.0000191,5.7379220643,6.0155636396,5.3214601427,6.0155636396,5.7656863983
2000-05-18,29229.0,5.5019272107,5.552827975,5.3214601427,5.552827975,5.4093797248
2000-05-19,24080.0,5.506554232,4.9975452657,4.9975452657,5.506554232,5.3075781963
2000-05-22,14777.0,5.3122052176,5.0808373853,5.0808373853,5.3122052176,5.2613044533
2000-05-23,53550.0,4.8587244781,4.8587244781,4.8587244781,4.8587244781,4.8587244781
2000-05-24,177058.0,4.6273566458,4.6227291833,4.1692484438,4.6273566458,4.525554676
2000-05-25,38900.0,4.8124507351,5.0900923104,4.8124507351,5.0900923104,4.8633519407
2000-05-26,62340.00206,4.8078237139,4.8078237139,4.8078237139,4.8078237139,4.8078237139
2000-05-29,34030.0,4.8540970155,5.0900923104,4.7661774334,5.0900923104,4.9188801675
2000-05-31,909580.0,4.849469553,4.6227291833,4.6227291833,4.849469553,4.6273566458
2000-06-01,67600.0,5.0900923104,4.8587244781,4.8587244781,5.0900923104,5.0438185674
2000-06-02,113290.0,5.3168326801,5.228913098,5.0900923104,5.3214601427,5.2427950444
2000-06-06,11000.0,5.0900923104,5.0900923104,5.0900923104,5.0900923104,5.0900923104
2000-06-07,1100.0,5.0900923104,5.0900923104,5.0900923104,5.0900923104,5.0900923104
2000-06-08,153670.0,5.0900923104,5.0900923104,5.0900923104,5.3677338857,5.1918942802
2000-06-13,100540.0,5.1826393551,5.0900923104,4.9975452657,5.1826393551,5.1132291819
2000-06-15,214628.0,5.0854648478,4.8633519407,4.8633519407,5.0900923104,4.9651534691
2000-06-16,11000.0,5.0900923104,5.0900923104,5.0900923104,5.0900923104,5.0900923104
2000-06-19,398599.0,5.1595024836,4.8587244781,4.8587244781,5.1826393551,5.1502479998
2000-06-21,91936.0,5.7841958073,5.3214601427,5.0900923104,5.7841958073,5.3168326801
2000-06-23,23990.0,5.5482005124,5.552827975,5.5482005124,5.552827975,5.552827975
2000-06-26,10790.999794,5.5482005124,5.5482005124,5.5482005124,5.5482005124,5.5482005124
2000-06-27,38360.0,5.4140071873,5.0900923104,5.0900923104,5.506554232,5.3769883695
2000-06-28,245240.0,5.4325165963,5.3214601427,5.0900923104,5.506554232,5.353851498
2000-06-30,175200.0,5.0438185674,5.228913098,4.6273566458,5.3029507338,4.7985687888
2000-07-03,57500.0,5.3214601427,5.3214601427,5.3214601427,5.3214601427,5.3214601427
