Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2013-04-26,0.0,12.351453267,12.351453267,12.351453267,12.351453267,12.351453267
2013-04-29,332832240.0,13.09140208,12.949104232,12.949104232,13.717512615,13.228008015
2013-04-30,56086019.0,13.097093994,13.09140208,12.465291546,13.375997778,12.920644662
2013-05-02,6864544.0,13.319078638,12.920644662,12.607589395,13.319078638,13.085710166
2013-05-03,23681039.0,13.575214766,13.313386724,13.165396962,13.575214766,13.330462466
2013-05-06,4245076.0,13.654901561,13.603674336,13.449992659,13.745972184,13.660593475
2013-05-07,10881132.0,13.717512615,13.660593475,13.637825819,14.144406161,13.734588357
2013-05-08,11979875.0,13.745972184,13.745972184,13.660593475,13.98503257,13.728896443
2013-05-09,11971584.0,13.717512615,13.660593475,13.262159499,13.996416398,13.740280271
2013-05-10,4047814.0,13.603674336,13.535371368,13.097093994,13.76873984,13.535371368
2013-05-13,15724758.0,13.262159499,13.387381606,12.920644662,14.002108312,13.199548445
2013-05-14,20876170.0,13.09140208,13.319078638,12.778346813,13.319078638,13.040174855
2013-05-15,15037772.0,13.39307352,13.028791027,12.920644662,13.489836057,13.262159499
2013-05-16,18281536.0,13.660593475,13.410149261,13.006023371,13.831350894,13.347538208
2013-05-17,9389964.0,13.541063282,13.677669217,13.262159499,13.763047926,13.489836057
2013-05-20,7185218.0,13.319078638,13.484144143,13.205240359,13.643517733,13.313386724
2013-05-21,4986371.0,13.626441992,13.290619069,13.14832122,13.649209647,13.478452229
2013-05-22,12712752.0,14.212709128,13.449992659,13.449992659,14.525764395,13.990724484
2013-05-23,5985337.0,14.508688653,14.047643624,14.030567882,14.508688653,14.355006977
2013-05-24,7490523.0,14.628218846,14.400542288,14.355006977,14.793284351,14.611143105
2013-05-27,2478142.0,14.571299707,14.616835019,14.292395923,14.622526932,14.514380567
2013-05-28,4224070.0,14.429001858,14.576991621,14.349315063,14.622526932,14.451769514
2013-05-29,3857824.0,14.22978487,14.355006977,13.723204529,14.628218846,14.195633386
2013-05-31,4675637.0,14.172865731,14.246860612,13.905345775,14.246860612,14.104562763
2013-06-03,5479302.0,14.463153342,14.133022333,13.98503257,14.463153342,14.252552526
2013-06-04,12438086.0,14.22978487,14.320855493,14.138714247,14.451769514,14.246860612
2013-06-05,21582935.0,14.485920998,14.224092956,14.224092956,14.855895404,14.531456309
2013-06-06,13151174.0,14.571299707,14.394850375,14.263936354,14.736365211,14.315163579
2013-06-07,5743599.0,14.47453717,14.50299674,14.326547407,14.514380567,14.366390805
2013-06-10,11025775.0,14.172865731,14.303779751,14.172865731,14.571299707,14.355006977
2013-06-11,3663164.0,14.110254677,13.785815582,13.52398754,14.110254677,13.763047926
2013-06-12,1496862.0,13.945189173,14.019184054,13.802891324,14.161481903,13.945189173
2013-06-13,5262867.0,14.144406161,13.671977303,13.671977303,14.235476784,14.155789989
2013-06-14,1432700.0,14.320855493,14.429001858,13.956573001,14.514380567,14.184249558
2013-06-17,22040596.0,14.964041769,14.309471665,14.22978487,14.964041769,14.605451191
2013-06-18,5028240.0,15.083571962,14.964041769,14.821743921,15.31124852,14.998193253
2013-06-19,11885799.0,15.083571962,15.482005939,14.6908299,15.482005939,15.083571962
2013-06-20,9677531.0,15.112031532,14.656678416,14.349315063,15.146183016,14.793284351
2013-06-21,12090136.0,14.798976265,14.9355822,14.594067363,15.083571962,14.810360093
2013-06-24,15714910.0,14.115946591,14.434693772,14.059027452,14.685137986,14.241168698
2013-06-25,8844783.0,14.070411279,14.275320182,13.449992659,14.275320182,13.76873984
2013-06-26,6148904.0,13.859810463,14.076103193,13.711820701,14.121638505,13.893961947
2013-06-27,10170396.0,14.22978487,13.854118549,13.444300745,14.22978487,13.888270033
2013-06-28,11949606.0,13.945189173,14.036259796,13.689053045,14.047643624,13.876886205
2013-07-01,9087935.0,13.916729603,13.740280271,13.55244711,14.144406161,13.76873984
2013-07-02,10215322.0,13.546755196,13.717512615,13.546755196,13.859810463,13.643517733
