Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-02-09,0.0,5.5638574845,5.5638574845,5.5638574845,5.5638574845,5.5638574845
2007-02-12,163367675.0,6.5820434041,6.5375325443,6.2927228149,6.648809694,6.4985855419
2007-02-13,52473518.0,6.8713639933,6.6766289814,6.6070807628,7.0660990053,6.8797097796
2007-02-14,28948073.0,6.9409122119,6.9965507867,6.8991832808,7.0939182927,6.9659495706
2007-02-15,30796712.0,7.1801580837,6.9965507867,6.9965507867,7.4555690292,7.2274508723
2007-02-16,24861695.0,7.8951137705,7.3415099508,7.2886533047,7.964661989,7.6363943975
2007-02-21,49946262.0,8.331876583,8.234509077,8.0926307112,8.9299912626,8.5127019513
2007-02-22,35381697.0,8.2901476519,8.6378887447,8.2901476519,8.7352562506,8.5321754525
2007-02-23,42202404.0,7.7894004783,8.3485681555,7.7337619034,8.4848826638,7.9201511292
2007-02-26,54053889.0,7.6503040412,8.0675933525,7.60857511,8.0954126399,7.7754908346
2007-02-27,26838632.0,7.2385785873,7.2330147298,6.982641143,7.5112076041,7.338728022
2007-02-28,16905358.0,7.5112076041,7.4110581693,7.3415099508,7.6030112525,7.4444413142
2007-03-01,11897101.0,7.2886533047,7.2886533047,7.0994821502,7.4972979603,7.3276003071
2007-03-02,12392868.0,7.4527871005,7.3164725921,7.3164725921,7.6363943975,7.4666967442
2007-03-05,14805401.0,7.2051954424,7.3136906634,7.2051954424,7.3442918795,7.2580520885
2007-03-06,15851678.0,7.4555690292,7.4806063879,7.4277497418,7.6224847537,7.4945160316
2007-03-07,17428728.0,7.3554195945,7.5668461789,7.3554195945,7.5946654663,7.4945160316
2007-03-08,9582604.0,7.3721111669,7.5640642502,7.3554195945,7.5946654663,7.4778244592
2007-03-09,10407154.0,7.3860208106,7.5362449627,7.2413605161,7.5668461789,7.4305316705
2007-03-12,4634794.0,7.3721111669,7.4527871005,7.2969990909,7.4555690292,7.3721111669
2007-03-13,8938606.0,7.0967002215,7.3721111669,7.0967002215,7.3721111669,7.2608340173
2007-03-14,7360413.0,7.2691798035,7.0967002215,6.8991832808,7.2691798035,7.0994821502
2007-03-15,3872989.0,7.3442918795,7.2580520885,7.0967002215,7.4166220268,7.3303822358
2007-03-16,8428781.0,7.3721111669,7.3748930957,7.3721111669,7.5418088202,7.4917341029
2007-03-19,1809709.0,7.4416593855,7.5362449627,7.4138400981,7.5362449627,7.4806063879
2007-03-20,5813125.0,7.4277497418,7.4555690292,7.2691798035,7.4555690292,7.360983452
2007-03-21,12551233.0,7.3999304544,7.4194039556,7.274743661,7.4750425304,7.3582015232
2007-03-22,8652991.0,7.2330147298,7.4388774568,7.2051954424,7.4555690292,7.3248183783
2007-03-23,4753394.0,7.2886533047,7.2441424448,7.2330147298,7.3164725921,7.274743661
2007-03-26,5515782.0,7.4305316705,7.4277497418,7.3025629484,7.4889521741,7.4054943118
2007-03-27,11909544.0,7.5251172478,7.4555690292,7.338728022,7.705942616,7.5473726777
2007-03-28,8000342.0,7.4500051717,7.5668461789,7.3721111669,7.5668461789,7.4806063879
2007-03-29,7599365.0,7.5112076041,7.5139895328,7.3999304544,7.6224847537,7.522335319
2007-03-30,2954897.0,7.4166220268,7.4972979603,7.4166220268,7.5139895328,7.4722606017
