Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2016-08-22,21713.0,2.7544359309,2.6047383259,2.6047383259,2.7943552922,2.7444560905
2016-08-23,80212.0,2.7943552922,2.8442544938,2.5947584856,2.8442544938,2.6745972082
2016-08-24,243280.0,2.6346778469,2.7943552922,2.6346778469,2.7943552922,2.7145165695
2016-08-25,94764.0,2.514919763,2.7244964099,2.4450608807,2.7244964099,2.5248996033
2016-08-26,286789.0,2.5947584856,2.6446576872,2.4949600823,2.8342746535,2.6745972082
2016-08-29,140648.0,2.6446576872,2.7444560905,2.6346778469,2.7943552922,2.6945568889
2016-08-30,382350.0,2.8941536955,2.7644157712,2.6945568889,3.0139117794,2.8442544938
2016-08-31,438664.0,2.9739924181,2.9141133761,2.6845770485,3.0438513004,2.9340730568
2016-09-01,340879.0,2.7743956115,3.0039319391,2.6845770485,3.0139117794,2.7644157712
2016-09-02,262063.0,2.5947584856,2.9041335358,2.5947584856,2.9340730568,2.6945568889
2016-09-05,388895.0,2.5947584856,2.6446576872,2.5947584856,2.7644157712,2.6246980066
2016-09-06,267847.0,2.6246980066,2.6147181662,2.6047383259,2.8741940148,2.6845770485
2016-09-08,222193.0,2.6147181662,2.6446576872,2.6147181662,2.8242948132,2.6745972082
2016-09-09,200048.0,2.5947584856,2.6147181662,2.514919763,2.7644157712,2.6246980066
2016-09-12,2553119.0,2.6047383259,2.6147181662,2.4750004016,2.6646173679,2.5947584856
2016-09-13,311143.0,2.5947584856,2.5448592839,2.5248996033,2.6546375276,2.5947584856
2016-09-14,355460.0,2.5448592839,2.5648189646,2.395161679,2.6346778469,2.484980242
2016-09-15,259241.0,2.6147181662,2.4750004016,2.455040721,2.6147181662,2.5548391243
2016-09-16,3617847.0,2.6646173679,2.5448592839,2.4251012,2.7444560905,2.6346778469
2016-09-19,1391116.0,2.7943552922,2.6246980066,2.6246980066,2.8342746535,2.7045367292
2016-09-20,6781808.0,2.9640125778,2.7444560905,2.6945568889,2.9640125778,2.7045367292
