Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2017-11-10,44286032.0,20.03536038,20.581070585,19.294753673,20.775967087,19.655312202
2017-11-13,47959009.0,19.626077726,19.918422479,19.168070947,19.918422479,19.411691575
2017-11-14,73091439.0,19.197305423,19.752760453,18.524912492,19.752760453,19.021898571
2017-11-16,56066546.0,19.489650175,19.138836472,19.080367522,19.665057027,19.4604157
2017-11-17,35805389.0,19.869698354,19.674801852,19.450670875,19.928167304,19.684546677
2017-11-21,57176488.0,20.074339681,19.859953529,19.655312202,20.395918908,20.162043106
2017-11-22,61444241.0,19.294753673,20.03536038,19.255774373,20.074339681,19.557863951
2017-11-23,69480620.0,19.021898571,19.353222624,19.002408921,19.44092605,19.119346822
2017-11-24,39354167.0,18.856236545,18.92445032,18.593126267,19.109601997,18.856236545
2017-11-27,30840168.0,18.641850393,18.700319343,18.427464241,18.846491719,18.622360742
2017-11-28,74074080.0,18.057160887,18.836746894,18.047416062,18.953684795,18.281291864
2017-11-29,138683587.0,17.686857534,18.037671237,17.306809356,18.281291864,17.530940333
2017-11-30,150301151.0,17.236983104,17.817783791,16.833375846,17.817783791,17.168074547
2017-12-01,75206232.0,17.463396931,17.030257435,16.76446729,17.47324101,17.227139024
2017-12-04,60794843.0,17.217294945,17.512617328,16.94166072,17.640590361,17.227139024
2017-12-05,68246469.0,17.542149566,17.374800216,17.168074547,17.778407473,17.551993646
2017-12-06,97105039.0,18.595466067,17.571681805,17.571681805,18.743127258,18.329675922
2017-12-07,65345243.0,18.418272637,18.556089749,18.132794333,18.979385165,18.457648954
2017-12-08,42472383.0,18.487181193,18.506869352,17.935912744,18.506869352,18.339520001
2017-12-11,40908208.0,18.191858809,18.487181193,18.044197618,18.487181193,18.191858809
2017-12-12,65648425.0,18.162326571,18.191858809,17.640590361,18.270611445,17.965444982
2017-12-13,72735742.0,17.817783791,18.162326571,17.709498917,18.378896319,17.945756823
2017-12-14,55513387.0,17.896536426,17.807939711,17.729187076,18.132794333,17.955600903
2017-12-15,58802531.0,17.985133141,17.867004188,17.709498917,18.221391048,18.014665379
2017-12-18,25949194.0,18.044197618,17.906380506,17.788251552,18.044197618,17.926068664
2017-12-19,44131058.0,17.699654837,18.063885777,17.542149566,18.063885777,17.709498917
2017-12-20,31676248.0,18.211546968,17.906380506,17.719342996,18.260767366,18.054041697
2017-12-21,26623830.0,18.674218702,18.260767366,18.014665379,18.674218702,18.418272637
2017-12-22,31208364.0,18.349364081,18.684062782,18.132794333,18.684062782,18.280455524
2017-12-26,16436447.0,18.191858809,18.349364081,18.044197618,18.349364081,18.18201473
