Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2017-05-10,2400.0,9.3169077411,9.3169077411,9.3169077411,9.3169077411,9.3169077411
2017-05-26,15994.0,7.869371731,7.87724898,7.8614944821,7.87724898,7.87724898
2017-05-29,2000.0,7.87724898,7.87724898,7.87724898,7.87724898,7.87724898
2017-05-31,18800.0,7.0107515922,7.089524082,7.0107515922,7.089524082,7.0501378371
2017-06-01,800.0,6.301799184,6.301799184,6.301799184,6.301799184,6.301799184
2017-06-02,4000.0,6.301799184,6.301799184,6.301799184,6.301799184,6.301799184
2017-06-05,31840.0,5.9867092248,6.301799184,5.9867092248,6.301799184,6.1206224575
2017-06-06,16840.0,5.9867092248,6.0339727187,5.9867092248,6.0339727187,6.0260954697
2017-06-14,8259.0,5.907936735,5.923691233,5.907936735,5.923691233,5.915813984
2017-06-16,6593.0,5.5928467758,5.923691233,5.5928467758,5.923691233,5.7740235024
2017-06-19,8760.0,5.5928467758,5.907936735,5.5928467758,5.907936735,5.7503917554
2017-06-20,2250.0,5.907936735,5.907936735,5.907936735,5.907936735,5.907936735
2017-06-21,10500.0,5.907936735,5.907936735,5.907936735,5.907936735,5.907936735
2017-06-22,2250.0,5.907936735,5.907936735,5.907936735,5.907936735,5.907936735
2017-06-23,5320.0,5.9867092248,5.9867092248,5.9867092248,5.9867092248,5.9867092248
2017-06-26,6080.0,5.9867092248,5.9867092248,5.9867092248,5.9867092248,5.9867092248
2017-06-27,6792.0,5.9867092248,5.9867092248,5.6086012738,5.9867092248,5.9473229799
2017-06-30,10992.0,5.7582690044,5.7819007513,5.7582690044,5.7976552493,5.7740235024
2017-07-03,9514.0,5.7346372574,5.7740235024,5.7346372574,5.7819007513,5.7661462534
2017-07-04,733.0,5.7740235024,5.7740235024,5.7740235024,5.7740235024,5.7740235024
2017-07-05,733.0,5.7740235024,5.7740235024,5.7740235024,5.7740235024,5.7740235024
2017-07-06,745.0,5.8685504901,5.8685504901,5.8685504901,5.8685504901,5.8685504901
2017-07-10,2294.0,6.2545356901,5.907936735,5.907936735,6.2545356901,6.0260954697
2017-07-11,6310.0,6.2230266942,6.2624129391,5.907936735,6.2624129391,6.2151494452
2017-07-13,9097.0,6.0497272166,5.9394457309,5.9394457309,6.0497272166,5.9709547269
2017-07-14,1540.0,6.0654817146,6.0654817146,6.0654817146,6.0654817146,6.0654817146
2017-07-17,19131.0,6.0339727187,6.0260954697,6.0260954697,6.0497272166,6.0260954697
2017-07-18,769.0,6.0576044656,6.0576044656,6.0576044656,6.0576044656,6.0576044656
2017-07-19,760.0,5.9867092248,5.9867092248,5.9867092248,5.9867092248,5.9867092248
2017-07-20,12840.0,6.1206224575,6.0260954697,6.0260954697,6.5853801473,6.3254309309
2017-07-21,4463.0,5.9473229799,6.0103409717,5.7503917554,6.0103409717,5.8606732411
2017-07-24,11190.0,5.8685504901,6.0418499677,5.8291642452,6.0418499677,5.8764277391
2017-07-25,11210.0,5.8685504901,5.8843049881,5.8685504901,5.8921822371,5.8843049881
2017-07-26,2327.0,6.1600087024,6.0260954697,6.0260954697,6.1600087024,6.1127452085
2017-07-27,4645.0,6.0654817146,6.1048679595,6.0654817146,6.1048679595,6.0969907105
2017-07-28,3824.0,5.9630774779,6.0654817146,5.9630774779,6.0654817146,6.0260954697
2017-07-31,770.0,6.0654817146,6.0654817146,6.0654817146,6.0654817146,6.0654817146
2017-08-01,2336.0,6.0339727187,6.2230266942,6.0339727187,6.2230266942,6.1363769554
2017-08-02,4614.0,6.0654817146,6.0654817146,6.0182182207,6.0654817146,6.0576044656
2017-08-04,5460.0,6.1442542044,6.1442542044,6.1442542044,6.1442542044,6.1442542044
2017-08-09,1565.0,6.1600087024,6.1678859513,6.1600087024,6.1678859513,6.1678859513
2017-08-10,1514.0,5.9630774779,5.9630774779,5.9630774779,5.9630774779,5.9630774779
2017-08-11,1566.0,6.1678859513,6.1678859513,6.1678859513,6.1678859513,6.1678859513
2017-08-14,9384.0,6.1442542044,6.1678859513,6.1442542044,6.1678859513,6.1600087024
2017-08-16,23858.0,5.900059486,6.2702901881,5.900059486,6.2702901881,6.0654817146
2017-08-17,3013.0,5.961761307,6.0174044125,5.961761307,6.0174044125,5.9856083522
2017-08-18,15551.0,6.0809965331,6.0809965331,6.0809965331,6.2558748648,6.1843337291
2017-08-21,2282.0,6.0253534276,6.0571494879,6.0253534276,6.0571494879,6.0492004728
2017-08-22,4500.0,5.961761307,5.961761307,5.961761307,5.961761307,5.961761307
2017-08-23,7020.0,6.2002317593,6.2002317593,6.2002317593,6.2002317593,6.2002317593
2017-08-28,4680.0,6.2002317593,6.2002317593,6.2002317593,6.2002317593,6.2002317593
2017-08-29,6926.0,6.1127925934,6.1366396387,6.0809965331,6.1525376688,6.1127925934
2017-08-30,12787.0,5.9458632769,6.0571494879,5.9458632769,6.0571494879,5.9776593371
2017-08-31,9855.0,5.9935573673,6.1207416085,5.961761307,6.1207416085,6.0253534276
2017-09-01,2964.0,5.8981691864,5.8822711562,5.8822711562,5.8981691864,5.8902201713
2017-09-04,6024.0,6.0015063824,6.0015063824,5.961761307,6.0015063824,5.9856083522
2017-09-06,1514.0,6.0015063824,6.0333024427,6.0015063824,6.0333024427,6.0174044125
2017-09-08,755.0,6.0015063824,6.0015063824,6.0015063824,6.0015063824,6.0015063824
2017-09-11,3058.0,6.0809965331,6.0730475181,6.0730475181,6.0809965331,6.0730475181
2017-09-12,2307.0,6.1127925934,6.1127925934,6.1127925934,6.1127925934,6.1127925934
2017-09-13,1536.0,6.1048435784,6.1048435784,6.1048435784,6.1048435784,6.1048435784
2017-09-14,8461.0,6.1127925934,6.0968945633,6.0968945633,6.1207416085,6.1127925934
2017-09-15,6898.0,6.0809965331,6.1048435784,5.961761307,6.1207416085,6.0889455482
2017-09-18,1520.0,6.0412514578,6.0412514578,6.0412514578,6.0412514578,6.0412514578
2017-09-19,23445.0,6.0412514578,6.065098503,5.9538122919,6.065098503,6.0094553975
2017-09-20,4506.0,5.9697103221,5.9538122919,5.9538122919,5.9776593371,5.9697103221
2017-09-21,19571.0,6.0253534276,6.0412514578,5.961761307,6.0412514578,5.9776593371
