Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-01-03,1.0909090665e-05,1.3905646688e-08,1.3905646688e-08,1.3905646688e-08,1.3905646688e-08,1.3905646688e-08
1986-01-06,4.5090908354e-06,1.4369168331e-08,1.4369168331e-08,1.4369168331e-08,1.4369168331e-08,1.4369168331e-08
1986-01-08,4.0031999783e-05,1.5296211616e-08,1.5296211616e-08,1.5296211616e-08,1.5296211616e-08,1.5296211616e-08
1986-01-09,2.4003638463e-06,1.5298530645e-08,1.5298530645e-08,1.5298530645e-08,1.5298530645e-08,1.5298530645e-08
1986-01-15,7.7563632618e-06,1.6478190898e-08,1.6478190898e-08,1.6478190898e-08,1.6478190898e-08,1.6478190898e-08
1986-01-17,2.7272728356e-05,1.738205944e-08,1.738205944e-08,1.738205944e-08,1.738205944e-08,1.738205944e-08
1986-01-20,5.6997451863e-05,1.738205944e-08,1.7613818966e-08,1.738205944e-08,1.7845580219e-08,1.7720428659e-08
1986-01-21,3.899636377e-05,1.8077341472e-08,1.738205944e-08,1.738205944e-08,1.8077341472e-08,1.7752876063e-08
1986-01-22,2.8363636949e-08,1.8077341472e-08,1.8077341472e-08,1.8077341472e-08,1.8077341472e-08,1.8077341472e-08
1986-01-23,1.1048909154e-05,2.1090230854e-08,2.0858471328e-08,2.0858471328e-08,2.1090230854e-08,2.1020703169e-08
1986-01-24,5.6777997315e-05,2.1090230854e-08,2.1090230854e-08,2.1090230854e-08,2.2017274139e-08,2.1931521888e-08
1986-01-27,0.00018687234061,2.3176078677e-08,2.1090230854e-08,2.1090230854e-08,2.340783993e-08,2.2983716734e-08
1986-01-28,1.8181818453e-06,2.3176078677e-08,2.3176078677e-08,2.3176078677e-08,2.3176078677e-08,2.3176078677e-08
1986-01-29,0.00041210909705,2.3173759649e-08,2.340783993e-08,2.3169125045e-08,2.340783993e-08,2.3176078677e-08
1986-01-30,0.00030523115489,2.3106549265e-08,2.3639599457e-08,2.2596675545e-08,2.3639599457e-08,2.2867836107e-08
1986-01-31,0.0002079816424,2.4103121963e-08,2.3176078677e-08,2.3176078677e-08,2.4103121963e-08,2.3461144777e-08
1986-02-03,0.00016729999048,2.7811293377e-08,2.4103121963e-08,2.4103121963e-08,2.7811293377e-08,2.6650171537e-08
1986-02-04,0.0017423241054,2.7811293377e-08,2.7811293377e-08,2.7811293377e-08,3.0128900726e-08,2.9607438771e-08
1986-02-06,0.00013745454238,2.7811293377e-08,2.7811293377e-08,2.7811293377e-08,2.7811293377e-08,2.7811293377e-08
1986-02-07,0.00011253745339,2.7579533851e-08,2.7808976075e-08,2.7579533851e-08,2.7808976075e-08,2.7586485756e-08
1986-02-17,2.3883414786e-05,2.5493686027e-08,2.7811293377e-08,2.5493686027e-08,2.7813612405e-08,2.5843645208e-08
1986-02-18,7.9999999567e-05,2.5493686027e-08,2.5493686027e-08,2.5493686027e-08,2.5493686027e-08,2.5493686027e-08
1986-02-19,8.30809623e-05,2.5493686027e-08,2.6652490565e-08,2.5493686027e-08,2.6652490565e-08,2.560493205e-08
1986-02-20,7.7550952212e-05,2.5493686027e-08,2.5493686027e-08,2.5493686027e-08,2.6652490565e-08,2.5716176346e-08
1986-02-21,9.6872728521e-05,2.572544728e-08,2.572544728e-08,2.572544728e-08,2.572544728e-08,2.572544728e-08
1986-02-24,3.8888961077e-05,2.572544728e-08,2.5493686027e-08,2.5493686027e-08,2.572544728e-08,2.560493205e-08
1986-02-25,6.5389091752e-05,2.572544728e-08,2.572544728e-08,2.572544728e-08,2.572544728e-08,2.572544728e-08
1986-02-26,8.1130910137e-05,2.572544728e-08,2.572544728e-08,2.572544728e-08,2.572544728e-08,2.572544728e-08
1986-02-27,2.108959962e-05,2.7811293377e-08,2.5957208533e-08,2.5957208533e-08,2.7811293377e-08,2.743120582e-08
1986-03-04,8.6545454914e-06,3.2446509803e-08,3.2446509803e-08,3.2446509803e-08,3.2446509803e-08,3.2446509803e-08
1986-03-06,6.2614329132e-05,3.7081724502e-08,3.2446509803e-08,3.2446509803e-08,3.7081724502e-08,3.5315709211e-08
1986-03-07,7.6360910589e-05,3.0128900726e-08,4.1716942655e-08,3.0128900726e-08,4.1716942655e-08,3.6050390553e-08
1986-03-10,7.3309089271e-05,2.7811293377e-08,2.7811293377e-08,2.7811293377e-08,2.7811293377e-08,2.7811293377e-08
1986-03-12,2.1818181331e-05,2.7811293377e-08,2.7811293377e-08,2.7811293377e-08,2.7811293377e-08,2.7811293377e-08
1986-03-14,0.00019999054508,3.4764118879e-08,3.0128900726e-08,3.0128900726e-08,3.4764118879e-08,3.1088391416e-08
1986-03-17,7.0909093727e-06,3.4764118879e-08,3.4764118879e-08,3.4764118879e-08,3.4764118879e-08,3.4764118879e-08
1986-03-18,5.4549087178e-06,3.4766432728e-08,3.4766432728e-08,3.4766432728e-08,3.4766432728e-08,3.4766432728e-08
1986-03-19,0.00013911562711,3.7081724502e-08,3.5922921691e-08,3.5922921691e-08,3.7081724502e-08,3.5969271179e-08
1986-03-20,0.00014926727224,3.4764118879e-08,3.5922921691e-08,3.4764118879e-08,3.5922921691e-08,3.589974522e-08
1986-03-24,3.6726545204e-05,3.9399333579e-08,3.7084041804e-08,3.7084041804e-08,3.9399333579e-08,3.901229239e-08
1986-03-25,0.00021119592429,3.9399333579e-08,3.9399333579e-08,3.7081724502e-08,3.9399333579e-08,3.9060959179e-08
1986-03-26,0.00061755516237,3.9631094832e-08,4.1716942655e-08,3.9399333579e-08,4.1716942655e-08,3.9716845356e-08
1986-03-31,0.00024041387542,4.6354474656e-08,3.9631094832e-08,3.9631094832e-08,4.6354474656e-08,4.6013782955e-08
1986-04-01,0.00010799999941,5.0987372054e-08,5.0987372054e-08,5.0987372054e-08,5.0987372054e-08,5.0987372054e-08
1986-04-02,0.00076319921212,6.0257801453e-08,4.8669762978e-08,4.8669762978e-08,6.0257801453e-08,5.9428103834e-08
1986-04-03,0.000745963609,6.0257801453e-08,6.0257801453e-08,6.0257801453e-08,6.0257801453e-08,6.0257801453e-08
1986-04-04,0.00046192038519,6.1416604264e-08,6.1416604264e-08,6.0257801453e-08,6.1416604264e-08,6.0626304228e-08
1986-04-07,0.00021489089749,6.1416604264e-08,6.1416604264e-08,6.1416604264e-08,6.1416604264e-08,6.1416604264e-08
1986-04-08,0.00017575073364,6.4893019606e-08,6.4902288813e-08,6.4893019606e-08,6.4904602661e-08,6.4897654209e-08
1986-04-09,2.592727271e-05,6.6051822417e-08,6.6283587124e-08,6.6051822417e-08,6.6283587124e-08,6.6098175359e-08
1986-04-10,2.8181818399e-05,7.1845843382e-08,7.1845843382e-08,7.1845843382e-08,7.1845843382e-08,7.1845843382e-08
1986-04-11,0.00043272000009,9.2704314709e-08,8.8069096557e-08,8.8069096557e-08,9.2704314709e-08,9.1930232332e-08
1986-04-14,0.00053679637257,9.9657138485e-08,9.9657138485e-08,9.9657138485e-08,9.9657138485e-08,9.9657138485e-08
1986-04-15,0.000373909081,1.0429234973e-07,1.0429234973e-07,1.0429234973e-07,1.0429234973e-07,1.0429234973e-07
1986-04-16,3.272727186e-05,1.0429234973e-07,1.0429234973e-07,1.0429234973e-07,1.0429234973e-07,1.0429234973e-07
