Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2006-03-08,0.0,4.8715559863,4.8715559863,4.8715559863,4.8715559863,4.8715559863
2006-03-09,85455817.0,5.1760282354,5.0237921109,4.9552858548,5.1760282354,5.0968654507
2006-03-10,28054058.0,5.32826436,5.154715178,5.1455810105,5.6327366092,5.3267419988
2006-03-13,8152065.0,5.3891588098,5.4043824223,5.32826436,5.5185595157,5.4196060348
2006-03-14,10702673.0,5.4043824223,5.3587115849,5.3434879725,5.5155147932,5.4180836735
2006-03-15,9466479.0,5.4805004846,5.4028600611,5.3297867213,5.495724097,5.4500532597
2006-03-16,4495090.0,5.2749817164,5.4043824223,5.2749817164,5.4500532597,5.3708904749
2006-03-17,9670690.0,5.4652768721,5.2765040777,5.1455810105,5.4774557621,5.2506239365
2006-03-20,6420181.0,5.5124700707,5.4028600611,5.2688922714,5.5581409081,5.5002911808
2006-03-21,15766219.0,5.6022893842,5.4805004846,5.4348296472,5.6631838341,5.5961999393
2006-03-22,4434628.0,5.6175129967,5.526171322,5.526171322,5.6327366092,5.606856468
2006-03-23,1865080.0,5.6022893842,5.6022893842,5.4043824223,5.6266471642,5.588588133
2006-03-24,6981100.0,5.5566185469,5.5596632694,5.4043824223,5.6053341067,5.5703197981
2006-03-27,7343150.0,5.4043824223,5.5550961856,5.4043824223,5.5566185469,5.495724097
2006-03-28,24627415.0,5.32826436,5.4028600611,5.0237921109,5.4028600611,5.2049530991
2006-03-29,11770823.0,5.3891588098,5.32826436,5.2673699102,5.4652768721,5.3297867213
2006-03-30,4098852.0,5.4789781233,5.3891588098,5.32826436,5.4789781233,5.3693681137
2006-03-31,10111376.0,5.4805004846,5.3434879725,5.3434879725,5.5109477095,5.4424414534
2006-04-03,7879142.0,5.6327366092,5.4805004846,5.4424414534,5.7042875877,5.612945913
2006-04-04,2681885.0,5.5870657718,5.6327366092,5.4805004846,5.6327366092,5.5855434105
2006-04-05,7871409.0,5.5870657718,5.5048582645,5.4805004846,5.6159906355,5.5687974368
2006-04-06,476580.0,5.6022893842,5.5855434105,5.526171322,5.6114235517,5.5809763268
2006-04-07,680348.0,5.5870657718,5.600767023,5.5429172957,5.6022893842,5.5687974368
2006-04-10,4448956.0,5.6555720278,5.526171322,5.5185595157,5.6647061953,5.6022893842
2006-04-11,6083036.0,5.6403484154,5.6327366092,5.6022893842,5.6692732791,5.6494825829
2006-04-12,12621140.0,5.6327366092,5.5733645206,5.5109477095,5.693631059,5.6464378604
2006-04-13,11303629.0,6.2416811074,5.9372088583,5.861090796,6.4015290382,6.2371140237
2006-04-17,7717484.0,6.393917232,6.2432034687,6.238636385,6.393917232,6.2797401386
2006-04-18,3417786.0,6.393917232,6.3954395933,6.3330227822,6.4700352943,6.3923948708
2006-04-19,4877970.0,6.2416811074,6.319321531,6.2416811074,6.3863054258,6.3421569497
2006-04-20,2186551.0,6.1655630452,6.1229369303,6.0209387268,6.2416811074,6.1412052652
2006-04-24,3745054.0,6.0818331766,6.1655630452,5.9372088583,6.1655630452,6.0848778991
2006-04-25,720787.0,6.0818331766,5.9828796957,5.9828796957,6.0955344278,6.0620424805
2006-04-26,8749915.0,6.1198922078,6.0726990092,5.9387312195,6.1198922078,6.115325124
2006-04-27,3964879.0,6.0894449829,6.0726990092,5.960044277,6.1351158202,6.0970567891
2006-04-28,3209064.0,6.2416811074,6.133593459,6.0894449829,6.2416811074,6.1138027628
2006-05-02,16925540.0,6.5476757178,6.058997758,6.058997758,6.5476757178,6.2310245787
2006-05-03,1365356.0,6.3634700071,6.4319762632,6.1655630452,6.4319762632,6.3177991697
2006-05-04,2169560.0,6.3177991697,6.3315004209,6.2690836099,6.3923948708,6.3147544472
2006-05-05,1745385.0,6.3025755573,6.3025755573,6.1807866576,6.393917232,6.3117097248
2006-05-08,926415.0,6.2066667988,6.2416811074,6.2066667988,6.2721283324,6.2675612486
2006-05-09,2363860.0,6.2812624998,6.1518617939,6.0894449829,6.3649923683,6.2797401386
2006-05-10,39075089.0,6.4700352943,6.2721283324,6.2721283324,6.5461533566,6.5111390479
2006-05-11,9827045.0,6.3619476459,6.5157061317,6.2721283324,6.5461533566,6.4319762632
2006-05-12,1956498.0,6.2569047199,6.1853537414,6.1046685953,6.3482463946,6.2188456888
2006-05-15,3376832.0,6.1427276265,6.1046685953,6.0133269206,6.2569047199,6.1640406839
2006-05-16,3316751.0,6.127504014,6.226457495,5.861090796,6.226457495,6.127504014
2006-05-17,11132504.0,5.9828796957,6.1655630452,5.9372088583,6.1655630452,6.058997758
2006-05-18,8906349.0,6.0894449829,6.0864002604,5.9859244182,6.1198922078,6.0742213704
2006-05-19,4960860.0,6.0133269206,5.9372088583,5.9372088583,6.1046685953,6.0133269206
2006-05-22,2323009.0,5.8534789898,5.9311194133,5.6327366092,5.9311194133,5.7225559227
2006-05-23,1105230.0,5.76822676,5.8626131573,5.7636596763,5.8626131573,5.8017187074
2006-05-24,5148793.0,5.5566185469,5.6327366092,5.3297867213,5.6327366092,5.5398725732
2006-05-25,3072140.0,5.5870657718,5.4805004846,5.4652768721,5.7545255088,5.600767023
2006-05-26,7344243.0,5.7088546714,5.6327366092,5.6327366092,5.7545255088,5.6494825829
2006-05-29,332189.0,5.6784074465,5.76822676,5.6631838341,5.76822676,5.681452169
2006-05-30,4122830.0,5.6327366092,5.7849727337,5.6327366092,5.7849727337,5.7012428652
2006-05-31,9697107.0,5.9067616334,5.6768850853,5.6768850853,5.9067616334,5.705809949
2006-06-01,2192058.0,5.8915380209,5.9067616334,5.8915380209,6.0879226216,6.0559530355
2006-06-02,1838603.0,5.7849727337,5.861090796,5.7849727337,5.8930603822,5.8078081524
2006-06-05,2316167.0,5.6327366092,5.6327366092,5.5566185469,5.6403484154,5.6236024417
2006-06-06,1169947.0,5.6631838341,5.4805004846,5.32826436,5.6631838341,5.5307384057
2006-06-07,126102.0,5.4805004846,5.5124700707,5.4805004846,5.5124700707,5.4850675683
2006-06-08,4887103.0,5.32826436,5.4805004846,5.1760282354,5.4805004846,5.2765040777
2006-06-09,407521.0,5.2902053289,5.32826436,5.1303573981,5.3967706161,5.3023842188
2006-06-12,1136026.0,4.8776454313,5.2521462977,4.8776454313,5.2521462977,5.1623269842
2006-06-13,2408026.0,4.9096150174,4.9461516873,4.6432017994,4.9461516873,4.6523359669
2006-06-14,590875.0,4.9598529386,5.0390157233,4.8715559863,5.0390157233,4.9705094673
2006-06-16,892067.0,4.7802143116,4.8106615365,4.7802143116,4.9476740486,4.8152286202
2006-06-19,3159336.0,4.5594719309,4.9324504361,4.5594719309,4.9324504361,4.6873502756
2006-06-20,3551632.0,4.3539531628,4.6645148569,4.3158941316,4.7177975005,4.4498619212
2006-06-21,5597584.0,4.3387295503,4.4041910839,4.2778351005,4.4148476126,4.3920121939
2006-06-22,778983.0,4.1910605095,4.3387295503,4.1910605095,4.4224594188,4.3280730216
2006-06-23,7392889.0,4.5655613759,4.2321642631,4.1864934257,4.5655613759,4.2230300956
2006-06-26,1385957.0,4.5670837372,4.4148476126,4.4148476126,4.8411087614,4.5868744333
2006-06-27,1154797.0,4.4148476126,4.5061892873,4.3387295503,4.6203663808,4.4726973399
2006-06-28,4393014.0,4.4148476126,4.3981016389,4.3235059378,4.4909656749,4.4148476126
2006-06-29,10818408.0,4.6736490244,4.4148476126,4.4148476126,4.795437924,4.4985774811
2006-06-30,3086780.0,4.8258851489,4.8715559863,4.6888726368,5.0222697496,4.8243627877
2006-07-03,1995544.0,5.1227455918,4.8715559863,4.8715559863,5.1851624029,5.080119477
2006-07-04,270373.0,5.3115183863,5.1684164292,5.1242679531,5.3602339462,5.2095201828
2006-07-05,1169873.0,5.3267419988,5.2521462977,4.9476740486,5.3267419988,5.253668659
2006-07-06,1483884.0,5.32826436,5.3267419988,5.2521462977,5.3663233912,5.3526221399
