Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-07-20,0.0,6.9170541232,6.9170541232,6.9170541232,6.9170541232,6.9170541232
2007-07-23,157773035.0,6.9170541232,6.9170541232,6.6767775063,6.9534596712,6.9170541232
2007-07-24,23851053.0,6.9170541232,6.9170541232,6.6258097391,6.9898652193,6.7859941504
2007-07-25,7989893.0,6.9097730136,6.8442430272,6.6622152871,6.9170541232,6.79327526
2007-07-26,11325247.0,6.8442430272,6.6330908487,6.4510631086,6.8442430272,6.7350263831
2007-07-27,4404924.0,6.9170541232,6.5602797527,6.5602797527,6.9170541232,6.79327526
2007-07-30,695662.0,6.9170541232,6.902491904,6.7059019447,6.9170541232,6.8806485752
2007-07-31,3898966.0,7.0262707673,6.8442430272,6.8442430272,7.0990818633,6.9753030001
2007-08-01,2360585.0,6.829680808,6.8442430272,6.5675608623,6.9170541232,6.79327526
2007-08-02,4195772.0,6.8223996984,6.8442430272,6.7204641639,6.8442430272,6.8151185888
2007-08-03,1153245.0,6.7714319312,6.6622152871,6.6403719583,6.8442430272,6.7787130408
2007-08-06,1914257.0,6.7423074927,6.7787130408,6.5457175335,6.9170541232,6.6549341775
2007-08-07,2036077.0,6.7568697119,6.7495886023,6.5529986431,6.7568697119,6.6913397255
2007-08-08,4733332.0,6.7714319312,6.7350263831,6.7350263831,7.0262707673,6.8515241368
2007-08-09,12076904.0,6.9534596712,6.8515241368,6.5748419719,6.9534596712,6.7568697119
2007-08-10,3008810.0,6.7350263831,6.5675608623,6.5529986431,6.7350263831,6.7277452735
2007-08-13,139802.0,6.8952107944,6.8442430272,6.7495886023,6.9170541232,6.8806485752
2007-08-14,45422764.0,6.5457175335,6.7714319312,6.443781999,6.8952107944,6.5748419719
2007-08-15,16182665.0,6.1889431629,6.6694963967,6.1525376149,6.6694963967,6.3564086838
2007-08-16,7315722.0,5.0894956128,5.4608322025,4.9875600783,5.8176065731,5.1259011608
2007-08-17,3879815.0,5.4608322025,5.8976987788,4.7327212422,5.8976987788,5.0894956128
2007-08-20,2914227.0,5.4608322025,5.4608322025,5.3152100105,5.7520765867,5.4389888737
2007-08-21,5102578.0,5.3880211065,5.4608322025,5.2860855721,5.4608322025,5.3953022161
2007-08-22,312244.0,5.3880211065,5.4608322025,5.2788044625,5.4608322025,5.3880211065
2007-08-23,6832671.0,5.2059933664,5.4608322025,5.0967767224,5.5700488466,5.2205555856
2007-08-24,4367512.0,5.7520765867,5.2423989144,5.0967767224,5.7520765867,5.2205555856
2007-08-27,323227.0,5.9341043268,5.7447954771,5.5336432986,5.9341043268,5.7011088195
2007-08-28,444675.0,5.8248876827,5.8976987788,5.5700488466,6.1161320668,5.7812010251
2007-08-29,805526.0,6.1161320668,5.8248876827,5.8248876827,6.1161320668,5.8612932307
2007-08-30,143450.0,6.1816620533,6.1161320668,6.1161320668,6.1889431629,6.1816620533
2007-08-31,3603238.0,6.1889431629,6.1889431629,6.1452565053,6.407376451,6.2835975877
2007-09-03,519398.0,6.1889431629,6.5384364238,6.1889431629,6.5384364238,6.1889431629
2007-09-04,590430.0,5.9705098748,6.2617542589,5.9705098748,6.407376451,6.094288738
2007-09-05,3713705.0,5.8976987788,5.9705098748,5.8248876827,6.0797265188,5.8248876827
2007-09-06,52988.0,5.9341043268,6.0433209708,5.9195421076,6.0433209708,5.9341043268
2007-09-10,52799.0,5.8248876827,5.8176065731,5.8176065731,5.8248876827,5.8248876827
2007-09-11,60409.0,5.8976987788,5.6064543946,5.6064543946,5.8976987788,5.8612932307
2007-09-12,124016.0,5.8248876827,5.7229521483,5.7229521483,5.8612932307,5.8248876827
2007-09-13,72780.0,5.7884821347,5.6574221618,5.6428599426,5.8248876827,5.7593576963
2007-09-14,243387.0,5.7884821347,5.8248876827,5.5773299562,5.8248876827,5.7520765867
2007-09-17,229893.0,5.5846110658,5.6282977234,5.5482055178,5.6282977234,5.599173285
2007-09-18,372471.0,5.6574221618,5.7447954771,5.5117999698,5.7447954771,5.635578833
2007-09-19,1684944.0,5.4972377506,5.5409244082,5.3953022161,5.5773299562,5.5482055178
2007-09-20,6004354.0,5.4972377506,5.6210166138,5.4608322025,5.6210166138,5.5045188602
2007-09-21,11649256.0,5.5336432986,5.5918921754,5.4753944217,5.5918921754,5.5045188602
2007-09-24,2776060.0,5.671984381,5.5336432986,5.5336432986,5.7520765867,5.7375143675
2007-09-25,99696.0,5.6792654906,5.671984381,5.6064543946,5.6792654906,5.671984381
2007-09-26,712199.0,5.7884821347,5.7739199155,5.6428599426,5.7884821347,5.7302332579
2007-09-27,572083.0,5.7302332579,5.7884821347,5.4753944217,5.8248876827,5.7156710387
2007-09-28,840855.0,5.5336432986,5.6064543946,5.5336432986,5.6647032714,5.562767737
2007-10-01,533281.0,5.6792654906,5.5773299562,5.5700488466,5.6792654906,5.6210166138
2007-10-02,720996.0,5.5336432986,5.5700488466,5.5117999698,5.6792654906,5.5554866274
2007-10-03,158635.0,5.4608322025,5.5482055178,5.3953022161,5.5482055178,5.4462699833
2007-10-04,213569.0,5.6064543946,5.671984381,5.4317077641,5.671984381,5.6137355042
2007-10-05,1950302.0,5.6064543946,5.6428599426,5.4753944217,5.6428599426,5.6137355042
2007-10-08,622561.0,5.6064543946,5.4826755314,5.4608322025,5.6064543946,5.6064543946
2007-10-09,6575711.0,5.8248876827,5.6428599426,5.6428599426,5.8248876827,5.7593576963
2007-10-10,81210.0,5.7083899291,5.6792654906,5.6137355042,5.8176065731,5.6865466002
2007-10-11,420451.0,5.7083899291,5.635578833,5.5773299562,5.7083899291,5.6282977234
2007-10-15,1192882.0,5.4608322025,5.6792654906,5.3880211065,5.7812010251,5.5190810794
2007-10-16,2354520.0,5.4608322025,5.4025833257,5.2788044625,5.4608322025,5.3734588873
2007-10-17,5921313.0,5.4608322025,5.4608322025,5.4608322025,5.4972377506,5.4608322025
2007-10-18,686476.0,5.5336432986,5.3953022161,5.3880211065,5.5336432986,5.4317077641
2007-10-19,97307.0,5.4535510929,5.526362189,5.3516155585,5.5336432986,5.4535510929
2007-10-22,284149.0,5.4608322025,5.4462699833,5.3516155585,5.5190810794,5.4608322025
2007-10-23,2290461.0,5.6792654906,5.5336432986,5.5336432986,5.7447954771,5.6282977234
2007-10-24,577042.0,5.6792654906,5.7520765867,5.6428599426,5.7520765867,5.671984381
2007-10-25,421717.0,5.6428599426,5.7156710387,5.6064543946,5.7884821347,5.6137355042
2007-10-26,609580.0,5.8248876827,5.5700488466,5.5700488466,5.8248876827,5.6865466002
2007-10-29,81105.0,5.8030443539,5.6865466002,5.6865466002,5.8176065731,5.7884821347
2007-10-30,1327940.0,5.6064543946,5.7375143675,5.4753944217,5.7375143675,5.5117999698
2007-10-31,1725234.0,5.5336432986,5.4972377506,5.4608322025,5.6501410522,5.489956641
2007-11-01,1018142.0,5.6064543946,5.6064543946,5.4972377506,5.6064543946,5.5409244082
2007-11-05,107325.0,5.4608322025,5.4462699833,5.4389888737,5.5336432986,5.4681133121
2007-11-06,747612.0,5.5336432986,5.6064543946,5.4681133121,5.6064543946,5.5336432986
2007-11-07,594735.0,5.5336432986,5.4972377506,5.4535510929,5.5336432986,5.4972377506
2007-11-08,1244189.0,5.4972377506,5.7083899291,5.4608322025,5.7083899291,5.4681133121
2007-11-09,851180.0,5.4244266545,5.3880211065,5.3079289009,5.562767737,5.3661777777
2007-11-12,4255175.0,4.9511545303,5.3152100105,4.8783434343,5.3152100105,4.9511545303
2007-11-13,1915378.0,5.0166845167,5.0967767224,4.8929056535,5.2278366952,5.0530900648
2007-11-14,265750.0,4.9948411879,5.1331822704,4.9147489823,5.1331822704,5.0239656263
2007-11-16,72442.0,4.9875600783,5.0894956128,4.8929056535,5.0894956128,4.9729978591
2007-11-19,242017.0,4.7327212422,4.8783434343,4.7327212422,5.0603711744,4.8565001055
2007-11-21,1199207.0,4.5506935021,4.8055323382,4.5215690637,4.8055323382,4.5870990501
2007-11-22,778952.0,4.3613846524,4.6599101462,4.1647946931,4.6599101462,4.3613846524
2007-11-23,99762.0,4.295854666,4.4997257349,4.22304357,4.4997257349,4.3249791044
2007-11-26,143578.0,4.2521680084,4.295854666,4.1502324739,4.295854666,4.2521680084
2007-11-27,106746.0,4.186638022,4.2521680084,4.1356702547,4.2521680084,4.1793569123
2007-11-28,658690.0,3.9317991858,4.1575135835,3.9317991858,4.22304357,3.9973291723
2007-11-29,996518.0,3.9317991858,4.0046102819,3.8808314186,4.0774213779,3.9317991858
2007-11-30,9050874.0,4.0774213779,3.9317991858,3.5313381576,4.0774213779,3.6915225689
2007-12-03,1210631.0,4.0046102819,4.0410158299,3.8953936378,4.0410158299,4.0046102819
2007-12-04,2208735.0,4.2157624604,3.8589880898,3.8589880898,4.2157624604,4.0118913915
2007-12-05,753556.0,4.4487579677,4.259449118,4.22304357,4.5725368309,4.4414768581
2007-12-06,3159028.0,4.6016612693,4.5142879541,4.4487579677,4.6016612693,4.5215690637
2007-12-07,730463.0,4.6599101462,4.5288501733,4.5142879541,4.6599101462,4.5725368309
2007-12-10,1114030.0,4.6380668174,4.6599101462,4.5506935021,4.6599101462,4.5798179405
2007-12-11,883824.0,4.6599101462,4.6380668174,4.5506935021,4.7254401326,4.6599101462
2007-12-12,1189874.0,4.7400023518,4.7327212422,4.7327212422,4.8419378863,4.7327212422
2007-12-13,1947402.0,4.790970119,4.7327212422,4.6599101462,4.790970119,4.7327212422
2007-12-14,571135.0,4.7836890094,4.790970119,4.7327212422,4.790970119,4.7400023518
2007-12-17,579543.0,4.7327212422,4.7836890094,4.5870990501,4.7836890094,4.6963156942
2007-12-18,1515722.0,4.9511545303,4.7400023518,4.7400023518,4.9511545303,4.8419378863
2007-12-19,270803.0,5.0967767224,5.0239656263,4.9948411879,5.0967767224,5.0967767224
2007-12-20,845255.0,5.0239656263,5.1695878184,4.9511545303,5.1695878184,5.0967767224
2007-12-21,346676.0,5.0239656263,5.0239656263,4.9584356399,5.1695878184,5.0312467359
2007-12-26,159872.0,5.0822145032,5.1695878184,5.0239656263,5.1695878184,5.0385278455
2007-12-27,305953.0,4.8783434343,4.9875600783,4.7472834614,5.0239656263,4.8710623247
2007-12-28,1498431.0,5.0239656263,4.8783434343,4.5579746117,5.0239656263,4.8055323382
2008-01-02,1089953.0,4.9511545303,4.9875600783,4.827375667,4.9875600783,4.9438734207
2008-01-03,1423575.0,4.9147489823,4.9147489823,4.9147489823,4.9147489823,4.9147489823
2008-01-04,178056.0,4.6963156942,4.8492189959,4.6963156942,4.8492189959,4.7472834614
2008-01-08,120989.0,4.7327212422,4.8346567766,4.5870990501,4.8346567766,4.7108779134
2008-01-09,281041.0,4.6963156942,4.6963156942,4.5506935021,4.6963156942,4.6599101462
2008-01-10,63500.0,4.5870990501,4.6599101462,4.5870990501,4.6599101462,4.6235045982
2008-01-11,759609.0,4.5506935021,4.5142879541,4.4487579677,4.7254401326,4.6380668174
2008-01-14,451656.0,4.5142879541,4.681753475,4.368665762,4.681753475,4.4851635157
2008-01-15,398559.0,4.4414768581,4.5142879541,4.4414768581,4.5142879541,4.5142879541
2008-01-16,52766.0,4.368665762,4.3104168852,4.3104168852,4.4414768581,4.368665762
2008-01-17,535529.0,4.295854666,4.4414768581,4.1720758027,4.4414768581,4.3905090908
2008-01-18,640239.0,4.295854666,4.4050713101,4.259449118,4.4050713101,4.3395413236
2008-01-21,339694.0,4.368665762,4.1502324739,3.8808314186,4.368665762,4.0847024875
2008-01-22,1225428.0,4.4778824061,4.368665762,4.295854666,4.4778824061,4.3759468716
2008-01-23,179901.0,4.332260214,4.4341957485,4.259449118,4.4341957485,4.3104168852
2008-01-24,1410710.0,4.5070068445,4.368665762,4.368665762,4.5070068445,4.3832279812
2008-01-28,3030581.0,4.4414768581,4.368665762,4.368665762,4.4414768581,4.3759468716
2008-01-29,559417.0,4.6162234885,4.4414768581,4.368665762,4.6235045982,4.5142879541
2008-01-30,326031.0,4.6963156942,4.5798179405,4.5725368309,4.6963156942,4.5798179405
2008-01-31,972028.0,4.6963156942,4.5142879541,4.5070068445,4.6963156942,4.5725368309
2008-02-01,952012.0,4.6963156942,4.7254401326,4.6599101462,4.7982512286,4.6963156942
2008-02-06,70032.0,4.6963156942,4.6235045982,4.6235045982,4.6963156942,4.6744723654
2008-02-07,1022934.0,4.8055323382,4.6526290366,4.6380668174,4.8055323382,4.6526290366
2008-02-08,1359628.0,4.6963156942,4.6671912558,4.5870990501,4.7472834614,4.6963156942
2008-02-11,942538.0,4.6890345846,4.7254401326,4.6526290366,4.8419378863,4.6890345846
2008-02-12,271039.0,4.6890345846,4.8200945574,4.6890345846,4.8200945574,4.7327212422
2008-02-13,84954.0,4.9511545303,4.6599101462,4.6599101462,4.9511545303,4.754564571
2008-02-14,530336.0,4.7764078998,4.8055323382,4.7764078998,4.8055323382,4.8055323382
2008-02-15,140824.0,4.790970119,4.7691267902,4.7618456806,4.790970119,4.7691267902
2008-02-18,543071.0,4.8710623247,4.8710623247,4.7327212422,4.8710623247,4.790970119
2008-02-19,155648.0,4.8783434343,4.8783434343,4.8055323382,4.8783434343,4.8637812151
2008-02-20,184132.0,5.0239656263,4.9875600783,4.8055323382,5.0603711744,4.9438734207
2008-02-21,6120.0,4.9511545303,4.9511545303,4.9511545303,4.9511545303,4.9511545303
2008-02-22,106396.0,4.9511545303,4.8783434343,4.8419378863,4.9511545303,4.9001867631
2008-02-25,412072.0,4.9511545303,4.9511545303,4.9147489823,4.9511545303,4.9438734207
2008-02-26,303669.0,4.9511545303,4.9511545303,4.8055323382,4.9511545303,4.9147489823
2008-02-27,433247.0,4.9074678727,4.9511545303,4.8637812151,4.9511545303,4.9147489823
2008-02-28,289659.0,4.9074678727,4.9074678727,4.8128134478,4.9074678727,4.9074678727
2008-02-29,291501.0,4.9074678727,4.9074678727,4.7691267902,4.9074678727,4.9001867631
2008-03-03,511471.0,4.8637812151,4.8783434343,4.8055323382,4.9147489823,4.8710623247
2008-03-04,215500.0,4.8783434343,4.8783434343,4.7400023518,4.8783434343,4.8710623247
2008-03-05,210849.0,4.8783434343,4.9074678727,4.7982512286,4.9074678727,4.8710623247
2008-03-06,750904.0,4.8783434343,4.9074678727,4.8419378863,4.9074678727,4.8783434343
2008-03-07,63586.0,4.8419378863,4.8783434343,4.7327212422,4.8783434343,4.8200945574
2008-03-10,665.0,4.8419378863,4.8419378863,4.8419378863,4.8419378863,4.8419378863
2008-03-11,38944.0,4.8346567766,4.8419378863,4.7327212422,4.8419378863,4.8055323382
2008-03-12,57351.0,4.7327212422,4.8346567766,4.7035968038,4.8346567766,4.7472834614
2008-03-13,34331.0,4.6526290366,4.7327212422,4.5870990501,4.7327212422,4.6307857078
2008-03-14,32590.0,4.6599101462,4.6526290366,4.6526290366,4.6599101462,4.6526290366
2008-03-17,28252.0,4.5798179405,4.6235045982,4.4851635157,4.6235045982,4.5725368309
2008-03-18,1870.0,4.5142879541,4.5870990501,4.5142879541,4.5870990501,4.5361312829
2008-03-19,135530.0,4.295854666,4.5142879541,4.295854666,4.5142879541,4.3832279812
2008-03-20,10958.0,4.4341957485,4.368665762,4.368665762,4.4414768581,4.4341957485
2008-03-24,132781.0,4.368665762,4.4050713101,4.186638022,4.4050713101,4.295854666
2008-03-25,1200.0,4.368665762,4.368665762,4.368665762,4.368665762,4.368665762
2008-03-26,137465.0,4.22304357,4.332260214,4.1283891451,4.332260214,4.22304357
2008-03-27,320605.0,4.1502324739,4.22304357,4.1502324739,4.22304357,4.1793569123
2008-03-28,4978047.0,4.1429513643,4.1502324739,4.0191725011,4.1502324739,4.1502324739
2008-03-31,48790.0,4.1502324739,4.186638022,4.0555780491,4.2157624604,4.1793569123
2008-04-01,43949.0,4.186638022,4.1502324739,4.0992647067,4.186638022,4.0992647067
2008-04-02,30461.0,4.186638022,4.1575135835,4.1575135835,4.186638022,4.186638022
2008-04-03,6843.0,4.1502324739,4.1720758027,4.1502324739,4.1720758027,4.1502324739
2008-04-04,6241.0,4.1283891451,4.1575135835,4.1283891451,4.1575135835,4.1283891451
2008-04-07,466147.0,4.0046102819,4.1211080355,3.9682047338,4.1211080355,4.0191725011
2008-04-08,3849.0,4.0046102819,3.9973291723,3.9973291723,4.0046102819,4.0046102819
2008-04-09,3594208.0,4.0774213779,3.9973291723,3.9317991858,4.0774213779,4.0046102819
2008-04-10,75747.0,3.9682047338,4.0701402683,3.9317991858,4.0701402683,3.9682047338
2008-04-11,11495.0,4.0046102819,3.9682047338,3.9682047338,4.0046102819,3.9827669531
2008-04-14,20230.0,4.0046102819,3.9682047338,3.9682047338,4.0046102819,3.9827669531
