Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2002-12-17,8000.0,1.094671254,1.094671254,1.094671254,1.094671254,1.094671254
2002-12-18,4000.0,1.094671254,1.094671254,1.094671254,1.094671254,1.094671254
2002-12-23,2000.0,1.094671254,1.094671254,1.094671254,1.094671254,1.094671254
2002-12-26,2000.0,1.094671254,1.094671254,1.094671254,1.094671254,1.094671254
2003-02-12,2000.0,1.094671254,1.094671254,1.094671254,1.094671254,1.094671254
2003-04-03,20000.0,1.1302322019,1.1302322019,1.1302322019,1.1302322019,1.1302322019
2003-04-15,2090.0,1.181092651,1.181092651,1.181092651,1.181092651,1.181092651
2003-04-29,10250.0,1.158488007,1.158488007,1.158488007,1.158488007,1.158488007
2003-06-11,11000.0,1.2432554221,1.2432554221,1.2432554221,1.2432554221,1.2432554221
2003-08-01,2300.0,1.2997670322,1.2997670322,1.2997670322,1.2997670322,1.2997670322
2003-08-08,2300.0,1.2997670322,1.2997670322,1.2997670322,1.2997670322,1.2997670322
2003-09-26,20800.0,1.499420394,1.499420394,1.499420394,1.499420394,1.499420394
2003-09-29,2800.0,1.6147604243,1.6147604243,1.6147604243,1.6147604243,1.6147604243
2003-10-02,11200.0,1.6147604243,1.6147604243,1.6147604243,1.6147604243,1.6147604243
2003-10-03,5600.0,1.6147604243,1.6147604243,1.6147604243,1.6147604243,1.6147604243
2003-10-17,2600.0,1.499420394,1.499420394,1.499420394,1.499420394,1.499420394
2003-11-12,3100.0,1.7877704697,1.7877704697,1.7877704697,1.7877704697,1.7877704697
2003-12-08,9300.0,1.7877704697,1.7877704697,1.7877704697,1.7877704697,1.7877704697
2003-12-09,126726.0,1.8454404849,1.78892387,1.78892387,1.8454404849,1.82698608
2003-12-17,48150.0,1.8512074864,1.8512074864,1.8512074864,1.8512074864,1.8512074864
2003-12-18,32600.0,1.880042494,1.880042494,1.880042494,1.880042494,1.880042494
2004-01-05,79200.0,1.9031105,1.9031105,1.9031105,1.9031105,1.9031105
2004-01-06,53120.0,1.9146445031,1.9146445031,1.9146445031,1.9146445031,1.9146445031
2004-01-09,3400.0,1.9607805152,1.9607805152,1.9607805152,1.9607805152,1.9607805152
2004-01-12,17000.0,1.9607805152,1.9607805152,1.9607805152,1.9607805152,1.9607805152
2004-01-13,13600.0,1.9607805152,1.9607805152,1.9607805152,1.9607805152,1.9607805152
2004-01-20,33500.0,1.9319455076,1.9319455076,1.9319455076,1.9319455076,1.9319455076
2004-01-29,6600.0,1.9031105,1.9031105,1.9031105,1.9031105,1.9031105
2004-03-03,46500.0,1.8178045113,1.8178045113,1.8178045113,1.8178045113,1.8178045113
2004-04-19,46500.0,1.8178045113,1.8178045113,1.8178045113,1.8178045113,1.8178045113
2004-04-22,3050.0,1.7884850837,1.7884850837,1.7884850837,1.7884850837,1.7884850837
2004-04-28,15000.0,1.7591656561,1.7591656561,1.7591656561,1.7591656561,1.7591656561
2004-04-29,14500.0,1.7005268009,1.7005268009,1.7005268009,1.7005268009,1.7005268009
2004-04-30,14500.0,1.7005268009,1.7005268009,1.7005268009,1.7005268009,1.7005268009
2004-05-03,13750.0,1.6125685181,1.6125685181,1.6125685181,1.6125685181,1.6125685181
2004-05-07,27500.0,1.6125685181,1.6125685181,1.6125685181,1.6125685181,1.6125685181
2004-05-10,78505.0,1.5246102353,1.5545160514,1.5246102353,1.5545160514,1.5345788407
2004-05-13,53100.0,1.4659713801,1.5246102353,1.4659713801,1.5246102353,1.4829766481
2004-07-26,2900.0,1.7005268009,1.7005268009,1.7005268009,1.7005268009,1.7005268009
2004-07-27,5800.0,1.7005268009,1.7005268009,1.7005268009,1.7005268009,1.7005268009
2004-07-28,5979.0,1.7533017706,1.752715382,1.752715382,1.7533017706,1.7533017706
2004-08-03,15000.0,1.7591656561,1.7591656561,1.7591656561,1.7591656561,1.7591656561
2004-08-16,3111.0,1.8242547854,1.8242547854,1.8242547854,1.8242547854,1.8242547854
2004-08-25,6419.0,1.9663726867,1.9657601095,1.9657601095,1.9663726867,1.9663726867
2007-05-07,10088.0,4.2565055299,4.2565055299,4.2565055299,4.2565055299,4.2565055299
2007-05-09,6000.0,5.0632500356,5.0632500356,5.0632500356,5.0632500356,5.0632500356
2008-06-09,6049.0,5.2603980854,5.2603980854,5.2603980854,5.2603980854,5.2603980854
2008-06-30,6000.0,5.217786165,5.217786165,5.217786165,5.217786165,5.217786165
2008-07-23,11700.0,5.0873415109,5.0873415109,5.0873415109,5.0873415109,5.0873415109
2010-03-03,61413.0,5.0870709841,5.0870709841,5.0870709841,5.0870709841,5.0870709841
2010-03-24,31872.0,4.6625277248,5.0870709841,4.6625277248,5.0870709841,4.9455565643
2011-08-05,2001.0,7.9605102195,7.9605102195,7.9605102195,7.9605102195,7.9605102195
2011-08-17,22792935.0,11.019796755,10.737339871,10.566274434,11.103340341,10.964101032
2011-08-18,32167511.0,10.866013326,10.57868113,10.570587266,10.90648265,10.772933883
2011-08-19,29734898.0,10.866013326,10.825544003,10.683901371,11.064313011,10.963139703
2011-08-22,21725216.0,11.088594605,10.78507468,10.78507468,11.169533252,11.060266079
2011-08-23,47097068.0,11.129063928,11.290941222,11.060266079,11.290941222,11.141204725
2011-08-24,56285934.0,10.926717311,11.072406876,10.805309341,11.311175884,10.971233567
2011-08-25,29939550.0,10.756746153,10.898388785,10.619150454,11.031937552,10.76888695
2011-08-26,19601460.0,10.764840018,10.724370695,10.643432048,10.922670379,10.813403206
2011-08-29,41644085.0,11.007655958,10.946951973,10.886247988,11.068359943,10.963139703
2011-08-30,26409145.0,11.072406876,10.886247988,10.789121612,11.088594605,10.971233567
2011-08-31,44584428.0,11.246424966,11.250471898,10.95909277,11.250471898,11.145251658
2011-09-01,62022989.0,11.736103779,11.351645207,11.351645207,11.829183223,11.711822185
2011-09-02,63533102.0,11.477100109,11.533757162,11.477100109,11.829183223,11.610648877
2011-09-05,15600593.0,11.129063928,11.294988154,11.072406876,11.363786004,11.189767913
2011-09-06,33573571.0,11.371879869,10.89029492,10.886247988,11.489240906,11.303082019
2011-09-08,36581663.0,11.796807764,11.473053177,11.274753493,11.796807764,11.602555012
2011-09-09,30348057.0,11.533757162,11.659212065,11.262612695,11.699681388,11.549944891
2011-09-12,15150806.0,11.424489989,11.562085688,11.294988154,11.6511182,11.436630786
2011-09-13,9678988.0,11.533757162,11.424489989,11.388067598,11.655165132,11.485193974
2011-09-14,20153247.0,11.655165132,11.533757162,11.436630786,11.861558681,11.667305929
2011-09-15,13938159.0,11.776573102,11.659212065,11.659212065,11.978919719,11.796807764
2011-09-16,22229349.0,11.857511749,11.679446726,11.643024335,11.930356531,11.82513629
2011-09-19,21054653.0,11.938450396,11.732056847,11.667305929,11.958685058,11.877746411
2011-09-20,20990195.0,11.938450396,12.011295178,11.817042426,12.173172471,12.023435975
2011-09-21,17620843.0,11.89393414,12.059858366,11.89393414,12.306721239,12.100327689
2011-09-22,29108626.0,11.525663297,11.659212065,11.181674049,11.857511749,11.485193974
2011-09-23,21833584.0,11.473053177,11.40830226,11.371879869,11.59850808,11.456865448
2011-09-26,27388456.0,11.695634456,11.5135225,11.388067598,11.869652546,11.630883538
2011-09-27,28401402.0,11.978919719,11.853464817,11.768479238,12.051764501,11.930356531
2011-09-28,21794578.0,11.938450396,12.03152984,11.885840276,12.197454066,12.023435975
2011-09-29,21957589.0,12.007248246,12.13675008,11.938450396,12.201500998,12.039623704
2011-09-30,40982760.0,11.938450396,11.877746411,11.865605614,12.22173566,11.991060516
2011-10-03,33993517.0,11.833230155,11.804901629,11.77252617,12.120562351,11.974872787
2011-10-04,32813795.0,11.978919719,11.776573102,11.517569433,12.140797013,11.922262667
2011-10-05,27559803.0,12.173172471,11.946544261,11.946544261,12.258158051,12.104374622
2011-10-06,31794058.0,12.233876457,12.302674306,12.173172471,12.387659885,12.258158051
2011-10-07,23563751.0,11.995107449,12.229829524,11.808948561,12.391706818,12.059858366
2011-10-10,24952665.0,12.08413996,12.059858366,11.906074937,12.156984742,12.023435975
2011-10-11,28171670.0,12.059858366,12.071999163,11.922262667,12.092233825,12.011295178
2011-10-13,74421400.0,12.444316938,12.254111118,12.140797013,12.699273675,12.492880126
2011-10-14,31276381.0,12.363378291,12.598100367,12.225782592,12.792353119,12.359331359
2011-10-17,17315426.0,12.58595957,12.322908968,12.173172471,12.598100367,12.460504667
2011-10-18,19027886.0,12.905667225,12.662851284,12.549537179,12.95018348,12.792353119
2011-10-19,41796556.0,12.541443314,12.901620292,12.335049765,12.986605871,12.622381961
2011-10-20,21463008.0,12.424082276,12.525255585,12.201500998,12.525255585,12.367425224
2011-10-21,17598834.0,12.82877551,12.440270006,12.440270006,12.869244834,12.768071525
2011-10-24,22597367.0,12.606194232,12.889479495,12.590006502,13.075638383,12.75997766
2011-10-25,19036540.0,12.626428893,12.606194232,12.339096697,12.70736754,12.529302517
2011-10-26,28445196.0,12.541443314,12.772118457,12.270298848,12.772118457,12.476692397
2011-10-27,37856741.0,12.383612953,12.849010172,12.262204983,12.849010172,12.573818773
2011-10-28,39068498.0,12.383612953,12.310768171,12.266251915,12.590006502,12.383612953
2011-10-31,27321008.0,12.383612953,12.383612953,12.181266336,12.496927059,12.379566021
2011-11-01,17880877.0,12.496927059,11.982966652,11.982966652,12.58595957,12.444316938
2011-11-03,21990986.0,12.687132878,12.58595957,12.420035344,12.695226743,12.598100367
2011-11-04,22327327.0,12.630475826,12.549537179,12.545490247,12.70736754,12.606194232
2011-11-07,32812078.0,13.075638383,12.630475826,12.630475826,13.075638383,12.938042683
2011-11-08,31186041.0,13.051356789,13.035169059,12.82877551,13.192999421,13.014934398
2011-11-09,35533055.0,12.832822443,12.95018348,12.792353119,13.023028262,12.913761089
2011-11-10,23670294.0,12.545490247,13.253703406,12.428129209,13.253703406,12.715461405
2011-11-11,17804862.0,12.84496324,12.581912638,12.581912638,12.889479495,12.755930728
2011-11-14,10408809.0,12.699273675,12.938042683,12.658804352,12.95018348,12.792353119
2011-11-16,15476251.0,12.727602202,12.606194232,12.509067856,12.788306187,12.683085946
2011-11-17,21188519.0,12.58595957,12.65475742,12.468598532,12.804493916,12.602147299
2011-11-18,18228066.0,12.391706818,12.569771841,12.391706818,12.646663555,12.537396382
2011-11-21,24059494.0,12.241970321,12.4645516,12.189360201,12.509067856,12.339096697
2011-11-22,9044932.0,12.302674306,12.371472156,12.197454066,12.420035344,12.314815103
2011-11-23,18422946.0,12.363378291,12.22173566,12.108421554,12.391706818,12.310768171
2011-11-24,9177590.0,12.019389043,12.375519088,12.019389043,12.375519088,12.201500998
2011-11-25,12648404.0,12.209594863,12.059858366,11.991060516,12.456457735,12.282439645
2011-11-28,9051360.0,12.363378291,12.306721239,12.306721239,12.58595957,12.383612953
2011-11-29,21967407.0,12.282439645,12.383612953,12.282439645,12.646663555,12.383612953
2011-11-30,35604135.0,12.877338698,12.553584111,12.282439645,13.031122127,12.820681646
2011-12-01,18827161.0,13.132295436,13.031122127,12.990652804,13.221327947,13.124201571
2011-12-02,19019005.0,12.816634713,13.15657703,12.77616539,13.516754008,13.095873044
2011-12-05,22942950.0,12.89757336,13.006840533,12.788306187,13.067544518,12.89757336
2011-12-06,21544014.0,13.152530097,12.89757336,12.816634713,13.245609541,13.063497586
2011-12-07,21626307.0,13.152530097,13.035169059,12.925901886,13.290125797,13.08777918
2011-12-08,24622031.0,13.152530097,13.257750338,12.784259254,13.407486835,13.014934398
2011-12-09,19175954.0,12.95018348,13.15657703,12.889479495,13.192999421,12.96637121
2011-12-12,21402555.0,12.889479495,12.95018348,12.610241164,13.108013842,12.881385631
2011-12-13,15372792.0,12.889479495,12.95018348,12.77616539,12.95018348,12.885432563
2011-12-14,39893303.0,12.545490247,12.885432563,12.545490247,12.95018348,12.780212322
2011-12-15,22650959.0,12.626428893,12.723555269,12.480739329,12.743789931,12.626428893
2011-12-16,18680764.0,12.646663555,12.549537179,12.549537179,12.747836863,12.666898217
2011-12-19,23750714.0,12.626428893,12.557631044,12.415988412,12.666898217,12.614288096
2011-12-20,28438585.0,12.618335029,12.747836863,12.618335029,12.747836863,12.674992081
2011-12-21,21506064.0,12.687132878,12.525255585,12.525255585,12.739742999,12.666898217
2011-12-22,12940852.0,12.658804352,12.687132878,12.58595957,12.739742999,12.687132878
2011-12-23,11395155.0,12.808540849,12.65475742,12.65475742,13.002793601,12.820681646
2011-12-26,2496170.0,12.670945149,12.901620292,12.670945149,12.921854954,12.755930728
2011-12-27,8079000.0,13.051356789,12.75997766,12.711414472,13.07159145,12.978512007
2011-12-28,10878840.0,13.010887465,13.108013842,12.820681646,13.108013842,12.962324277
2011-12-29,17041934.0,12.954230413,13.010887465,12.909714157,13.136342368,13.039215992
2012-01-02,8049518.0,12.954230413,12.970418142,12.889479495,13.257750338,13.08777918
2012-01-03,36784878.0,13.326548188,12.982558939,12.982558939,13.553176399,13.346782849
2012-01-04,19741109.0,13.678631301,13.322501255,13.257750338,13.678631301,13.488425481
2012-01-05,25284811.0,13.581504925,13.57341106,13.314407391,13.844555527,13.565317196
2012-01-06,13254204.0,13.472237752,13.820273933,13.375111376,13.820273933,13.464143887
2012-01-09,16495545.0,13.719100625,13.561270263,13.480331617,13.77980461,13.686725166
2012-01-10,18813061.0,13.443909226,13.800039271,13.375111376,13.860743256,13.561270263
2012-01-11,12992145.0,13.638161978,13.443909226,13.443909226,13.727194489,13.666490504
2012-01-12,20050441.0,13.90121258,13.638161978,13.638161978,13.986198159,13.860743256
2012-01-13,12785503.0,13.941681903,13.844555527,13.795992339,14.034761347,13.917400309
2012-01-16,9062019.0,13.965963497,13.941681903,13.889071783,14.030714415,13.965963497
2012-01-17,13589021.0,14.245201828,14.083324535,13.982151226,14.285671152,14.160216249
2012-01-18,28404024.0,14.564909483,14.241154896,14.200685573,14.564909483,14.488017769
2012-01-19,34777910.0,14.407079122,14.564909483,14.253295693,14.827960085,14.560862551
2012-01-20,29824017.0,14.131887723,14.350422069,14.054996009,14.378750596,14.192591708
2012-01-23,14998260.0,14.063089873,14.131887723,13.864790189,14.21282637,14.02262055
2012-01-24,24130852.0,13.937634971,13.921447241,13.852649392,14.063089873,13.949775768
2012-01-26,36849834.0,13.913353377,13.974057362,13.678631301,14.115699994,13.820273933
2012-01-27,27509811.0,13.860743256,14.002385888,13.743382219,14.002385888,13.840508595
2012-01-30,29253250.0,13.880977918,13.83241473,13.816227001,14.026667482,13.889071783
2012-01-31,60058911.0,14.305905813,13.982151226,13.957869632,14.354469002,14.241154896
2012-02-01,38281400.0,14.629660401,14.305905813,14.305905813,14.702505183,14.581097212
2012-02-02,49228628.0,14.690364386,14.573003348,14.488017769,14.775349965,14.706552115
2012-02-03,29676134.0,14.730833709,14.686317453,14.613472671,15.014118973,14.840100882
2012-02-06,21384933.0,14.649895062,14.726786777,14.520393227,14.779396897,14.629660401
2012-02-07,16934721.0,14.811772356,14.585144145,14.419219919,14.83605395,14.710599047
2012-02-08,29442865.0,14.568956415,14.775349965,14.568956415,14.840100882,14.621566536
2012-02-09,24487946.0,14.771303032,14.568956415,14.548721754,14.771303032,14.742974506
2012-02-10,28368373.0,14.528487092,14.852241679,14.463736175,14.876523273,14.544674821
2012-02-13,13981865.0,14.50825243,14.601331874,14.45564231,14.690364386,14.540627889
2012-02-14,36586161.0,14.427313784,14.548721754,14.354469002,14.71464598,14.496111633
2012-02-15,33843706.0,14.492064701,14.609425739,14.354469002,14.609425739,14.45564231
2012-02-16,45007216.0,14.872476341,14.443501513,14.249248761,15.014118973,14.868429408
2012-02-17,21183450.0,15.180043198,15.054588296,14.900804867,15.289310372,15.135526943
2012-02-22,29001230.0,15.5806895,15.062682161,15.050541364,15.5806895,15.382389815
2012-02-23,28829941.0,15.441246635,15.502765546,15.408436549,15.859575229,15.576588239
2012-02-24,16693271.0,15.625803368,15.441246635,15.41253781,15.732436147,15.629904629
2012-02-27,19547684.0,15.679119757,15.789853797,15.461752939,15.855473969,15.621702107
2012-02-28,19468785.0,15.855473969,15.642208411,15.625803368,15.929296662,15.777550015
2012-02-29,30532054.0,15.990815573,15.859575229,15.785752536,16.02772692,15.953904226
2012-03-01,46825939.0,16.343523995,15.875980272,15.875980272,16.400941646,16.306612649
2012-03-02,49547342.0,16.19997987,16.343523995,15.929296662,16.577295857,16.294308867
2012-03-05,34631852.0,16.163068523,16.236891217,15.777550015,16.236891217,15.962106747
2012-03-06,33206441.0,15.908790358,16.048233223,15.843170186,16.076942048,15.908790358
2012-03-07,22865421.0,16.035929441,15.994916833,15.818562622,16.220486174,16.072840788
2012-03-08,30976891.0,16.224587434,16.195878609,16.195878609,16.446055514,16.347625256
2012-03-09,17942080.0,16.323017692,16.282005085,16.228688695,16.42554921,16.339422735
2012-03-12,20597572.0,16.364030299,16.146663481,16.035929441,16.384536603,16.323017692
2012-03-13,27672522.0,16.675726114,16.388637863,16.265600042,16.811067718,16.548587032
2012-03-14,26166079.0,16.692131157,16.729042504,16.503473164,17.040738319,16.696232418
2012-03-15,20318457.0,16.53628325,16.692131157,16.364030299,16.692131157,16.532181989
2012-03-16,21200041.0,16.380435342,16.491169382,16.376334081,16.610105943,16.462460557
2012-03-19,7289276.0,16.359929038,16.384536603,16.306612649,16.548587032,16.42554921
2012-03-20,17539419.0,16.097448352,16.290207606,16.097448352,16.441954253,16.195878609
2012-03-21,71165451.0,16.532181989,16.117954655,16.117954655,16.749548807,16.470663078
2012-03-22,38310929.0,16.409144167,16.409144167,16.364030299,16.76595385,16.470663078
2012-03-23,45799490.0,16.446055514,16.528080728,16.273802563,16.647017289,16.388637863
2012-03-26,23258259.0,16.446055514,16.597802161,16.282005085,16.597802161,16.417346689
2012-03-27,46363333.0,16.606004682,16.343523995,16.327118953,16.606004682,16.487068121
2012-03-28,24313145.0,16.487068121,16.606004682,16.36813156,16.724941243,16.466561817
2012-03-29,32212696.0,16.405042906,16.351726517,16.343523995,16.597802161,16.413245428
2012-03-30,32706470.0,16.405042906,16.351726517,16.245093738,16.495270642,16.36813156
2012-04-02,24471469.0,16.528080728,16.405042906,16.282005085,16.577295857,16.487068121
