Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1988-06-03,5.2248e-05,2.9477145782e-09,3.0459717308e-09,2.9477145782e-09,3.0951003071e-09,3.055797446e-09
1988-06-10,0.00012414545455,2.9477145782e-09,2.9477145782e-09,2.9477145782e-09,2.9477145782e-09,2.9477145782e-09
1988-06-13,0.00054130909091,2.9477145782e-09,2.9477145782e-09,2.9477145782e-09,2.9477145782e-09,2.9477145782e-09
1988-06-14,0.0001692,2.9477145782e-09,2.9477145782e-09,2.9477145782e-09,2.9477145782e-09,2.9477145782e-09
1988-06-15,1.1721818181e-05,2.7512002729e-09,3.3407431886e-09,2.7512002729e-09,3.3407431886e-09,3.016494585e-09
1988-06-17,0.00013974545455,2.9477145782e-09,3.1245774528e-09,2.9477145782e-09,3.1344031681e-09,3.0951003071e-09
1988-06-20,3.0647272727e-06,2.9673660087e-09,2.9477145782e-09,2.9477145782e-09,2.9673660087e-09,2.9575402934e-09
1988-06-21,5.5636363636e-05,3.0066688697e-09,3.0066688697e-09,3.0066688697e-09,3.0066688697e-09,3.0066688697e-09
1988-06-22,7.4512727273e-05,3.0459717308e-09,3.0459717308e-09,3.0459717308e-09,3.0459717308e-09,3.0459717308e-09
1988-06-24,2.2551272727e-05,3.2916146123e-09,3.0459717308e-09,3.0459717308e-09,3.2916146123e-09,3.1737060292e-09
1988-06-28,0.00050130327273,3.1442288834e-09,3.2916146123e-09,3.1442288834e-09,3.2916146123e-09,3.2228346055e-09
1988-06-29,0.00026011818182,3.1835317444e-09,3.0459717308e-09,3.0459717308e-09,3.2916146123e-09,3.1933574597e-09
1988-06-30,0.00056701818182,3.0459717308e-09,3.0459717308e-09,3.0459717308e-09,3.0656231613e-09,3.0459717308e-09
1988-07-01,1.1272727272e-07,3.0459717308e-09,3.0459717308e-09,3.0459717308e-09,3.0459717308e-09,3.0459717308e-09
1988-07-05,6.5418181818e-05,3.0951003071e-09,3.4390003412e-09,3.0951003071e-09,3.4390003412e-09,3.4390003412e-09
1988-07-08,0.00072176363636,3.5372574938e-09,3.4390003412e-09,3.4390003412e-09,3.5372574938e-09,3.4390003412e-09
1988-07-11,3.4792727273e-05,3.7239460837e-09,3.5372574938e-09,3.5372574938e-09,3.733771799e-09,3.6158632159e-09
1988-07-12,0.00010485818181,3.5372574938e-09,3.5372574938e-09,3.5372574938e-09,3.5372574938e-09,3.5372574938e-09
1988-07-13,9.5301818182e-05,3.5372574938e-09,3.5372574938e-09,3.5372574938e-09,3.5372574938e-09,3.5372574938e-09
1988-07-14,2.1636363636e-06,3.4390003412e-09,3.4390003412e-09,3.4390003412e-09,3.4390003412e-09,3.4390003412e-09
1988-07-15,8.308e-06,3.3505689038e-09,3.3505689038e-09,3.3505689038e-09,3.3505689038e-09,3.3505689038e-09
1988-07-18,0.00037152727273,3.3407431886e-09,3.3505689038e-09,3.3407431886e-09,3.3505689038e-09,3.3407431886e-09
1988-07-19,0.00044596218182,3.1442288834e-09,3.1442288834e-09,3.0951003071e-09,3.1442288834e-09,3.1049260223e-09
1988-07-20,0.00015127272727,3.1442288834e-09,3.1442288834e-09,3.1442288834e-09,3.1442288834e-09,3.1442288834e-09
1988-07-25,6.7585090909e-05,3.1540545986e-09,3.1540545986e-09,3.1540545986e-09,3.1638803139e-09,3.1540545986e-09
1988-07-26,0.00011163636363,2.9870174392e-09,3.0361460155e-09,2.9870174392e-09,3.0361460155e-09,3.016494585e-09
1988-07-27,4.1686909091e-05,3.0361460155e-09,3.0361460155e-09,3.0361460155e-09,3.0361460155e-09,3.0361460155e-09
1988-07-28,4.2152727273e-05,3.0951003071e-09,3.0361460155e-09,3.0361460155e-09,3.0951003071e-09,3.0951003071e-09
1988-07-29,1.0505454545e-06,3.1540545986e-09,3.1540545986e-09,3.1540545986e-09,3.1540545986e-09,3.1540545986e-09
1988-08-01,0.00026855563636,3.3407431886e-09,3.1737060292e-09,3.1737060292e-09,3.3407431886e-09,3.3014403275e-09
1988-08-02,0.00025902545455,3.3407431886e-09,3.2916146123e-09,3.2916146123e-09,3.3407431886e-09,3.3014403275e-09
1988-08-03,1.2e-05,3.242486036e-09,3.242486036e-09,3.242486036e-09,3.242486036e-09,3.242486036e-09
1988-08-04,0.001503546909,3.242486036e-09,3.3898717649e-09,3.2326603207e-09,3.3898717649e-09,3.3210917581e-09
1988-08-05,9.0877090909e-05,3.5176060633e-09,3.242486036e-09,3.242486036e-09,3.5176060633e-09,3.4488260564e-09
1988-08-08,0.00095165454545,3.5372574938e-09,3.5470832091e-09,3.5372574938e-09,3.6355146464e-09,3.5863860701e-09
1988-08-09,2.0745454545e-05,3.4390003412e-09,3.4390003412e-09,3.4390003412e-09,3.4390003412e-09,3.4390003412e-09
