Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-01-02,2.7432546225e-05,3.9504371851e-10,4.0102922345e-10,3.9504371851e-10,4.0102922345e-10,3.960911783e-10
1986-01-03,2.6400001049e-06,3.9504371851e-10,3.9504371851e-10,3.9504371851e-10,3.9504371851e-10,3.9504371851e-10
1986-01-06,0.00034148363996,4.0701472839e-10,4.0701472839e-10,4.0701472839e-10,4.0701472839e-10,4.0701472839e-10
1986-01-07,0.00035239806747,4.2497124321e-10,4.2796399568e-10,4.1898573827e-10,4.2796399568e-10,4.2525854545e-10
1986-01-08,0.00021140072562,4.3394953629e-10,4.3694228877e-10,4.3095079019e-10,4.3694228877e-10,4.3496106993e-10
1986-01-09,0.00023067506465,4.3096274179e-10,4.3095678382e-10,4.1898573827e-10,4.3395552993e-10,4.2662327568e-10
1986-01-10,0.0010607358369,4.3035820479e-10,4.3095678382e-10,4.3035820479e-10,4.3095678382e-10,4.3036419843e-10
1986-01-13,3.8944896763e-05,4.1897974463e-10,4.1897974463e-10,4.1897974463e-10,4.1897974463e-10,4.1897974463e-10
1986-01-14,4.8723754514e-05,4.1300023333e-10,4.1898573827e-10,4.1300023333e-10,4.2497124321e-10,4.1989555842e-10
1986-01-15,5.4177949732e-05,4.3095678382e-10,4.1898573827e-10,4.1898573827e-10,4.3095678382e-10,4.2064972234e-10
1986-01-16,9.4908370321e-05,4.3095678382e-10,4.3095678382e-10,4.1300023333e-10,4.3095678382e-10,4.2221795089e-10
1986-01-17,0.00015490908623,4.1898573827e-10,4.3095678382e-10,4.1898573827e-10,4.3095678382e-10,4.2497124321e-10
1986-01-20,0.00015534535308,4.3095678382e-10,4.1898573827e-10,4.1898573827e-10,4.3095678382e-10,4.2194859389e-10
1986-01-21,6.1854544401e-05,4.1898573827e-10,4.1898573827e-10,4.1898573827e-10,4.1898573827e-10,4.1898573827e-10
1986-01-22,0.00080945453167,4.1898573827e-10,4.1898573827e-10,4.1898573827e-10,4.1898573827e-10,4.1898573827e-10
1986-01-23,1.2600000338e-05,4.1898573827e-10,4.1898573827e-10,4.1300023333e-10,4.1898573827e-10,4.1479589908e-10
1986-01-24,4.8723862995e-05,3.9803647098e-10,4.0102922345e-10,3.9803647098e-10,4.0102922345e-10,3.9900612049e-10
1986-01-27,2.8363635323e-05,3.8905817789e-10,3.8905817789e-10,3.8905817789e-10,3.8905817789e-10,3.8905817789e-10
1986-01-28,9.4545451078e-06,3.8905817789e-10,3.8905817789e-10,3.8905817789e-10,3.8905817789e-10,3.8905817789e-10
1986-01-31,2.0956310034e-05,3.6212340566e-10,3.5913065319e-10,3.5913065319e-10,3.6511615813e-10,3.6309904881e-10
1986-02-03,0.0017792589419,3.6511615813e-10,3.6212340566e-10,3.6212340566e-10,3.7110166307e-10,3.6704946352e-10
1986-02-04,0.00018763344505,3.6511615813e-10,3.8905218425e-10,3.6511615813e-10,3.8905218425e-10,3.8605943178e-10
1986-02-05,0.0011144687013,4.0102922345e-10,3.6511615813e-10,3.6511615813e-10,4.0102922345e-10,3.9965853525e-10
1986-02-06,2.3481818546e-05,3.681089106e-10,3.681089106e-10,3.681089106e-10,3.6811490424e-10,3.681089106e-10
1986-02-07,0.00014097223293,4.0102922345e-10,3.681089106e-10,3.681089106e-10,4.0102922345e-10,3.966537955e-10
1986-02-13,6.73276023e-05,3.8905817789e-10,4.0102922345e-10,3.8905817789e-10,4.0102922345e-10,3.9438531011e-10
1986-02-14,6.4726836465e-05,3.8307267295e-10,3.7110166307e-10,3.7110166307e-10,3.8905817789e-10,3.8050489804e-10
1986-02-17,0.00022243642499,4.0701472839e-10,3.8905817789e-10,3.8905817789e-10,4.0701472839e-10,3.9883854833e-10
1986-02-18,0.00048262405346,4.0701472839e-10,4.2497124321e-10,4.0700873475e-10,4.2796399568e-10,4.1310797613e-10
1986-02-19,0.00050691684268,3.9504371851e-10,4.1898573827e-10,3.8905817789e-10,4.1899173191e-10,3.9265550303e-10
1986-02-20,2.8545598984e-05,3.8307267295e-10,3.9504371851e-10,3.8307267295e-10,3.9504371851e-10,3.9155413616e-10
1986-02-21,0.00013880763219,3.7110166307e-10,3.7708716801e-10,3.7110166307e-10,3.8905817789e-10,3.8659814578e-10
1986-02-24,0.0021331443027,3.4715960763e-10,3.7110166307e-10,3.4715960763e-10,3.7110166307e-10,3.4719553379e-10
1986-02-25,0.00088455273888,3.1723204725e-10,3.4715960763e-10,3.1723204725e-10,3.4715960763e-10,3.2355276787e-10
1986-02-26,0.00059088873803,3.2920309281e-10,3.2321758787e-10,3.1723804089e-10,3.4117410269e-10,3.3342885816e-10
1986-02-27,0.00054766890368,3.1723204725e-10,3.1124654231e-10,3.1124654231e-10,3.2321758787e-10,3.1753133677e-10
1986-03-04,0.001642840515,3.5913065319e-10,3.2920309281e-10,3.2920309281e-10,3.8905817789e-10,3.6394896825e-10
1986-03-05,0.00024676364617,3.5913065319e-10,3.5913065319e-10,3.5913065319e-10,3.5913065319e-10,3.5913065319e-10
1986-03-06,6.4945033897e-05,3.3518859775e-10,3.5913065319e-10,3.3518859775e-10,3.5913065319e-10,3.5049353374e-10
1986-03-07,4.0363636884e-06,3.3518859775e-10,3.2920309281e-10,3.2920309281e-10,3.3518859775e-10,3.3219584528e-10
1986-03-10,0.002069943719,3.5913065319e-10,3.3518859775e-10,3.3518859775e-10,3.5913065319e-10,3.5187021557e-10
1986-03-11,0.0018342806283,3.6512215177e-10,3.5913065319e-10,3.5913065319e-10,3.7110166307e-10,3.5947782047e-10
1986-03-12,3.2036581039e-05,3.8307267295e-10,3.7110166307e-10,3.7110166307e-10,3.8307267295e-10,3.7666219045e-10
1986-03-13,0.0002144454329,4.0102922345e-10,3.8307267295e-10,3.8307267295e-10,4.0102922345e-10,3.8661609102e-10
1986-03-14,0.00016876766031,4.0402197592e-10,4.0102922345e-10,4.0102922345e-10,4.1898573827e-10,4.0377059984e-10
1986-03-17,0.0006031268027,4.4891329865e-10,4.1898573827e-10,4.1898573827e-10,4.4891329865e-10,4.2735945868e-10
1986-03-18,0.00066151459243,4.5489880359e-10,4.4891329865e-10,4.4891329865e-10,4.6686981347e-10,4.6099205133e-10
1986-03-19,0.00091227790031,4.6686981347e-10,4.5489880359e-10,4.5489880359e-10,4.6686981347e-10,4.6189587784e-10
1986-03-20,0.00041782034198,4.9081186891e-10,4.7884085902e-10,4.7884085902e-10,5.2073942928e-10,5.1593303014e-10
1986-03-21,0.00012354526563,5.386959441e-10,4.9380462138e-10,4.9380462138e-10,5.386959441e-10,5.2683267702e-10
1986-03-24,6.5454543721e-06,5.386959441e-10,5.386959441e-10,5.386959441e-10,5.386959441e-10,5.386959441e-10
1986-03-25,0.00038290908077,5.386959441e-10,5.386959441e-10,5.386959441e-10,5.386959441e-10,5.386959441e-10
1986-03-26,0.0019142176032,5.1475392434e-10,5.386959441e-10,5.1475392434e-10,5.4468744268e-10,5.1763294037e-10
