Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2019-10-10,449138696.0,23.96915768,24.655126938,23.879683429,24.694893271,24.297229934
2019-10-11,169245602.0,23.591377509,24.158047765,23.581435926,24.22763885,23.770326011
2019-10-14,98522698.0,23.372662674,23.591377509,22.965057752,23.68085176,23.233480505
2019-10-15,26579973.0,23.412429007,23.462136924,23.114181504,23.501903258,23.303071589
2019-10-16,46227272.0,23.959216097,23.412429007,23.173831005,23.959216097,23.601319093
2019-10-17,21771548.0,24.058631931,23.859800262,23.710676511,24.058631931,23.929391346
2019-10-18,25247022.0,24.008924014,23.96915768,23.670910177,24.008924014,23.869741846
2019-10-21,79549655.0,23.869741846,24.008924014,23.829975512,24.098398265,23.889625012
2019-10-22,22165499.0,23.710676511,23.889625012,23.571494342,23.959216097,23.720618094
2019-10-23,34849227.0,23.382604257,23.770326011,23.173831005,23.770326011,23.372662674
2019-10-24,59481407.0,22.865641918,23.36272109,22.865641918,23.472078508,23.024707253
2019-10-25,28162269.0,22.994882503,22.915349835,22.617102332,23.153947838,22.845758751
2019-10-28,45164174.0,23.253363672,23.01476567,22.865641918,23.253363672,23.01476567
2019-10-29,29532181.0,23.01476567,23.183772588,22.865641918,23.213597338,22.984940919
2019-10-30,25355909.0,23.750442844,23.07441517,22.746342917,23.750442844,23.203655755
2019-10-31,13321936.0,24.098398265,23.561552759,23.183772588,24.098398265,23.879683429
2019-11-01,17751352.0,23.810092345,23.979099263,23.770326011,23.989040847,23.829975512
2019-11-04,47921946.0,24.058631931,23.820033928,23.561552759,24.058631931,23.790209178
2019-11-05,50397561.0,24.158047765,23.959216097,23.62120226,24.158047765,23.820033928
2019-11-06,19383440.0,23.859800262,24.158047765,23.859800262,24.277346767,23.93933293
2019-11-07,15309046.0,23.710676511,23.919449763,23.641085426,23.93933293,23.710676511
2019-11-08,31698223.0,23.611260676,23.68085176,22.994882503,23.68085176,23.39254584
2019-11-11,17062819.0,23.859800262,23.313013173,23.313013173,23.859800262,23.641085426
