Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-01-02,1.1273600079e-06,1.0512084229e-10,1.0162585737e-10,1.0162585737e-10,1.0512084229e-10,1.0444637083e-10
1986-01-03,3.4914907542e-07,1.0512959394e-10,1.0512959394e-10,1.0512959394e-10,1.0512959394e-10,1.0512959394e-10
1986-01-06,3.0359999835e-06,1.0598801335e-10,1.0599677806e-10,1.0598801335e-10,1.0599677806e-10,1.0598801335e-10
1986-01-07,4.5458181338e-07,1.0950050811e-10,1.0950050811e-10,1.0950050811e-10,1.0950050811e-10,1.0950050811e-10
1986-01-08,0.0004049567188,1.1474735152e-10,1.1387141574e-10,1.1387141574e-10,1.1474735152e-10,1.1474735152e-10
1986-01-09,1.0000727393e-07,1.0950050811e-10,1.3139010513e-10,1.0950050811e-10,1.3139010513e-10,1.2044968571e-10
1986-01-13,5.9563637322e-07,1.1037644388e-10,1.103676857e-10,1.103676857e-10,1.1037644388e-10,1.103676857e-10
1986-01-14,9.1709093614e-08,1.1045528058e-10,1.1045528058e-10,1.1045528058e-10,1.1045528058e-10,1.1045528058e-10
1986-01-15,1.3034763986e-06,1.1221591031e-10,1.103676857e-10,1.103676857e-10,1.1221591031e-10,1.1213707361e-10
1986-01-16,3.7530179457e-07,1.1300423815e-10,1.1300423815e-10,1.1300423815e-10,1.1300423815e-10,1.1300423815e-10
1986-01-17,9.4698190689e-08,1.1405537674e-10,1.1405537674e-10,1.1405537674e-10,1.1405537674e-10,1.1405537674e-10
1986-01-20,2.3729088632e-07,1.1435318107e-10,1.1430939016e-10,1.1430939016e-10,1.1435318107e-10,1.1431813529e-10
1986-01-21,2.9170908711e-07,1.2263951862e-10,1.1435318107e-10,1.1435318107e-10,1.2263951862e-10,1.171123742e-10
1986-01-22,5.2366907488e-07,1.4015819496e-10,1.4015819496e-10,1.4014943677e-10,1.4015819496e-10,1.4015819496e-10
1986-01-23,1.6879783002e-06,1.4015819496e-10,1.5766812616e-10,1.2263076044e-10,1.5766812616e-10,1.3116236627e-10
1986-01-24,1.2000000477e-07,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10
1986-01-27,5.5800002217e-06,1.4452911565e-10,1.4453786078e-10,1.4452911565e-10,1.4453786078e-10,1.4452911565e-10
1986-01-28,3.600000143e-07,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10
1986-01-29,1.2000000477e-07,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10
1986-01-30,1.6800000668e-06,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10
1986-01-31,5.4000002146e-07,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10
1986-02-03,1.2000000477e-07,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10,1.4452911565e-10
1986-02-04,0.00052628904963,1.4540503837e-10,1.4452911565e-10,1.4452911565e-10,1.4890878147e-10,1.4890002328e-10
1986-02-05,1.7974197648e-05,1.4540503837e-10,1.4540503837e-10,1.4540503837e-10,1.4628097414e-10,1.4627222901e-10
1986-02-06,5.4183270173e-07,1.4541379655e-10,1.4452911565e-10,1.4452911565e-10,1.4541379655e-10,1.4501962611e-10
1986-02-13,6.0370911251e-07,1.4542256779e-10,1.4542256779e-10,1.4542256779e-10,1.4542256779e-10,1.4542256779e-10
1986-02-14,0.00014884118359,1.4544884234e-10,1.4544884234e-10,1.4544884234e-10,1.4544884234e-10,1.4544884234e-10
1986-02-17,5.4343637011e-07,1.4544884234e-10,1.4544884234e-10,1.4544884234e-10,1.4544884234e-10,1.4544884234e-10
1986-02-19,1.6691890955e-06,1.4891753965e-10,1.4891753965e-10,1.4891753965e-10,1.4891753965e-10,1.4891753965e-10
1986-02-20,1.6168217009e-06,1.4978471724e-10,1.4979346237e-10,1.4978471724e-10,1.4979346237e-10,1.4979346237e-10
1986-02-21,3.6109746695e-06,1.4978471724e-10,1.4978471724e-10,1.4978471724e-10,1.5066065302e-10,1.4996866519e-10
1986-02-24,9.1636367278e-07,1.5766812616e-10,1.5767687129e-10,1.5766812616e-10,1.5767687129e-10,1.5766812616e-10
1986-02-25,1.3090909611e-07,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10
1986-02-26,3.2727274028e-07,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10
1986-02-27,1.9636364417e-07,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10
1986-03-04,1.1127273169e-06,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10,1.5766812616e-10
1986-03-05,3.9274907112e-07,1.5767687129e-10,1.5767687129e-10,1.5767687129e-10,1.5767687129e-10,1.5767687129e-10
1986-03-06,0.00056037598228,1.5854404888e-10,1.5767687129e-10,1.5766812616e-10,1.5854404888e-10,1.5854404888e-10
1986-03-07,2.4898981398e-06,1.5766812616e-10,1.5853530375e-10,1.5766812616e-10,1.5855280707e-10,1.5783454469e-10
1986-03-10,1.3454545628e-07,1.6204779198e-10,1.6204779198e-10,1.6204779198e-10,1.6204779198e-10,1.6204779198e-10
1986-03-11,1.2363636494e-07,1.4890878147e-10,1.4890878147e-10,1.4890878147e-10,1.4890878147e-10,1.4890878147e-10
1986-03-12,0.00021601964118,1.4978471724e-10,1.4890878147e-10,1.4890878147e-10,1.4978471724e-10,1.4978471724e-10
1986-03-13,6.2181819569e-08,1.4978471724e-10,1.4978471724e-10,1.4978471724e-10,1.4978471724e-10,1.4978471724e-10
1986-03-18,1.2436363914e-07,1.4978471724e-10,1.4978471724e-10,1.4978471724e-10,1.4978471724e-10,1.4978471724e-10
1986-03-19,3.1090909785e-07,1.4978471724e-10,1.4978471724e-10,1.4978471724e-10,1.4978471724e-10,1.4978471724e-10
1986-03-20,1.2362909317e-07,1.4890002328e-10,1.4890002328e-10,1.4890002328e-10,1.4890002328e-10,1.4890002328e-10
1986-03-24,9.1630908576e-07,1.4715690992e-10,1.4714815174e-10,1.4714815174e-10,1.4715690992e-10,1.4714815174e-10
1986-03-25,1.2218181653e-07,1.4715690992e-10,1.4715690992e-10,1.4715690992e-10,1.4715690992e-10,1.4715690992e-10
1986-03-31,1.3091635704e-07,1.5767687129e-10,1.5767687129e-10,1.5767687129e-10,1.5767687129e-10,1.5767687129e-10
1986-04-01,6.545817852e-08,1.5767687129e-10,1.5767687129e-10,1.5767687129e-10,1.5767687129e-10,1.5767687129e-10
1986-04-02,0.00055968289822,1.5855280707e-10,1.5854404888e-10,1.5854404888e-10,1.5855280707e-10,1.5855280707e-10
1986-04-03,6.6185452721e-08,1.5942874284e-10,1.5942874284e-10,1.5942874284e-10,1.5942874284e-10,1.5942874284e-10
1986-04-04,1.3309090788e-07,1.6029592043e-10,1.6029592043e-10,1.6029592043e-10,1.6029592043e-10,1.6029592043e-10
1986-04-08,9.7578763962e-06,1.708158818e-10,1.6117185621e-10,1.6117185621e-10,1.7519556068e-10,1.72830538e-10
1986-04-11,7.4912726879e-07,1.8045116227e-10,1.8045116227e-10,1.8045116227e-10,1.8045116227e-10,1.8045116227e-10
1986-04-15,1.4981818199e-07,1.8044240409e-10,1.8044240409e-10,1.8044240409e-10,1.8044240409e-10,1.8044240409e-10
1986-04-17,5.2438908815e-07,2.0850874704e-10,2.0849862708e-10,2.0849862708e-10,2.0850874704e-10,2.0850874704e-10
1986-04-22,4.4947636127e-07,2.0850874704e-10,2.0850874704e-10,2.0850874704e-10,2.0850874704e-10,2.0850874704e-10
1986-04-23,7.5163635341e-07,2.0952087834e-10,2.0849862708e-10,2.0849862708e-10,2.0952087834e-10,2.0920711447e-10
1986-04-24,7.5283635746e-07,2.0955123821e-10,2.095309983e-10,2.095309983e-10,2.0955123821e-10,2.0954111825e-10
1986-04-25,2.2582909194e-07,2.0952087834e-10,2.0952087834e-10,2.0952087834e-10,2.0952087834e-10,2.0952087834e-10
1986-04-28,4.8998183554e-06,2.0952087834e-10,2.0849862708e-10,2.0849862708e-10,2.1052288969e-10,2.098144023e-10
1986-04-29,8.3200001717e-07,2.1053299457e-10,2.1052288969e-10,2.1052288969e-10,2.1053299457e-10,2.1052288969e-10
1986-05-05,5.3528363596e-07,2.1355926854e-10,2.1254713723e-10,2.1254713723e-10,2.1355926854e-10,2.1284066119e-10
1986-05-06,1.3730909174e-06,2.3886250598e-10,2.3886250598e-10,2.3886250598e-10,2.3886250598e-10,2.3886250598e-10
