Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2006-04-26,0.0,8.5652759742,8.5652759742,8.5652759742,8.5652759742,8.5652759742
2006-04-27,143802374.0,9.0691157374,9.5477635124,9.0691157374,9.5729555005,9.3109588237
2006-04-28,22048177.0,8.8171958558,9.1598068947,8.8171958558,9.16988369,8.9532325918
2006-05-02,37229146.0,8.8171958558,8.6257367457,8.5652759742,9.0691157374,8.7567350842
2006-05-03,16461092.0,8.5652759742,8.7164279031,8.5652759742,8.9683477847,8.7516966865
2006-05-04,34552165.0,8.4645080215,8.5652759742,8.4645080215,8.7668118794,8.5703143718
2006-05-05,10457327.0,8.8675798321,8.4695464192,8.4695464192,8.9179638084,8.7013127102
2006-05-08,9171547.0,9.0237701587,8.8675798321,8.7668118794,9.0439237492,8.9129254108
2006-05-09,8475691.0,8.7920038676,8.9683477847,8.6206983481,9.018731761,8.8726182297
2006-05-10,1311596.0,8.7063511079,8.7718502771,8.6660439268,8.8171958558,8.7063511079
2006-05-11,16314873.0,8.5652759742,8.6408519386,8.5199303955,8.7819270723,8.5803911671
2006-05-12,9888249.0,8.5148919978,8.5652759742,8.3284712855,8.5652759742,8.3990088523
2006-05-15,8884809.0,8.3637400689,8.5148919978,8.3385480807,8.5551991789,8.4342776357
2006-05-16,27657154.0,8.5148919978,8.4645080215,8.4645080215,8.6861975173,8.5904679623
2006-05-17,3657829.0,8.4141240452,8.3687784665,8.3183944902,8.5652759742,8.4292392381
2006-05-18,5160568.0,8.3133560926,8.3234328878,8.1118201873,8.3637400689,8.2629721163
2006-05-19,12458760.0,8.3133560926,8.3183944902,8.061436211,8.3183944902,8.2881641044
2006-05-22,18747377.0,7.7591323531,8.061436211,7.5575964478,8.1370121755,7.7641707507
2006-05-23,8323174.0,7.6583644004,7.8599003057,7.5575964478,7.9556298607,7.7692091483
2006-05-24,16505190.0,7.3812525307,7.6583644004,7.1041406609,7.6583644004,7.3963677236
2006-05-25,9531146.0,7.5575964478,7.4568284952,7.3006381686,7.6583644004,7.471943688
2006-05-26,9691051.0,7.8044779318,7.7843243412,7.3107149638,7.9556298607,7.5072124715
2006-05-29,1652545.0,8.061436211,7.7087483767,7.5575964478,8.061436211,7.8246315223
2006-05-30,3945722.0,7.5575964478,7.6634027981,7.4064445188,7.8095163294,7.5575964478
2006-05-31,4422684.0,7.3560605425,7.5525580502,7.335906952,7.6583644004,7.3913293259
2006-06-01,8258831.0,7.1041406609,7.3560605425,6.9026047556,7.4517900975,7.1041406609
2006-06-02,3878195.0,6.8522207793,7.1545246372,6.8471823817,7.4517900975,7.0184879012
2006-06-05,1127554.0,6.7363376338,6.9026047556,6.6003008977,6.9479503343,6.7716064172
2006-06-06,3680612.0,7.0285646964,6.7262608385,6.5549553191,7.0285646964,6.8371055864
2006-06-07,1191897.0,6.9026047556,7.1545246372,6.8068752006,7.2250622041,6.9731423225
2006-06-08,670694.0,7.0235262988,6.5499169214,6.2979970398,7.0235262988,6.6758768622
2006-06-09,2774292.0,6.6154160906,6.8925279604,6.6053392954,6.8925279604,6.8270287912
