Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1989-05-08,0.015272727272,3.0597802969e-08,3.0597802969e-08,3.0597802969e-08,3.0597802969e-08,3.0597802969e-08
1989-06-06,0.017818181818,5.3546155196e-08,5.3546155196e-08,5.3546155196e-08,5.3546155196e-08,5.3546155196e-08
1989-07-11,0.12276363636,4.6115260189e-08,4.6115260189e-08,4.6115260189e-08,4.6115260189e-08,4.6115260189e-08
1989-07-26,0.010181818181,6.1195605938e-08,6.1195605938e-08,6.1195605938e-08,6.1195605938e-08,6.1195605938e-08
1989-08-24,0.02,1.2230226477e-07,1.2230226477e-07,1.2230226477e-07,1.2230226477e-07,1.2230226477e-07
1989-08-28,0.017454545455,1.0673652198e-07,1.0673652198e-07,1.0673652198e-07,1.0673652198e-07,1.0673652198e-07
1989-09-12,0.00065454545455,1.0006548936e-07,1.0006548936e-07,1.0006548936e-07,1.0006548936e-07,1.0006548936e-07
1989-09-15,0.0059236363636,1.0062140874e-07,1.0062140874e-07,1.0062140874e-07,1.0062140874e-07,1.0062140874e-07
1989-09-28,0.076727272727,1.172989903e-07,1.172989903e-07,1.172989903e-07,1.172989903e-07,1.172989903e-07
1989-10-03,0.00076727272727,1.172989903e-07,1.172989903e-07,1.172989903e-07,1.172989903e-07,1.172989903e-07
1989-10-10,0.046803636364,1.172989903e-07,1.172989903e-07,1.172989903e-07,1.172989903e-07,1.172989903e-07
1989-10-13,0.00087272727273,1.3342065248e-07,1.3342065248e-07,1.3342065248e-07,1.3342065248e-07,1.3342065248e-07
1989-10-17,0.12414546981,1.5565742789e-07,1.5009823404e-07,1.5009823404e-07,1.5565742789e-07,1.5556631271e-07
1989-10-18,0.052945454545,1.5565742789e-07,1.5565742789e-07,1.5565742789e-07,1.5565742789e-07,1.5565742789e-07
1989-10-30,0.081636375273,1.9512770425e-07,1.9457178487e-07,1.9457178487e-07,1.9512770425e-07,1.9500612468e-07
1989-11-01,0.10036363636,1.9179218794e-07,1.9179218794e-07,1.9179218794e-07,1.9179218794e-07,1.9179218794e-07
1989-11-20,0.054545454545,1.667758156e-07,1.667758156e-07,1.667758156e-07,1.667758156e-07,1.667758156e-07
1989-12-20,0.0021818181818,1.667758156e-07,1.667758156e-07,1.667758156e-07,1.667758156e-07,1.667758156e-07
1989-12-22,0.012727272727,1.9457178487e-07,1.9457178487e-07,1.9457178487e-07,1.9457178487e-07,1.9457178487e-07
1990-01-19,0.065454556364,3.5395893645e-07,3.5395893645e-07,3.5395893645e-07,3.5395893645e-07,3.5395893645e-07
1990-02-01,0.0030909090909,5.0144174306e-07,5.0144174306e-07,5.0144174306e-07,5.0144174306e-07,5.0144174306e-07
1990-02-02,0.17636362909,4.7784448456e-07,4.7194516994e-07,4.7194516994e-07,4.7784448456e-07,4.768612458e-07
1990-02-07,0.058909090909,4.7784448456e-07,4.7784448456e-07,4.7784448456e-07,4.7784448456e-07,4.7784448456e-07
1990-02-14,0.64916015564,9.9380610499e-07,9.9380610499e-07,9.8759481684e-07,9.9380672612e-07,9.9357815072e-07
1990-02-16,0.54629088873,1.2422576312e-06,1.0559189865e-06,1.0559189865e-06,1.2422576312e-06,1.2134223471e-06
1990-02-19,1.0654900495,1.3851172588e-06,1.2422576312e-06,1.2422576312e-06,1.3851172588e-06,1.3663423981e-06
1990-02-20,0.00090909090909,1.552822039e-06,1.552822039e-06,1.552822039e-06,1.552822039e-06,1.552822039e-06
1990-02-21,0.0010545454545,1.8012735653e-06,1.8012735653e-06,1.8012735653e-06,1.8012735653e-06,1.8012735653e-06
1990-02-22,0.56363636364,1.9254993284e-06,1.9254993284e-06,1.9254993284e-06,1.9254993284e-06,1.9254993284e-06
1990-03-08,0.0012727272727,2.1739508547e-06,2.1739508547e-06,2.1739508547e-06,2.1739508547e-06,2.1739508547e-06
1990-03-09,0.71527272727,2.1739508547e-06,2.1739508547e-06,2.1739508547e-06,2.1739508547e-06,2.1739508547e-06
1990-07-09,0.0024,2.0497250915e-06,2.0497250915e-06,2.0497250915e-06,2.0497250915e-06,2.0497250915e-06
1990-07-10,0.0012,2.0497250915e-06,2.0497250915e-06,2.0497250915e-06,2.0497250915e-06,2.0497250915e-06
1990-07-11,0.0272,2.1118379731e-06,2.1118379731e-06,2.1118379731e-06,2.1118379731e-06,2.1118379731e-06
1990-09-13,1.2309818182,1.1471803337e-06,1.1471797033e-06,1.1471797033e-06,1.1471803337e-06,1.1471803337e-06
1990-11-05,0.063636363636,1.1030580131e-06,1.1030580131e-06,1.1030580131e-06,1.1030580131e-06,1.1030580131e-06
1990-11-07,0.30909090909,1.0715420699e-06,1.0715420699e-06,1.0715420699e-06,1.0715420699e-06,1.0715420699e-06
1990-11-27,2.96051616,1.0715420699e-06,1.1862594729e-06,1.0715420699e-06,1.1862594729e-06,1.0717815911e-06
1990-11-28,0.037454545455,1.355185559e-06,1.2606377293e-06,1.2606377293e-06,1.355185559e-06,1.2984568612e-06
1990-11-29,1.0799998182,1.4497333887e-06,1.3867015022e-06,1.3867015022e-06,1.4497333887e-06,1.440035933e-06
1990-11-30,1.1658181818,1.4434302e-06,1.4434302e-06,1.4434302e-06,1.4434302e-06,1.4434302e-06
1990-12-03,1.3541818182,1.4812493319e-06,1.4434302e-06,1.4434302e-06,1.4812493319e-06,1.4670671575e-06
1990-12-04,0.34181818182,1.4812493319e-06,1.4812493319e-06,1.4812493319e-06,1.4812493319e-06,1.4812493319e-06
1991-01-09,0.1034,1.4812493319e-06,1.4812493319e-06,1.4812493319e-06,1.4812493319e-06,1.4812493319e-06
1991-01-17,0.0012727272727,2.2061160263e-06,2.2061160263e-06,2.2061160263e-06,2.2061160263e-06,2.2061160263e-06
1991-01-23,0.1,3.1515943233e-06,3.1515943233e-06,3.1515943233e-06,3.1515943233e-06,3.1515943233e-06
1991-01-28,0.078545454545,3.4037218692e-06,3.4037218692e-06,3.4037218692e-06,3.4037218692e-06,3.4037218692e-06
1991-01-30,0.018909090909,3.2776580963e-06,3.2776580963e-06,3.2776580963e-06,3.2776580963e-06,3.2776580963e-06
1991-01-31,0.2,3.4667537557e-06,3.4667537557e-06,3.4667537557e-06,3.4667537557e-06,3.4667537557e-06
1991-02-19,0.1102,3.1981052401e-06,3.4859347117e-06,3.1981052401e-06,3.4859347117e-06,3.3420199759e-06
1991-02-20,0.76912872727,3.2620673449e-06,3.1981052401e-06,3.1981052401e-06,3.2620673449e-06,3.2134561452e-06
