Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
2007-07-27,0.0,5.3934177483,5.3934177483,5.3934177483,5.3934177483,5.3934177483
2008-07-11,140003.0,5.7276814704,5.7832431211,5.7276814704,5.7832431211,5.7325129183
2008-07-14,533582.0,5.7856588451,5.747007262,5.7373443662,5.7977374648,5.7808273972
2008-07-15,25413265.0,5.5561650704,5.6238053408,5.5561650704,5.7856588451,5.5561650704
2008-07-16,1017009.0,5.5561650704,5.7711645014,5.3894801183,5.7711645014,5.5465021746
2008-07-17,2083508.0,5.5054348676,5.5440864507,5.4112216338,5.5465021746,5.4957719718
2008-07-18,1153947.0,5.5078505915,5.5078505915,5.447457493,5.532007831,5.5102663155
2008-07-21,11515.0,5.5513336225,5.6117267211,5.5513336225,5.6117267211,5.5634122422
2008-07-22,29310.0,5.4836933521,5.4353788732,5.4353788732,5.4836933521,5.447457493
2008-07-23,3946486.0,5.4861090761,5.6479625803,5.2445366817,5.6479625803,5.3629071549
2008-07-24,2012812.0,5.4836933521,5.532007831,5.4595361127,5.532007831,5.4643675606
2008-07-25,403903.0,5.5054348676,5.5561650704,5.360491431,5.5561650704,5.4812776282
2008-07-28,630949.0,5.4595361127,5.4353788732,5.4112216338,5.5054348676,5.4233002535
2008-07-29,3759231.0,5.4812776282,5.4836933521,5.3870643944,5.4836933521,5.4160530817
2008-07-30,6657576.0,5.4353788732,5.4836933521,5.3194241239,5.4836933521,5.401558738
2008-07-31,1071046.0,5.2421209578,5.4353788732,5.1261662085,5.4353788732,5.3121769521
2008-08-01,182395.0,5.3387499155,5.2421209578,5.1913907549,5.3846486704,5.3097612282
2008-08-04,441745.0,5.1938064789,5.4063901859,5.1430762761,5.4063901859,5.2058850986
2008-08-05,1723037.0,5.2904354366,5.3145926761,5.1913907549,5.3484128113,5.2831882648
2008-08-06,2021247.0,5.3121769521,5.445041769,5.3121769521,5.445041769,5.3363341915
2008-08-07,1168402.0,5.3145926761,5.4812776282,5.3145926761,5.4812776282,5.3145926761
2008-08-08,1640130.0,5.2904354366,5.3145926761,5.145492,5.3145926761,5.2203794422
2008-08-11,4656772.0,5.0706045577,5.1938064789,5.0005485634,5.1938064789,5.0730202817
2008-08-12,2080800.0,4.9401554648,5.145492,4.8676837465,5.145492,4.8942567099
2008-08-13,594537.0,4.758976169,4.9256611211,4.758976169,4.9280768451,4.7879648563
2008-08-14,1688268.0,4.9522340845,4.6623472113,4.6623472113,4.9522340845,4.7372346535
2008-08-15,494380.0,4.9522340845,4.9522340845,4.8314478873,4.9884699437,4.9353240169
2008-08-18,4701688.0,4.8797623662,4.9860542197,4.8797623662,4.9884699437,4.932908293
2008-08-19,11347200.0,4.8797623662,4.8314478873,4.7831334084,4.8797623662,4.8242007155
2008-08-20,1477295.0,4.9280768451,4.8314478873,4.7831334084,4.9280768451,4.8411107831
2008-08-21,19950566.0,4.9039196056,4.9498183606,4.8990881577,5.0247058028,4.9498183606
2008-08-22,209594.0,4.887009538,4.9039196056,4.7927963042,4.9039196056,4.8676837465
2008-08-25,989818.0,4.8290321634,4.9836384958,4.8290321634,4.9836384958,4.889425262
2008-08-26,2038538.0,4.8193692676,4.9474026366,4.7734705127,4.9474026366,4.8000434761
2008-08-27,77496.0,4.7807176845,4.8290321634,4.7130774141,4.8314478873,4.8000434761
2008-08-28,3582971.0,4.5657182535,4.8797623662,4.5657182535,4.8797623662,4.5802125972
2008-08-29,1366605.0,4.7106616901,4.6019541127,4.589875493,4.7348189296,4.6695943831
2008-09-01,1306415.0,4.7710547887,4.7106616901,4.6623472113,4.7710547887,4.7468975493
2008-09-02,3085014.0,4.9256611211,4.7879648563,4.7106616901,4.9256611211,4.8604365746
2008-09-03,6038116.0,4.9280768451,4.889425262,4.889425262,5.0367844225,4.9618969803
2008-09-04,4478243.0,4.8773466422,4.9522340845,4.7831334084,5.0730202817,4.9184139493
2008-09-05,4416989.0,4.8314478873,4.8797623662,4.7324032056,4.8797623662,4.8314478873
2008-09-08,81859.0,4.7203245859,4.9522340845,4.7203245859,4.9522340845,4.8242007155
2008-09-09,2006670.0,4.5415610141,4.8314478873,4.3966175775,4.8314478873,4.543976738
2008-09-10,1438134.0,4.5536396338,4.672010107,4.5294823944,4.7831334084,4.589875493
2008-09-11,1502344.0,4.4690892958,4.5536396338,4.4570106761,4.5536396338,4.4859993634
2008-09-12,9247612.0,4.418359093,4.4690892958,4.4086961972,4.4690892958,4.4642578479
2008-09-15,1479699.0,4.3241458592,4.3966175775,4.3217301352,4.418359093,4.3483030986
2008-09-16,6035740.0,4.203359662,4.28791,4.1671238028,4.28791,4.2057753859
2008-09-17,5336744.0,4.1043149803,4.203359662,3.8410010704,4.203359662,3.9666187155
2008-09-18,8069339.0,4.1043149803,4.1067307042,3.7975180394,4.2251011775,3.988360231
2008-09-19,2472168.0,4.2395955211,4.3700446141,4.1067307042,4.4207748169,4.2178540056
2008-09-22,2460930.0,4.1188093239,4.2178540056,4.1188093239,4.2202697296,4.1695395268
2008-09-23,2146432.0,4.1067307042,4.0584162254,3.8699897577,4.1067307042,3.9762816113
2008-09-24,1409487.0,4.0704948451,4.1067307042,3.9956074028,4.1308879437,4.0777420169
2008-09-25,751960.0,4.1067307042,4.1043149803,4.0994835324,4.28791,4.1961124901
2008-09-26,1363304.0,4.0825734648,3.8651583099,3.8530796901,4.0825734648,3.8965627211
2008-09-29,1057348.0,3.3940921408,4.0560005014,3.3940921408,4.0560005014,3.7226305972
